team_name,avg_diff,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,win_percentage
ARZ,141181.1247637667,0.647,0.5,0.312,0.188,0.5,0.438,0.812,0.688,0.625,0.312,0.503
ATL,-383757.7613636364,0.412,0.25,0.438,0.438,0.625,0.688,0.5,0.375,0.25,0.812,0.478
BLT,1184689.316102198,0.471,0.688,0.875,0.625,0.562,0.5,0.312,0.625,0.5,0.625,0.578
BUF,-574558.5623211279,0.647,0.812,0.625,0.375,0.562,0.438,0.5,0.562,0.375,0.375,0.528
CAR,-1565088.3242308286,0.294,0.312,0.312,0.438,0.688,0.375,0.938,0.438,0.75,0.438,0.497
CHI,77937.85387445908,0.353,0.5,0.5,0.75,0.312,0.188,0.375,0.312,0.5,0.625,0.441
CIN,-196761.7701048953,0.588,0.25,0.125,0.375,0.438,0.375,0.75,0.625,0.688,0.625,0.484
CLV,-324239.047348485,0.471,0.688,0.375,0.438,0.0,0.062,0.188,0.438,0.25,0.312,0.323
DAL,-253978.58537758555,0.706,0.375,0.5,0.625,0.562,0.812,0.25,0.75,0.5,0.5,0.559
DEN,1574525.6896645033,0.412,0.312,0.438,0.375,0.312,0.562,0.75,0.75,0.812,0.812,0.559
DET,-768190.2057449495,0.176,0.312,0.188,0.375,0.562,0.562,0.438,0.688,0.438,0.25,0.398
GB,829669.3244206774,0.765,0.812,0.812,0.375,0.438,0.625,0.625,0.75,0.5,0.688,0.64
HST,127538.09627039617,0.235,0.25,0.625,0.688,0.25,0.562,0.562,0.562,0.125,0.75,0.46
IND,-892149.7739898989,0.529,0.688,0.438,0.625,0.25,0.5,0.5,0.688,0.688,0.688,0.559
JAX,301763.41414141416,0.176,0.062,0.375,0.312,0.625,0.188,0.312,0.188,0.25,0.125,0.261
KC,-205032.47401903663,0.706,0.875,0.75,0.75,0.625,0.75,0.688,0.562,0.688,0.125,0.652
LA,351139.3321029848,0.706,0.625,0.562,0.812,0.688,0.25,0.438,0.375,0.438,0.438,0.534
LAC,-1208724.8635297783,0.529,0.438,0.312,0.75,0.562,0.312,0.25,0.562,0.562,0.438,0.472
LV,-1122793.374848485,0.588,0.5,0.438,0.25,0.375,0.75,0.438,0.188,0.25,0.25,0.404
MIA,606029.2677616504,0.529,0.625,0.312,0.438,0.375,0.625,0.375,0.5,0.5,0.438,0.472
MIN,227034.25507856344,0.471,0.438,0.625,0.5,0.812,0.5,0.688,0.438,0.312,0.625,0.54
NE,-389737.388585099,0.588,0.438,0.75,0.688,0.812,0.875,0.75,0.75,0.75,0.75,0.714
NO,148647.2094474153,0.529,0.75,0.812,0.812,0.688,0.438,0.438,0.438,0.688,0.438,0.602
NYG,110449.68706293705,0.235,0.375,0.25,0.312,0.188,0.688,0.375,0.375,0.438,0.562,0.379
NYJ,200801.14685314693,0.235,0.125,0.438,0.25,0.312,0.312,0.625,0.25,0.5,0.375,0.341
PHI,313700.31239669415,0.529,0.25,0.562,0.562,0.812,0.438,0.438,0.625,0.625,0.25,0.509
PIT,-508896.2669055082,0.529,0.75,0.5,0.562,0.812,0.688,0.625,0.688,0.5,0.5,0.614
SEA,748055.3690312215,0.412,0.75,0.688,0.625,0.562,0.625,0.625,0.75,0.812,0.688,0.652
SF,-1043497.1725014113,0.588,0.375,0.812,0.25,0.375,0.125,0.312,0.5,0.75,0.688,0.478
TB,-54578.82215909066,0.765,0.688,0.438,0.312,0.312,0.562,0.375,0.125,0.25,0.438,0.429
TEN,1980624.200799201,0.706,0.688,0.562,0.562,0.562,0.562,0.188,0.125,0.438,0.375,0.478
WAS,527437.5109255824,0.412,0.438,0.188,0.438,0.438,0.5,0.562,0.25,0.188,0.625,0.404
