player,player_id,position,team_name,grades_coverage_defense,grades_defense,snap_counts_pass_play,rank,Year
Kevin Byard,10698,S,TEN,90.9,90.4,776,1.0,2021
Antoine Winfield Jr.,42475,S,TB,87.6,89.1,707,2.0,2021
Amani Hooker,51378,S,TEN,86.9,85.9,533,3.0,2021
Jevon Holland,83873,S,MIA,87.7,84.7,592,4.0,2021
Jalen Ramsey,10639,CB,LA,85.8,84.4,808,5.0,2021
Micah Hyde,7941,S,BUF,89.8,83.8,720,6.0,2021
A.J. Terrell,55586,CB,ATL,85.6,82.7,575,7.0,2021
Kendall Fuller,10718,CB,WAS,78.7,81.5,658,8.0,2021
Darius Slay,7817,CB,PHI,84.5,81.0,615,9.0,2021
Marcus Williams,11797,S,NO,84.3,80.1,672,10.0,2021
Adrian Phillips,9177,S,NE,84.5,80.0,538,11.0,2021
Nate Hobbs,55948,CB,LV,77.1,79.4,613,12.0,2021
J.C. Jackson,42781,CB,NE,80.4,78.9,592,13.0,2021
D.J. Reed Jr.,26940,CB,SEA,75.4,78.6,606,14.0,2021
Derwin James,51368,S,LAC,76.6,78.1,552,15.0,2021
Harrison Smith,7641,S,MIN,81.8,77.9,658,16.0,2021
Jordan Poyer,8000,S,BUF,86.8,77.7,698,17.0,2021
Tavierre Thomas,66931,CB,HST,76.1,77.6,413,18.0,2021
Marshon Lattimore,11766,CB,NO,76.4,77.3,640,19.0,2021
Denzel Ward,49558,CB,CLV,75.9,76.9,534,20.0,2021
Casey Hayward Jr.,7064,CB,LV,75.5,76.6,712,21.0,2021
Jayron Kearse,10878,S,DAL,75.5,75.9,674,22.0,2021
Chidobe Awuzie,11815,CB,CIN,74.5,75.5,703,23.0,2021
Devin McCourty,5552,S,NE,74.7,75.5,626,23.0,2021
Xavier McKinney,55775,S,NYG,78.4,75.4,675,25.0,2021
Adoree' Jackson,11773,CB,NYG,80.9,74.9,498,26.0,2021
Jimmie Ward,8665,S,SF,69.1,74.8,761,27.0,2021
Justin Simmons,10732,S,DEN,73.4,74.8,663,27.0,2021
Rasul Douglas,11854,CB,GB,77.2,74.5,490,29.0,2021
Adrian Amos,9575,S,GB,73.6,74.3,727,30.0,2021
Jordan Fuller,45326,S,LA,69.4,74.3,647,30.0,2021
Vonn Bell,10695,S,CIN,75.6,72.1,851,32.0,2021
Shaquill Griffin,11845,CB,JAX,71.1,72.0,508,33.0,2021
Trevon Moehrig,77847,S,LV,75.5,71.8,753,34.0,2021
Jamel Dean,34918,CB,TB,74.7,71.8,581,34.0,2021
Jeremy Chinn,43179,S,CAR,74.3,71.4,579,36.0,2021
Eric Rowe,9480,S,MIA,70.7,71.2,451,37.0,2021
Charvarius Ward,43034,CB,KC,69.4,71.2,591,37.0,2021
Quandre Diggs,9633,S,SEA,72.3,71.2,743,37.0,2021
Avonte Maddox,50543,CB,PHI,73.5,71.0,533,40.0,2021
Bobby McCain,9578,S,WAS,72.6,70.9,667,41.0,2021
Xavien Howard,10672,CB,MIA,71.1,70.9,648,41.0,2021
Isaiah Rodgers,27069,CB,IND,71.8,70.7,366,43.0,2021
Jordan Whitehead,49196,S,TB,68.0,70.7,611,43.0,2021
Taron Johnson,49511,CB,BUF,75.3,70.3,665,45.0,2021
Mike Hilton,10898,CB,CIN,70.0,70.2,754,46.0,2021
Sidney Jones,11798,CB,SEA,69.2,70.2,447,46.0,2021
Juan Thornhill,50426,S,KC,69.9,70.1,702,48.0,2021
Rock Ya-Sin,49564,CB,IND,72.4,69.9,395,49.0,2021
Carlton Davis,49335,CB,TB,71.8,69.9,539,49.0,2021
Kyle Dugger,90621,S,NE,73.7,69.7,462,51.0,2021
Kamren Curl,55800,S,WAS,65.5,69.4,577,52.0,2021
Emmanuel Moseley,50430,CB,SF,68.0,69.1,498,53.0,2021
Andrew Wingard,49268,S,JAX,75.2,69.1,534,53.0,2021
John Johnson III,11847,S,CLV,66.5,68.7,557,55.0,2021
Jalen Thompson,49116,S,ARZ,71.8,68.5,642,56.0,2021
Greg Newsome II,83341,CB,CLV,70.6,68.1,413,57.0,2021
Jessie Bates III,49162,S,CIN,70.0,67.8,829,58.0,2021
Jalen Mills,10867,CB,NE,63.5,67.5,529,59.0,2021
Tyrann Mathieu,7850,S,KC,75.7,67.4,730,60.0,2021
Robert Alford,7841,CB,ARZ,68.5,66.9,409,61.0,2021
Kenny Moore II,51596,CB,IND,62.1,66.6,683,62.0,2021
Xavier Woods,11946,S,MIN,58.3,66.4,758,63.0,2021
Chuck Clark,11941,S,BLT,61.1,66.3,676,64.0,2021
Nasir Adderley,33880,S,LAC,61.3,66.2,585,65.0,2021
Patrick Surtain II,83119,CB,DEN,66.3,66.1,534,66.0,2021
Anthony Brown,10823,CB,DAL,67.1,66.0,706,67.0,2021
Marlon Humphrey,11771,CB,BLT,65.0,65.9,498,68.0,2021
Jackrabbit Jenkins,7043,CB,TEN,65.1,65.9,652,68.0,2021
Tre'Davious White,11782,CB,BUF,69.0,65.7,408,70.0,2021
Eric Stokes,55912,CB,GB,67.1,65.5,669,71.0,2021
Nik Needham,50356,CB,MIA,67.6,65.2,438,72.0,2021
Tracy Walker,51266,S,DET,64.2,65.1,495,73.0,2021
Byron Jones,9460,CB,MIA,63.5,65.0,626,74.0,2021
Rodney McLeod,7271,S,PHI,60.4,64.8,477,75.0,2021
Budda Baker,11791,S,ARZ,65.2,64.6,658,76.0,2021
Greedy Williams,43254,CB,CLV,68.8,64.6,395,76.0,2021
Malcolm Jenkins,4937,S,NO,60.8,64.5,679,78.0,2021
Taylor Rapp,51172,S,LA,57.5,64.5,726,78.0,2021
Jaylon Johnson,56259,CB,CHI,60.5,64.2,521,80.0,2021
Mike Edwards,51282,S,TB,66.4,63.9,481,81.0,2021
Grant Delpit,60685,S,CLV,64.5,63.8,395,82.0,2021
Kristian Fulton,42894,CB,TEN,66.2,63.7,529,83.0,2021
L'Jarius Sneed,40588,CB,KC,61.7,63.6,723,84.0,2021
K'Waun Williams,9332,CB,SF,60.7,63.5,572,85.0,2021
Bryce Hall,42313,CB,NYJ,64.5,63.2,679,86.0,2021
Patrick Peterson,6157,CB,MIN,61.0,63.0,548,87.0,2021
Andrew Sendejo,6118,S,IND,65.1,62.9,410,88.0,2021
Steven Nelson,9531,CB,PHI,60.6,62.9,629,88.0,2021
James Bradberry,10696,CB,NYG,65.0,62.8,690,90.0,2021
Tyson Campbell,83217,CB,JAX,59.9,62.7,507,91.0,2021
Chris Harris Jr.,6457,CB,LAC,60.4,62.4,469,92.0,2021
Chauncey Gardner-Johnson,49371,CB,NO,62.2,62.2,446,93.0,2021
Joe Haden,5532,CB,PIT,64.2,62.1,446,94.0,2021
Elijah Molden,56290,CB,TEN,61.8,62.0,504,95.0,2021
Anthony Harris,9895,S,PHI,58.4,62.0,539,95.0,2021
Xavier Rhodes,7806,CB,IND,61.8,61.8,402,97.0,2021
Darious Williams,55724,CB,LA,60.7,61.8,749,97.0,2021
