player,player_id,position,team_name,grades_coverage_defense,grades_defense,snap_counts_pass_play,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Kevin Byard,10698,S,TEN,90.9,90.4,776,1.0,2021,590,Kevin Byard,2021,27,5,"$70,500,000",14100000
Jalen Ramsey,10639,CB,LA,85.8,84.4,808,5.0,2021,350,Jalen Ramsey,2021,26,5,"$100,000,000",20000000
Micah Hyde,7941,S,BUF,89.8,83.8,720,6.0,2021,998,Micah Hyde,2021,30,5,"$30,500,000",6100000
Kendall Fuller,10718,CB,WAS,78.7,81.5,658,8.0,2021,381,Kendall Fuller,2021,26,4,"$40,000,000",10000000
Darius Slay,7817,CB,PHI,84.5,81.0,615,9.0,2021,311,Darius Slay,2021,30,3,"$50,050,000",16683333
Marcus Williams,11797,S,NO,84.3,80.1,672,10.0,2021,176,Marcus Williams,2021,24,1,"$10,612,000",10612000
Adrian Phillips,9177,S,NE,84.5,80.0,538,11.0,2021,5,Adrian Phillips,2021,29,3,"$12,750,000",4250000
J.C. Jackson,42781,CB,NE,80.4,78.9,592,13.0,2021,104,J.C. Jackson,2021,25,1,"$3,384,000",3384000
Harrison Smith,7641,S,MIN,81.8,77.9,658,16.0,2021,101,Harrison Smith,2021,32,4,"$64,000,000",16000000
Jordan Poyer,8000,S,BUF,86.8,77.7,698,17.0,2021,370,Jordan Poyer,2021,29,2,"$19,500,000",9750000
Tavierre Thomas,66931,CB,HST,76.1,77.6,413,18.0,2021,234,Tavierre Thomas,2021,25,2,"$4,000,000",2000000
Marshon Lattimore,11766,CB,NO,76.4,77.3,640,19.0,2021,179,Marshon Lattimore,2021,25,5,"$97,603,000",19520600
Jayron Kearse,10878,S,DAL,75.5,75.9,674,22.0,2021,125,Jayron Kearse,2021,27,1,"$1,127,500",1127500
Chidobe Awuzie,11815,CB,CIN,74.5,75.5,703,23.0,2021,44,Chidobe Awuzie,2021,25,3,"$21,750,000",7250000
Devin McCourty,5552,S,NE,74.7,75.5,626,23.0,2021,325,Devin McCourty,2021,33,2,"$23,000,000",11500000
Adoree' Jackson,11773,CB,NYG,80.9,74.9,498,26.0,2021,3,Adoree' Jackson,2021,25,3,"$39,000,000",13000000
Jimmie Ward,8665,S,SF,69.1,74.8,761,27.0,2021,360,Jimmie Ward,2021,29,3,"$28,500,000",9500000
Justin Simmons,10732,S,DEN,73.4,74.8,663,27.0,2021,145,Justin Simmons,2021,27,4,"$61,000,000",15250000
Rasul Douglas,11854,CB,GB,77.2,74.5,490,29.0,2021,209,Rasul Douglas,2021,25,1,"$990,000",990000
Adrian Amos,9575,S,GB,73.6,74.3,727,30.0,2021,462,Adrian Amos,2021,27,4,"$36,000,000",9000000
Vonn Bell,10695,S,CIN,75.6,72.1,851,32.0,2021,454,Vonn Bell,2021,26,3,"$18,000,000",6000000
Shaquill Griffin,11845,CB,JAX,71.1,72.0,508,33.0,2021,224,Shaquill Griffin,2021,25,3,"$40,000,000",13333333
Eric Rowe,9480,S,MIA,70.7,71.2,451,37.0,2021,531,Eric Rowe,2021,29,3,"$16,150,000",5383333
Charvarius Ward,43034,CB,KC,69.4,71.2,591,37.0,2021,43,Charvarius Ward,2021,25,1,"$3,384,000",3384000
Avonte Maddox,50543,CB,PHI,73.5,71.0,533,40.0,2021,20,Avonte Maddox,2021,25,3,"$22,500,000",7500000
Bobby McCain,9578,S,WAS,72.6,70.9,667,41.0,2021,26,Bobby McCain,2021,27,1,"$1,475,000",1475000
Xavien Howard,10672,CB,MIA,71.1,70.9,648,41.0,2021,662,Xavien Howard,2021,27,5,"$75,250,000",15050000
Taron Johnson,49511,CB,BUF,75.3,70.3,665,45.0,2021,232,Taron Johnson,2021,25,3,"$24,000,000",8000000
Mike Hilton,10898,CB,CIN,70.0,70.2,754,46.0,2021,187,Mike Hilton,2021,27,4,"$24,000,000",6000000
Sidney Jones,11798,CB,SEA,69.2,70.2,447,46.0,2021,227,Sidney Jones,2021,24,1,"$1,750,000",1750000
Kyle Dugger,90621,S,NE,73.7,69.7,462,51.0,2021,388,Kyle Dugger,2021,25,4,"$8,331,902",2082976
