position,player_name,team_name,grades_defense,snap_counts_pass_play,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
S,Kevin Byard,TEN,90.4,776,1.0,2021,Kevin Byard,2021,27,14100000,12915888.833333334,1184111.166666666
CB,Jalen Ramsey,LA,84.4,808,5.0,2021,Jalen Ramsey,2021,26,20000000,11677904.714285715,8322095.285714285
S,Micah Hyde,BUF,83.8,720,6.0,2021,Micah Hyde,2021,30,6100000,10641166.625,-4541166.625
CB,Kendall Fuller,WAS,81.5,658,8.0,2021,Kendall Fuller,2021,26,10000000,11236592.555555556,-1236592.555555556
CB,Darius Slay,PHI,81.0,615,9.0,2021,Darius Slay,2021,30,16683333,11087933.3,5595399.699999999
S,Marcus Williams,NO,80.1,672,10.0,2021,Marcus Williams,2021,24,10612000,10261757.545454545,350242.45454545505
S,Adrian Phillips,NE,80.0,538,11.0,2021,Adrian Phillips,2021,29,4250000,10754539.363636363,-6504539.363636363
CB,J.C. Jackson,NE,78.9,592,13.0,2021,J.C. Jackson,2021,25,3384000,9038857.545454545,-5654857.545454545
S,Harrison Smith,MIN,77.9,658,16.0,2021,Harrison Smith,2021,32,16000000,9143403.0,6856597.0
S,Jordan Poyer,BUF,77.7,698,17.0,2021,Jordan Poyer,2021,29,9750000,9279766.636363637,470233.3636363633
CB,Tavierre Thomas,HST,77.6,413,18.0,2021,Tavierre Thomas,2021,25,2000000,8944918.181818182,-6944918.181818182
CB,Marshon Lattimore,NO,77.3,640,19.0,2021,Marshon Lattimore,2021,25,19520600,8843827.272727273,10676772.727272727
S,Jayron Kearse,DAL,75.9,674,22.0,2021,Jayron Kearse,2021,27,1127500,9843827.272727273,-8716327.272727273
CB,Chidobe Awuzie,CIN,75.5,703,23.0,2021,Chidobe Awuzie,2021,25,7250000,9626190.909090908,-2376190.9090909082
S,Devin McCourty,NE,75.5,626,23.0,2021,Devin McCourty,2021,33,11500000,8989827.272727273,2510172.7272727266
CB,Adoree' Jackson,NYG,74.9,498,26.0,2021,Adoree' Jackson,2021,25,13000000,8648918.181818182,4351081.818181818
S,Jimmie Ward,SF,74.8,761,27.0,2021,Jimmie Ward,2021,29,9500000,9679221.181818182,-179221.18181818165
S,Justin Simmons,DEN,74.8,663,27.0,2021,Justin Simmons,2021,27,15250000,8394015.090909092,6855984.909090908
CB,Rasul Douglas,GB,74.5,490,29.0,2021,Rasul Douglas,2021,25,990000,8599151.454545455,-7609151.454545455
S,Adrian Amos,GB,74.3,727,30.0,2021,Adrian Amos,2021,27,9000000,8621878.727272727,378121.2727272734
S,Vonn Bell,CIN,72.1,851,32.0,2021,Vonn Bell,2021,26,6000000,7710515.090909091,-1710515.0909090908
CB,Shaquill Griffin,JAX,72.0,508,33.0,2021,Shaquill Griffin,2021,25,13333333,7896878.7272727275,5436454.2727272725
S,Eric Rowe,MIA,71.2,451,37.0,2021,Eric Rowe,2021,29,5383333,7760515.090909091,-2377182.090909091
CB,Charvarius Ward,KC,71.2,591,37.0,2021,Charvarius Ward,2021,25,3384000,6919606.0,-3535606.0
CB,Avonte Maddox,PHI,71.0,533,40.0,2021,Avonte Maddox,2021,25,7500000,6988696.909090909,511303.0909090908
S,Bobby McCain,WAS,70.9,667,41.0,2021,Bobby McCain,2021,27,1475000,6359876.545454546,-4884876.545454546
CB,Xavien Howard,MIA,70.9,648,41.0,2021,Xavien Howard,2021,27,15050000,6240967.454545454,8809032.545454547
CB,Taron Johnson,BUF,70.3,665,45.0,2021,Taron Johnson,2021,25,8000000,5574300.818181818,2425699.1818181816
CB,Mike Hilton,CIN,70.2,754,46.0,2021,Mike Hilton,2021,27,6000000,6357634.181818182,-357634.18181818165
CB,Sidney Jones,SEA,70.2,447,46.0,2021,Sidney Jones,2021,24,1750000,6139997.818181818,-4389997.818181818
S,Kyle Dugger,NE,69.7,462,51.0,2021,Kyle Dugger,2021,25,2082976,5617270.545454546,-3534294.545454546
CB,Emmanuel Moseley,SF,69.1,498,53.0,2021,Emmanuel Moseley,2021,24,4692000,5946816.0,-1254816.0
CB,Jalen Mills,NE,67.5,529,59.0,2021,Jalen Mills,2021,26,6000000,5048331.181818182,951668.8181818184
S,Tyrann Mathieu,KC,67.4,730,60.0,2021,Tyrann Mathieu,2021,28,14000000,6093785.7272727275,7906214.2727272725
CB,Robert Alford,ARZ,66.9,409,61.0,2021,Robert Alford,2021,32,990000,7116513.0,-6126513.0
S,Xavier Woods,MIN,66.4,758,63.0,2021,Xavier Woods,2021,25,1750000,7034694.818181818,-5284694.818181818
S,Chuck Clark,BLT,66.3,676,64.0,2021,Chuck Clark,2021,25,5100000,8345333.363636363,-3245333.3636363633
CB,Anthony Brown,DAL,66.0,706,67.0,2021,Anthony Brown,2021,27,5166667,8311969.7272727275,-3145302.7272727275
CB,Marlon Humphrey,BLT,65.9,498,68.0,2021,Marlon Humphrey,2021,25,19500000,9107424.272727273,10392575.727272727
CB,Tre'Davious White,BUF,65.7,408,70.0,2021,Tre'Davious White,2021,26,17250000,8561969.727272727,8688030.272727273
CB,Nik Needham,MIA,65.2,438,72.0,2021,Nik Needham,2021,24,850000,8688106.090909092,-7838106.090909092
CB,Byron Jones,MIA,65.0,626,74.0,2021,Byron Jones,2021,28,16500000,9256287.909090908,7243712.090909092
S,Rodney McLeod,PHI,64.8,477,75.0,2021,Rodney McLeod,2021,30,4325000,8890378.818181818,-4565378.818181818
S,Budda Baker,ARZ,64.6,658,76.0,2021,Budda Baker,2021,25,14750000,8694318.181818182,6055681.818181818
S,Malcolm Jenkins,NO,64.5,679,78.0,2021,Malcolm Jenkins,2021,33,8000000,8239772.7272727275,-239772.72727272753
CB,K'Waun Williams,SF,63.5,572,85.0,2021,K'Waun Williams,2021,29,2377500,7035227.2727272725,-4657727.2727272725
CB,Patrick Peterson,MIN,63.0,548,87.0,2021,Patrick Peterson,2021,30,8000000,7391590.909090909,608409.0909090908
S,Andrew Sendejo,IND,62.9,410,88.0,2021,Andrew Sendejo,2021,33,1075000,6324863.636363637,-5249863.636363637
CB,Steven Nelson,PHI,62.9,629,88.0,2021,Steven Nelson,2021,28,3010000,6034181.818181818,-3024181.8181818184
CB,James Bradberry,NYG,62.8,690,90.0,2021,James Bradberry,2021,27,14500000,4852363.636363637,9647636.363636363
S,Anthony Harris,PHI,62.0,539,95.0,2021,Anthony Harris,2021,29,4000000,4534181.818181818,-534181.8181818184
CB,Xavier Rhodes,IND,61.8,402,97.0,2021,Xavier Rhodes,2021,30,4770000,5227136.363636363,-457136.3636363633
CB,Darious Williams,LA,61.8,749,97.0,2021,Darious Williams,2021,28,4766000,4589863.636363637,176136.3636363633
S,Damontae Kazee,DAL,61.8,606,97.0,2021,Damontae Kazee,2021,27,1127500,4575772.7272727275,-3448272.7272727275
CB,Levi Wallace,BUF,61.6,686,100.0,2021,Levi Wallace,2021,25,1750000,4411227.2727272725,-2661227.2727272725
CB,Jourdan Lewis,DAL,61.3,595,101.0,2021,Jourdan Lewis,2021,25,4500000,4032439.3636363638,467560.63636363624
CB,Ronald Darby,DEN,61.1,412,103.0,2021,Ronald Darby,2021,27,10000000,4450621.181818182,5549378.818181818
S,Dean Marlowe,DET,61.0,417,104.0,2021,Dean Marlowe,2021,28,990000,5621075.7272727275,-4631075.7272727275
S,Sean Chandler,CAR,60.7,322,106.0,2021,Sean Chandler,2021,24,920000,5310530.2727272725,-4390530.2727272725
CB,Eli Apple,CIN,60.5,845,108.0,2021,Eli Apple,2021,25,1200000,5617121.181818182,-4417121.181818182
S,Logan Ryan,NYG,60.4,602,109.0,2021,Logan Ryan,2021,30,10333333,5568257.545454546,4765075.454545454
CB,Tavon Young,BLT,60.4,404,109.0,2021,Tavon Young,2021,26,8600000,6486439.363636363,2113560.6363636367
S,Jamal Adams,SEA,60.1,519,112.0,2021,Jamal Adams,2021,25,17645000,5679848.454545454,11965151.545454547
S,Erik Harris,ATL,59.7,421,113.0,2021,Erik Harris,2021,30,1350000,5692348.454545454,-4342348.454545454
CB,Cameron Sutton,PIT,59.3,689,114.0,2021,Cameron Sutton,2021,26,4500000,5662196.909090909,-1162196.9090909092
S,Duron Harmon,ATL,59.1,611,116.0,2021,Duron Harmon,2021,30,1212500,6348560.545454546,-5136060.545454546
S,Eddie Jackson,CHI,59.0,438,117.0,2021,Eddie Jackson,2021,28,14600000,5603075.7272727275,8996924.272727273
CB,Fabian Moreau,ATL,57.7,597,125.0,2021,Fabian Moreau,2021,26,1127500,6093984.818181818,-4966484.818181818
S,Jaquiski Tartt,SF,57.5,592,127.0,2021,Jaquiski Tartt,2021,29,1127500,5253530.2727272725,-4126030.2727272725
CB,Tevaughn Campbell,LAC,56.9,412,129.0,2021,Tevaughn Campbell,2021,27,588333,5426257.545454546,-4837924.545454546
S,Rayshawn Jenkins,JAX,56.9,485,129.0,2021,Rayshawn Jenkins,2021,27,8750000,5471712.090909091,3278287.909090909
CB,Chandon Sullivan,GB,55.0,615,135.0,2021,Chandon Sullivan,2021,24,2133000,5906939.363636363,-3773939.3636363633
S,Landon Collins,WAS,54.7,425,136.0,2021,Landon Collins,2021,27,14000000,4665575.7272727275,9334424.272727273
CB,Michael Davis,LAC,54.0,523,137.0,2021,Michael Davis,2021,26,8400000,4786893.909090909,3613106.090909091
CB,Terrance Mitchell,HST,52.4,430,142.0,2021,Terrance Mitchell,2021,28,3250000,4820757.545454546,-1570757.5454545459
S,Kareem Jackson,DEN,52.0,533,143.0,2021,Kareem Jackson,2021,32,5000000,5630909.090909091,-630909.0909090908
S,Eric Murray,HST,50.9,417,145.0,2021,Eric Murray,2021,27,6000000,4937954.545454546,1062045.4545454541
CB,Brandon Facyson,LV,49.1,376,149.0,2021,Brandon Facyson,2021,26,945000,5218450.0,-4273450.0
S,Daniel Sorensen,KC,47.7,586,152.0,2021,Daniel Sorensen,2021,30,2462000,4242722.222222222,-1780722.222222222
