team_name,avg_diff,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,win_percentage
ARZ,2475649.5199615196,0.647,0.5,0.312,0.188,0.5,0.438,0.812,0.688,0.625,0.312,0.503
ATL,-1517737.5384615385,0.412,0.25,0.438,0.438,0.625,0.688,0.5,0.375,0.25,0.812,0.478
BLT,218805.52840909114,0.471,0.688,0.875,0.625,0.562,0.5,0.312,0.625,0.5,0.625,0.578
BUF,2590100.673821549,0.647,0.812,0.625,0.375,0.562,0.438,0.5,0.562,0.375,0.375,0.528
CAR,648639.9943181819,0.294,0.312,0.312,0.438,0.688,0.375,0.938,0.438,0.75,0.438,0.497
CHI,-1296366.5021645024,0.353,0.5,0.5,0.75,0.312,0.188,0.375,0.312,0.5,0.625,0.441
CIN,-332684.5985292486,0.588,0.25,0.125,0.375,0.438,0.375,0.75,0.625,0.688,0.625,0.484
CLV,-1821956.5533746558,0.471,0.688,0.375,0.438,0.0,0.062,0.188,0.438,0.25,0.312,0.323
DAL,-325306.59090909094,0.706,0.375,0.5,0.625,0.562,0.812,0.25,0.75,0.5,0.5,0.559
DEN,-1170781.6744366742,0.412,0.312,0.438,0.375,0.312,0.562,0.75,0.75,0.812,0.812,0.559
DET,1529177.000582751,0.176,0.312,0.188,0.375,0.562,0.562,0.438,0.688,0.438,0.25,0.398
GB,-1319523.424242424,0.765,0.812,0.812,0.375,0.438,0.625,0.625,0.75,0.5,0.688,0.64
HST,432729.6056049213,0.235,0.25,0.625,0.688,0.25,0.562,0.562,0.562,0.125,0.75,0.46
IND,850003.2715201464,0.529,0.688,0.438,0.625,0.25,0.5,0.5,0.688,0.688,0.688,0.559
JAX,-2002904.1136904766,0.176,0.062,0.375,0.312,0.625,0.188,0.312,0.188,0.25,0.125,0.261
KC,2287113.4009574917,0.706,0.875,0.75,0.75,0.625,0.75,0.688,0.562,0.688,0.125,0.652
LA,1244524.4516534393,0.706,0.625,0.562,0.812,0.688,0.25,0.438,0.375,0.438,0.438,0.534
LAC,-1505336.2045454544,0.529,0.438,0.312,0.75,0.562,0.312,0.25,0.562,0.562,0.438,0.472
LV,-966346.7272727274,0.588,0.5,0.438,0.25,0.375,0.75,0.438,0.188,0.25,0.25,0.404
MIA,-570816.8370535715,0.529,0.625,0.312,0.438,0.375,0.625,0.375,0.5,0.5,0.438,0.472
MIN,-1303717.474025974,0.471,0.438,0.625,0.5,0.812,0.5,0.688,0.438,0.312,0.625,0.54
NE,-1595009.2139037438,0.588,0.438,0.75,0.688,0.812,0.875,0.75,0.75,0.75,0.75,0.714
NO,684177.7500000002,0.529,0.75,0.812,0.812,0.688,0.438,0.438,0.438,0.688,0.438,0.602
NYG,697414.6386363638,0.235,0.375,0.25,0.312,0.188,0.688,0.375,0.375,0.438,0.562,0.379
NYJ,1855344.413888889,0.235,0.125,0.438,0.25,0.312,0.312,0.625,0.25,0.5,0.375,0.341
PHI,2134453.427676768,0.529,0.25,0.562,0.562,0.812,0.438,0.438,0.625,0.625,0.25,0.509
PIT,1011240.8636363638,0.529,0.75,0.5,0.562,0.812,0.688,0.625,0.688,0.5,0.5,0.614
SEA,-1055478.766694725,0.412,0.75,0.688,0.625,0.562,0.625,0.625,0.75,0.812,0.688,0.652
SF,-287956.4645111833,0.588,0.375,0.812,0.25,0.375,0.125,0.312,0.5,0.75,0.688,0.478
TB,-1116642.7832167835,0.765,0.688,0.438,0.312,0.312,0.562,0.375,0.125,0.25,0.438,0.429
TEN,1127826.7348484849,0.706,0.688,0.562,0.562,0.562,0.562,0.188,0.125,0.438,0.375,0.478
WAS,1352742.0909090906,0.412,0.438,0.188,0.438,0.438,0.5,0.562,0.25,0.188,0.625,0.404
