player,player_id,position,team_name,grades_defense,grades_run_defense,snap_counts_run,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Geno Atkins,5643,DI,CIN,93.9,90.8,292,1.0,2021,622,Geno Atkins,2021,33,4,"$65,200,000",16300000
J.J. Watt,6163,DI,HST,92.3,91.5,346,3.0,2021,89,J.J. Watt,2021,31,2,"$28,000,000",14000000
Cameron Wake,4907,ED,MIA,90.9,75.3,318,4.0,2021,403,Cameron Wake,2021,39,3,"$23,000,000",7666667
Carlos Dunlap,5579,ED,CIN,89.4,79.3,197,6.0,2021,31,Carlos Dunlap,2021,32,2,"$13,600,000",6800000
Jason Pierre-Paul,5540,ED,NYG,83.5,80.9,347,7.0,2021,289,Jason Pierre-Paul,2021,32,2,"$25,000,000",12500000
Gerald McCoy,5528,DI,TB,82.1,73.6,301,10.0,2021,82,Gerald McCoy,2021,33,1,"$1,250,000",1250000
Justin Houston,6222,ED,KC,81.6,73.6,468,11.0,2021,122,Justin Houston,2021,32,1,"$2,075,000",2075000
Calais Campbell,4364,DI,ARZ,76.0,75.3,330,28.0,2021,238,Calais Campbell,2021,34,2,"$25,000,000",12500000
Ndamukong Suh,5527,DI,DET,75.3,56.5,346,31.0,2021,156,Ndamukong Suh,2021,34,1,"$9,000,000",9000000
Linval Joseph,5571,DI,NYG,71.6,68.2,359,48.0,2021,313,Linval Joseph,2021,32,2,"$17,000,000",8500000
Fletcher Cox,7018,DI,PHI,71.0,61.0,205,52.0,2021,972,Fletcher Cox,2021,30,6,"$102,600,000",17100000
Cameron Jordan,6176,ED,NO,70.6,76.4,421,54.0,2021,402,Cameron Jordan,2021,31,3,"$52,500,000",17500000
Jabaal Sheard,6189,ED,CLV,68.8,74.4,391,63.0,2021,90,Jabaal Sheard,2021,31,1,"$1,075,000",1075000
Ryan Kerrigan,6168,ED,WAS,68.0,50.1,384,69.0,2021,176,Ryan Kerrigan,2021,32,1,"$2,500,000",2500000
Derek Wolfe,7040,ED,DEN,64.7,73.4,388,93.0,2021,66,Derek Wolfe,2021,31,3,"$12,000,000",4000000
Michael Brockers,7020,DI,LA,61.9,66.8,263,107.0,2021,147,Michael Brockers,2021,29,3,"$24,000,000",8000000
Tyson Alualu,5535,DI,JAX,57.9,58.0,397,128.0,2021,197,Tyson Alualu,2021,33,2,"$5,500,000",2750000
Dontari Poe,7017,DI,KC,55.5,57.0,340,140.0,2021,269,Dontari Poe,2021,30,2,"$8,500,000",4250000
Geno Atkins,5643,DI,CIN,93.9,90.8,292,1.0,2020,622,Geno Atkins,2020,32,4,"$65,200,000",16300000
Cameron Wake,4907,ED,MIA,90.9,75.3,318,4.0,2020,403,Cameron Wake,2020,38,3,"$23,000,000",7666667
Muhammad Wilkerson,6182,DI,NYJ,89.6,88.6,434,5.0,2020,1036,Muhammad Wilkerson,2020,30,5,"$86,000,000",17200000
Carlos Dunlap,5579,ED,CIN,89.4,79.3,197,6.0,2020,580,Carlos Dunlap,2020,31,3,"$40,650,000",13550000
Jason Pierre-Paul,5540,ED,NYG,83.5,80.9,347,7.0,2020,289,Jason Pierre-Paul,2020,31,2,"$25,000,000",12500000
Gerald McCoy,5528,DI,TB,82.1,73.6,301,10.0,2020,277,Gerald McCoy,2020,32,3,"$18,300,000",6100000
Justin Houston,6222,ED,KC,81.6,73.6,468,11.0,2020,484,Justin Houston,2020,31,2,"$24,000,000",12000000
Jurrell Casey,6229,DI,TEN,79.2,83.7,361,14.0,2020,833,Jurrell Casey,2020,30,4,"$60,400,000",15100000
Calais Campbell,4364,DI,ARZ,76.0,75.3,330,28.0,2020,238,Calais Campbell,2020,33,2,"$25,000,000",12500000
Michael Bennett,5273,ED,TB,75.7,71.0,316,29.0,2020,503,Michael Bennett,2020,34,2,"$16,750,000",8375000
Nick Fairley,6165,DI,DET,75.5,75.8,192,30.0,2020,866,Nick Fairley,2020,32,4,"$28,000,000",7000000
Ndamukong Suh,5527,DI,DET,75.3,56.5,346,31.0,2020,330,Ndamukong Suh,2020,33,1,"$8,000,000",8000000
Linval Joseph,5571,DI,NYG,71.6,68.2,359,48.0,2020,313,Linval Joseph,2020,31,2,"$17,000,000",8500000
Fletcher Cox,7018,DI,PHI,71.0,61.0,205,52.0,2020,972,Fletcher Cox,2020,29,6,"$102,600,000",17100000
Cameron Jordan,6176,ED,NO,70.6,76.4,421,54.0,2020,402,Cameron Jordan,2020,30,3,"$52,500,000",17500000
Jabaal Sheard,6189,ED,CLV,68.8,74.4,391,63.0,2020,283,Jabaal Sheard,2020,30,1,"$1,050,000",1050000
Earl Mitchell,5605,DI,HST,68.5,69.4,208,66.0,2020,796,Earl Mitchell,2020,29,4,"$16,000,000",4000000
Kyle Love,5806,DI,NE,66.6,68.6,273,78.0,2020,310,Kyle Love,2020,33,1,"$1,050,000",1050000
Corey Liuget,6170,DI,LAC,65.5,65.4,266,83.0,2020,250,Corey Liuget,2020,29,1,"$1,050,000",1050000
Marcell Dareus,6155,DI,BUF,65.0,51.4,328,89.0,2020,498,Marcell Dareus,2020,30,2,"$28,085,000",14042500
Derek Wolfe,7040,ED,DEN,64.7,73.4,388,93.0,2020,264,Derek Wolfe,2020,30,1,"$3,000,000",3000000
Brandon Mebane,3701,DI,SEA,64.5,67.4,323,94.0,2020,396,Brandon Mebane,2020,35,2,"$10,550,000",5275000
Jerry Hughes,5556,ED,IND,62.6,55.8,278,104.0,2020,469,Jerry Hughes,2020,31,2,"$21,500,000",10750000
Michael Brockers,7020,DI,LA,61.9,66.8,263,107.0,2020,321,Michael Brockers,2020,29,3,"$24,000,000",8000000
Billy Winn,7190,DI,CLV,59.8,68.5,250,115.0,2020,229,Billy Winn,2020,30,1,"$910,000",910000
Tyson Alualu,5535,DI,JAX,57.9,58.0,397,128.0,2020,548,Tyson Alualu,2020,32,2,"$5,750,000",2875000
Dontari Poe,7017,DI,KC,55.5,57.0,340,140.0,2020,269,Dontari Poe,2020,29,2,"$8,500,000",4250000
Geno Atkins,5643,DI,CIN,93.9,90.8,292,1.0,2019,622,Geno Atkins,2019,31,4,"$65,200,000",16300000
J.J. Watt,6163,DI,HST,92.3,91.5,346,3.0,2019,1318,J.J. Watt,2019,30,6,"$100,005,425",16667571
Cameron Wake,4907,ED,MIA,90.9,75.3,318,4.0,2019,403,Cameron Wake,2019,37,3,"$23,000,000",7666667
Muhammad Wilkerson,6182,DI,NYJ,89.6,88.6,434,5.0,2019,1036,Muhammad Wilkerson,2019,29,5,"$86,000,000",17200000
Carlos Dunlap,5579,ED,CIN,89.4,79.3,197,6.0,2019,580,Carlos Dunlap,2019,30,3,"$40,650,000",13550000
Jason Pierre-Paul,5540,ED,NYG,83.5,80.9,347,7.0,2019,465,Jason Pierre-Paul,2019,30,1,"$3,000,000",3000000
Gerald McCoy,5528,DI,TB,82.1,73.6,301,10.0,2019,453,Gerald McCoy,2019,31,1,"$8,000,000",8000000
Justin Houston,6222,ED,KC,81.6,73.6,468,11.0,2019,484,Justin Houston,2019,30,2,"$24,000,000",12000000
Jurrell Casey,6229,DI,TEN,79.2,83.7,361,14.0,2019,833,Jurrell Casey,2019,29,4,"$60,400,000",15100000
Calais Campbell,4364,DI,ARZ,76.0,75.3,330,28.0,2019,755,Calais Campbell,2019,32,4,"$60,000,000",15000000
Michael Bennett,5273,ED,TB,75.7,71.0,316,29.0,2019,503,Michael Bennett,2019,33,2,"$16,750,000",8375000
Nick Fairley,6165,DI,DET,75.5,75.8,192,30.0,2019,866,Nick Fairley,2019,31,4,"$28,000,000",7000000
Ndamukong Suh,5527,DI,DET,75.3,56.5,346,31.0,2019,511,Ndamukong Suh,2019,32,1,"$9,250,000",9250000
Linval Joseph,5571,DI,NYG,71.6,68.2,359,48.0,2019,854,Linval Joseph,2019,30,4,"$50,350,000",12587500
Fletcher Cox,7018,DI,PHI,71.0,61.0,205,52.0,2019,972,Fletcher Cox,2019,28,6,"$102,600,000",17100000
Cameron Jordan,6176,ED,NO,70.6,76.4,421,54.0,2019,402,Cameron Jordan,2019,29,3,"$52,500,000",17500000
Jabaal Sheard,6189,ED,CLV,68.8,74.4,391,63.0,2019,813,Jabaal Sheard,2019,29,3,"$25,500,000",8500000
Earl Mitchell,5605,DI,HST,68.5,69.4,208,66.0,2019,441,Earl Mitchell,2019,31,1,"$1,020,000",1020000
Ryan Kerrigan,6168,ED,WAS,68.0,50.1,384,69.0,2019,1222,Ryan Kerrigan,2019,30,5,"$57,500,000",11500000
Kyle Love,5806,DI,NE,66.6,68.6,273,78.0,2019,491,Kyle Love,2019,32,1,"$1,350,000",1350000
Corey Liuget,6170,DI,LAC,65.5,65.4,266,83.0,2019,415,Corey Liuget,2019,29,1,"$1,000,000",1000000
Derrick Shelby,7400,ED,MIA,65.0,60.4,106,89.0,2019,965,Derrick Shelby,2019,30,4,"$18,000,000",4500000
