position,player_name,team_name,grades_defense,snap_counts_run,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
DI,Geno Atkins,CIN,93.9,292,1.0,2021,Geno Atkins,2021,33,16300000,9752777.833333334,6547222.166666666
DI,J.J. Watt,HST,92.3,346,3.0,2021,J.J. Watt,2021,31,14000000,8655952.42857143,5344047.571428571
ED,Cameron Wake,MIA,90.9,318,4.0,2021,Cameron Wake,2021,39,7666667,9136458.375,-1469791.375
ED,Carlos Dunlap,CIN,89.4,197,6.0,2021,Carlos Dunlap,2021,32,6800000,9121296.333333334,-2321296.333333334
ED,Jason Pierre-Paul,NYG,83.5,347,7.0,2021,Jason Pierre-Paul,2021,32,12500000,9059166.7,3440833.3000000007
DI,Gerald McCoy,TB,82.1,301,10.0,2021,Gerald McCoy,2021,33,1250000,9790151.545454545,-8540151.545454545
ED,Justin Houston,KC,81.6,468,11.0,2021,Justin Houston,2021,32,2075000,9899242.454545455,-7824242.454545455
DI,Calais Campbell,ARZ,76.0,330,28.0,2021,Calais Campbell,2021,34,12500000,8724242.454545455,3775757.545454545
DI,Ndamukong Suh,DET,75.3,346,31.0,2021,Ndamukong Suh,2021,34,9000000,8254545.454545454,745454.5454545459
DI,Linval Joseph,NYG,71.6,359,48.0,2021,Linval Joseph,2021,32,8500000,8000000.0,500000.0
DI,Fletcher Cox,PHI,71.0,205,52.0,2021,Fletcher Cox,2021,30,17100000,7590909.090909091,9509090.90909091
ED,Cameron Jordan,NO,70.6,421,54.0,2021,Cameron Jordan,2021,31,17500000,7727272.7272727275,9772727.272727273
ED,Jabaal Sheard,CLV,68.8,391,63.0,2021,Jabaal Sheard,2021,31,1075000,7925000.0,-6850000.0
ED,Ryan Kerrigan,WAS,68.0,384,69.0,2021,Ryan Kerrigan,2021,32,2500000,7467500.0,-4967500.0
ED,Derek Wolfe,DEN,64.7,388,93.0,2021,Derek Wolfe,2021,31,4000000,7297222.222222222,-3297222.222222222
DI,Michael Brockers,LA,61.9,263,107.0,2021,Michael Brockers,2021,29,8000000,7146875.0,853125.0
DI,Tyson Alualu,JAX,57.9,397,128.0,2021,Tyson Alualu,2021,33,2750000,5725000.0,-2975000.0
DI,Dontari Poe,KC,55.5,340,140.0,2021,Dontari Poe,2021,30,4250000,3762500.0,487500.0
