player,player_id,position,team_name,grades_defense,grades_run_defense,snap_counts_run,rank,Year
Micah Parsons,81360,LB,DAL,89.7,61.4,346,1.0,2021
De'Vondre Campbell,10749,LB,GB,85.0,81.5,353,2.0,2021
Fred Warner,51222,LB,SF,80.1,77.0,442,3.0,2021
Pete Werner,58093,LB,NO,79.9,91.0,172,4.0,2021
Darius Leonard,49684,LB,IND,79.0,91.1,367,5.0,2021
Demario Davis,7079,LB,NO,77.2,78.0,362,6.0,2021
Jeremiah Owusu-Koramoah,58089,LB,CLV,76.0,77.8,220,7.0,2021
T.J. Edwards,30737,LB,PHI,75.5,76.6,298,8.0,2021
Josh Bynes,6503,LB,BLT,74.8,74.8,239,9.0,2021
Shaq Thompson,9458,LB,CAR,72.7,64.6,340,10.0,2021
Nick Bolton,81322,LB,KC,72.5,76.4,333,11.0,2021
Lavonte David,7060,LB,TB,72.3,70.0,272,12.0,2021
Bobby Wagner,7050,LB,SEA,71.8,76.7,453,13.0,2021
Kyle Van Noy,8675,LB,NE,71.6,61.8,341,14.0,2021
Anthony Walker,11916,LB,CLV,69.1,51.2,283,15.0,2021
David Long,29367,LB,TEN,68.0,66.6,185,16.0,2021
Matt Milano,11918,LB,BUF,67.0,68.3,399,17.0,2021
Kyzir White,44485,LB,LAC,66.5,63.0,424,18.0,2021
Ja'Whaun Bentley,50966,LB,NE,65.1,68.3,331,19.0,2021
Drue Tranquill,51276,LB,LAC,64.6,45.4,209,20.0,2021
Denzel Perryman,9481,LB,LV,63.9,70.9,356,21.0,2021
Azeez Al-Shaair,49792,LB,SF,63.5,67.4,325,22.0,2021
Zach Cunningham,11812,LB,TEN,62.9,87.4,289,23.0,2021
Jordan Hicks,9517,LB,ARZ,62.6,65.9,442,24.0,2021
Logan Wilson,29623,LB,CIN,61.5,56.6,319,25.0,2021
Ernest Jones,81399,LB,LA,61.4,46.2,181,26.0,2021
Reggie Ragland,10675,LB,NYG,61.2,65.3,222,27.0,2021
Jerome Baker,28091,LB,MIA,60.9,42.4,365,28.0,2021
Leighton Vander Esch,50950,LB,DAL,60.8,60.2,325,29.0,2021
Eric Kendricks,9478,LB,MIN,59.9,42.9,398,30.0,2021
Bobby Okereke,50954,LB,IND,58.5,51.6,393,31.0,2021
