position,player_name,team_name,grades_defense,snap_counts_run,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
LB,De'Vondre Campbell,GB,85.0,353,2.0,2021,De'Vondre Campbell,2021,27,2000000,8836666.666666666,-6836666.666666666
LB,Fred Warner,SF,80.1,442,3.0,2021,Fred Warner,2021,24,19045000,9518321.42857143,9526678.57142857
LB,Darius Leonard,IND,79.0,367,5.0,2021,Darius Leonard,2021,26,19700000,9891031.25,9808968.75
LB,Demario Davis,NO,77.2,362,6.0,2021,Demario Davis,2021,32,9000000,10792027.777777778,-1792027.777777778
LB,T.J. Edwards,PHI,75.5,298,8.0,2021,T.J. Edwards,2021,25,2200000,10312825.0,-8112825.0
LB,Josh Bynes,BLT,74.8,239,9.0,2021,Josh Bynes,2021,31,1075000,10318477.272727273,-9243477.272727273
LB,Shaq Thompson,CAR,72.7,340,10.0,2021,Shaq Thompson,2021,27,13608250,10409386.363636363,3198863.6363636367
LB,Lavonte David,TB,72.3,272,12.0,2021,Lavonte David,2021,31,12500000,9996204.545454545,2503795.454545455
LB,Bobby Wagner,SEA,71.8,453,13.0,2021,Bobby Wagner,2021,31,18000000,8978022.727272727,9021977.272727273
LB,Kyle Van Noy,NE,71.6,341,14.0,2021,Kyle Van Noy,2021,29,6000000,8272240.7272727275,-2272240.7272727275
LB,Matt Milano,BUF,67.0,399,17.0,2021,Matt Milano,2021,25,10375000,8174740.7272727275,2200259.2727272725
LB,Denzel Perryman,LV,63.9,356,21.0,2021,Denzel Perryman,2021,28,3000000,9213377.090909092,-6213377.090909092
LB,Zach Cunningham,TEN,62.9,289,23.0,2021,Zach Cunningham,2021,26,14500000,8885354.363636363,5614645.636363637
LB,Jordan Hicks,ARZ,62.6,442,24.0,2021,Jordan Hicks,2021,29,8500000,7826263.454545454,673736.5454545459
LB,Logan Wilson,CIN,61.5,319,25.0,2021,Logan Wilson,2021,25,1236398,6371263.454545454,-5134865.454545454
LB,Reggie Ragland,NYG,61.2,222,27.0,2021,Reggie Ragland,2021,27,1127500,6803081.636363637,-5675581.636363637
LB,Jerome Baker,MIA,60.9,365,28.0,2021,Jerome Baker,2021,24,12500000,6678081.636363637,5821918.363636363
LB,Eric Kendricks,MIN,59.9,398,30.0,2021,Eric Kendricks,2021,29,10000000,6678081.636363637,3321918.3636363633
LB,Alex Singleton,PHI,54.1,271,35.0,2021,Alex Singleton,2021,27,850000,6428081.636363637,-5578081.636363637
LB,Elandon Roberts,MIA,54.1,321,35.0,2021,Elandon Roberts,2021,26,1995000,5882627.090909091,-3887627.090909091
LB,Joe Schobert,PIT,53.6,430,38.0,2021,Joe Schobert,2021,27,10750000,5952045.454545454,4797954.545454546
LB,Anthony Hitchens,KC,52.2,329,40.0,2021,Anthony Hitchens,2021,28,9000000,5902727.2727272725,3097272.7272727275
LB,Christian Kirksey,HST,50.3,368,42.0,2021,Christian Kirksey,2021,28,3000000,4925454.545454546,-1925454.5454545459
LB,Cory Littleton,LV,48.3,317,45.0,2021,Cory Littleton,2021,27,11750000,5561818.181818182,6188181.818181818
LB,Kamu Grugier-Hill,HST,44.4,371,49.0,2021,Kamu Grugier-Hill,2021,26,2500000,5643636.363636363,-3143636.3636363633
LB,Damien Wilson,JAX,44.0,405,51.0,2021,Damien Wilson,2021,27,2000000,6757727.2727272725,-4757727.2727272725
LB,Troy Reeder,LA,43.1,355,53.0,2021,Troy Reeder,2021,26,585000,5878181.818181818,-5293181.818181818
LB,Nick Vigil,MIN,42.1,302,55.0,2021,Nick Vigil,2021,27,1750000,5566000.0,-3816000.0
LB,C.J. Mosley,NYJ,42.0,463,56.0,2021,C.J. Mosley,2021,28,17000000,5851111.111111111,11148888.888888888
LB,Alex Anzalone,DET,35.4,366,58.0,2021,Alex Anzalone,2021,26,1750000,5113750.0,-3363750.0
LB,Deion Jones,ATL,34.6,459,60.0,2021,Deion Jones,2021,26,14250000,5487142.857142857,8762857.142857142
LB,Alec Ogletree,CHI,29.4,339,63.0,2021,Alec Ogletree,2021,29,1075000,6068333.333333333,-4993333.333333333
LB,Bobby Wagner,SEA,85.1,401,2.0,2020,Bobby Wagner,2020,30,18000000,11416666.666666666,6583333.333333334
LB,Eric Kendricks,MIN,82.6,300,3.0,2020,Eric Kendricks,2020,28,10000000,10785714.285714285,-785714.2857142854
LB,Demario Davis,NO,77.8,419,5.0,2020,Demario Davis,2020,31,9000000,9737500.0,-737500.0
LB,Blake Martinez,NYG,75.9,411,6.0,2020,Blake Martinez,2020,26,10250000,10072222.222222222,177777.77777777798
LB,K.J. Wright,SEA,75.7,371,7.0,2020,K.J. Wright,2020,30,7000000,9123500.0,-2123500.0
LB,Deion Jones,ATL,68.7,348,10.0,2020,Deion Jones,2020,25,14250000,9612272.727272727,4637727.272727273
LB,Nick Kwiatkoski,LV,67.1,281,14.0,2020,Nick Kwiatkoski,2020,26,7000000,8157727.2727272725,-1157727.2727272725
LB,B.J. Goodson,CLV,66.0,339,16.0,2020,B.J. Goodson,2020,26,2400000,7297727.2727272725,-4897727.2727272725
LB,Kyle Van Noy,MIA,61.6,311,20.0,2020,Kyle Van Noy,2020,28,12750000,7706818.181818182,5043181.818181818
