team_name,avg_diff,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,win_percentage
ARZ,1192402.6681440254,0.647,0.5,0.312,0.188,0.5,0.438,0.812,0.688,0.625,0.312,0.503
ATL,700560.8579545454,0.412,0.25,0.438,0.438,0.625,0.688,0.5,0.375,0.25,0.812,0.478
BLT,1358855.4962121213,0.471,0.688,0.875,0.625,0.562,0.5,0.312,0.625,0.5,0.625,0.578
BUF,990469.4909090914,0.647,0.812,0.625,0.375,0.562,0.438,0.5,0.562,0.375,0.375,0.528
CAR,-597084.2038139331,0.294,0.312,0.312,0.438,0.688,0.375,0.938,0.438,0.75,0.438,0.497
CHI,-1728405.7844919786,0.353,0.5,0.5,0.75,0.312,0.188,0.375,0.312,0.5,0.625,0.441
CIN,359756.4821615165,0.588,0.25,0.125,0.375,0.438,0.375,0.75,0.625,0.688,0.625,0.484
CLV,-222674.9755997473,0.471,0.688,0.375,0.438,0.0,0.062,0.188,0.438,0.25,0.312,0.323
DAL,32145.52153110053,0.706,0.375,0.5,0.625,0.562,0.812,0.25,0.75,0.5,0.5,0.559
DEN,-620304.0649350649,0.412,0.312,0.438,0.375,0.312,0.562,0.75,0.75,0.812,0.812,0.559
DET,-304873.52121212124,0.176,0.312,0.188,0.375,0.562,0.562,0.438,0.688,0.438,0.25,0.398
GB,341110.38807429146,0.765,0.812,0.812,0.375,0.438,0.625,0.625,0.75,0.5,0.688,0.64
HST,1085154.3334165832,0.235,0.25,0.625,0.688,0.25,0.562,0.562,0.562,0.125,0.75,0.46
IND,1001069.3438762624,0.529,0.688,0.438,0.625,0.25,0.5,0.5,0.688,0.688,0.688,0.559
JAX,-523870.70707070717,0.176,0.062,0.375,0.312,0.625,0.188,0.312,0.188,0.25,0.125,0.261
KC,-391851.11409749667,0.706,0.875,0.75,0.75,0.625,0.75,0.688,0.562,0.688,0.125,0.652
LA,828568.0227272728,0.706,0.625,0.562,0.812,0.688,0.25,0.438,0.375,0.438,0.438,0.534
LAC,468600.8881118882,0.529,0.438,0.312,0.75,0.562,0.312,0.25,0.562,0.562,0.438,0.472
LV,-1002875.1714452215,0.588,0.5,0.438,0.25,0.375,0.75,0.438,0.188,0.25,0.25,0.404
MIA,-884460.1713286717,0.529,0.625,0.312,0.438,0.375,0.625,0.375,0.5,0.5,0.438,0.472
MIN,-396449.90022586106,0.471,0.438,0.625,0.5,0.812,0.5,0.688,0.438,0.312,0.625,0.54
NE,576842.8902056278,0.588,0.438,0.75,0.688,0.812,0.875,0.75,0.75,0.75,0.75,0.714
NO,112811.72330447311,0.529,0.75,0.812,0.812,0.688,0.438,0.438,0.438,0.688,0.438,0.602
NYG,-917924.4895104894,0.235,0.375,0.25,0.312,0.188,0.688,0.375,0.375,0.438,0.562,0.379
NYJ,132605.03959595945,0.235,0.125,0.438,0.25,0.312,0.312,0.625,0.25,0.5,0.375,0.341
PHI,-820450.4523809523,0.529,0.25,0.562,0.562,0.812,0.438,0.438,0.625,0.625,0.25,0.509
PIT,69234.71212121205,0.529,0.75,0.5,0.562,0.812,0.688,0.625,0.688,0.5,0.5,0.614
SEA,574718.8238011989,0.412,0.75,0.688,0.625,0.562,0.625,0.625,0.75,0.812,0.688,0.652
SF,-1083880.7314352316,0.588,0.375,0.812,0.25,0.375,0.125,0.312,0.5,0.75,0.688,0.478
TB,-915598.1012700535,0.765,0.688,0.438,0.312,0.312,0.562,0.375,0.125,0.25,0.438,0.429
TEN,-16319.685314685285,0.706,0.688,0.562,0.562,0.562,0.562,0.188,0.125,0.438,0.375,0.478
WAS,513725.74272727274,0.412,0.438,0.188,0.438,0.438,0.5,0.562,0.25,0.188,0.625,0.404
