player,player_id,position,team_name,grades_offense,grades_run_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2021,9,Andre Smith,2021,33,1,"$1,075,000",1075000
Nate Solder,6169,T,NE,81.0,80.7,1383,21.0,2021,765,Nate Solder,2021,32,4,"$62,000,000",15500000
Trent Williams,5529,T,WAS,80.4,78.8,1025,26.0,2021,193,Trent Williams,2021,32,6,"$138,060,000",23010000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2021,6,Alex Mack,2021,35,3,"$14,850,000",4950000
Matt Kalil,7010,T,MIN,78.6,72.4,1096,34.0,2021,953,Matt Kalil,2021,31,5,"$55,500,000",11100000
Anthony Castonzo,6174,T,IND,77.8,84.0,1259,42.0,2021,221,Anthony Castonzo,2021,32,2,"$33,000,000",16500000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2021,586,Rodger Saffold,2021,32,4,"$44,000,000",11000000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2021,219,Andrew Whitworth,2021,39,3,"$30,000,077",10000026
Kevin Zeitler,7032,G,CIN,75.4,70.4,1099,57.0,2021,135,Kevin Zeitler,2021,31,3,"$22,500,000",7500000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2021,173,Richie Incognito,2021,37,1,"$2,120,000",2120000
Mitchell Schwartz,7041,T,CLV,72.9,67.0,1031,71.0,2021,570,Mitchell Schwartz,2021,32,3,"$24,455,000",8151667
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2021,374,Stefen Wisniewski,2021,31,2,"$2,850,000",1425000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2021,190,Ted Larsen,2021,34,1,"$1,075,000",1075000
Bobby Massie,7112,T,ARZ,63.7,72.3,1052,128.0,2021,20,Bobby Massie,2021,31,1,"$2,500,000",2500000
Dennis Kelly,7146,T,PHI,57.4,60.0,685,152.0,2021,67,Dennis Kelly,2021,31,1,"$1,325,000",1325000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2020,506,Joe Staley,2020,35,2,"$28,000,000",14000000
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2020,682,Duane Brown,2020,34,3,"$34,500,000",11500000
Mike Iupati,5542,G,SF,81.8,86.6,1173,17.0,2020,348,Mike Iupati,2020,32,1,"$2,500,000",2500000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2020,217,Andre Smith,2020,32,1,"$1,075,000",1075000
