position,player_name,team_name,grades_offense,snap_counts_block,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
T,Andre Smith,CIN,81.2,1095,19.0,2021,Andre Smith,2021,33,1075000,12022500.0,-10947500.0
T,Nate Solder,NE,81.0,1383,21.0,2021,Nate Solder,2021,32,15500000,11876428.57142857,3623571.428571429
T,Trent Williams,WAS,80.4,1025,26.0,2021,Trent Williams,2021,32,23010000,11641878.25,11368121.75
C,Alex Mack,CLV,79.7,1031,30.0,2021,Alex Mack,2021,35,4950000,11181669.555555556,-6231669.555555556
T,Matt Kalil,MIN,78.6,1096,34.0,2021,Matt Kalil,2021,31,11100000,10275502.6,824497.4000000004
T,Anthony Castonzo,IND,77.8,1259,42.0,2021,Anthony Castonzo,2021,32,16500000,10082426.636363637,6417573.363636363
T,Rodger Saffold,LA,77.3,600,48.0,2021,Rodger Saffold,2021,32,11000000,10114244.818181818,885755.1818181816
T,Andrew Whitworth,CIN,75.7,1042,55.0,2021,Andrew Whitworth,2021,39,10000026,8802881.181818182,1197144.8181818184
G,Kevin Zeitler,CIN,75.4,1099,57.0,2021,Kevin Zeitler,2021,31,7500000,6938335.7272727275,561664.2727272725
G,Richie Incognito,MIA,73.8,1027,64.0,2021,Richie Incognito,2021,37,2120000,6608790.2727272725,-4488790.2727272725
T,Mitchell Schwartz,CLV,72.9,1031,71.0,2021,Mitchell Schwartz,2021,32,8151667,6159669.3,1991997.7000000002
C,Stefen Wisniewski,LV,68.1,1007,103.0,2021,Stefen Wisniewski,2021,31,1425000,5010743.666666667,-3585743.666666667
C,Ted Larsen,TB,64.5,843,123.0,2021,Ted Larsen,2021,34,1075000,4262086.625,-3187086.625
T,Bobby Massie,ARZ,63.7,1052,128.0,2021,Bobby Massie,2021,31,2500000,3442381.0,-942381.0
T,Dennis Kelly,PHI,57.4,685,152.0,2021,Dennis Kelly,2021,31,1325000,2766111.1666666665,-1441111.1666666665
T,Joe Staley,SF,92.2,1152,2.0,2020,Joe Staley,2020,35,14000000,8929166.666666666,5070833.333333334
T,Duane Brown,HST,90.1,1265,3.0,2020,Duane Brown,2020,34,11500000,9239285.714285715,2260714.2857142854
G,Mike Iupati,SF,81.8,1173,17.0,2020,Mike Iupati,2020,32,2500000,9740625.0,-7240625.0
T,Andre Smith,CIN,81.2,1095,19.0,2020,Andre Smith,2020,32,1075000,10491666.666666666,-9416666.666666666
T,Nate Solder,NE,81.0,1383,21.0,2020,Nate Solder,2020,31,15500000,10542500.0,4957500.0
C,Alex Mack,CLV,79.7,1031,30.0,2020,Alex Mack,2020,34,9000000,10493184.181818182,-1493184.1818181816
T,Matt Kalil,MIN,78.6,1096,34.0,2020,Matt Kalil,2020,30,11100000,10190153.909090908,909846.0909090918
T,Russell Okung,SEA,78.4,1050,37.0,2020,Russell Okung,2020,31,13250000,10144699.363636363,3105300.6363636367
T,Anthony Castonzo,IND,77.8,1259,42.0,2020,Anthony Castonzo,2020,31,16500000,10494699.363636363,6005300.636363637
T,Rodger Saffold,LA,77.3,600,48.0,2020,Rodger Saffold,2020,31,11000000,11138032.727272727,-138032.7272727266
T,Andrew Whitworth,CIN,75.7,1042,55.0,2020,Andrew Whitworth,2020,38,10000026,9836896.363636363,163129.6363636367
G,Kevin Zeitler,CIN,75.4,1099,57.0,2020,Kevin Zeitler,2020,29,10666667,10109623.636363637,557043.3636363633
C,Maurkice Pouncey,PIT,75.1,930,58.0,2020,Maurkice Pouncey,2020,30,11000000,9475532.727272727,1524467.2727272734
G,Richie Incognito,MIA,73.8,1027,64.0,2020,Richie Incognito,2020,36,6350000,8884623.636363637,-2534623.6363636367
T,Mitchell Schwartz,CLV,72.9,1031,71.0,2020,Mitchell Schwartz,2020,31,8151667,7514169.090909091,637497.9090909092
T,Kelechi Osemele,BLT,72.5,1299,76.0,2020,Kelechi Osemele,2020,31,1187500,6650532.7272727275,-5463032.7272727275
T,Cordy Glenn,BUF,71.1,803,82.0,2020,Cordy Glenn,2020,30,12000000,5836894.0,6163106.0
G,Ramon Foster,PIT,70.1,1010,86.0,2020,Ramon Foster,2020,34,4125000,5594469.7272727275,-1469469.7272727275
G,Ben Jones,HST,69.4,783,89.0,2020,Ben Jones,2020,31,6750000,4980833.363636363,1769166.6363636367
C,Stefen Wisniewski,LV,68.1,1007,103.0,2020,Stefen Wisniewski,2020,30,1425000,4926287.909090909,-3501287.909090909
T,Demar Dotson,TB,67.7,986,104.0,2020,Demar Dotson,2020,34,1500000,4603750.0,-3103750.0
T,Marshall Newhouse,GB,67.6,1229,107.0,2020,Marshall Newhouse,2020,31,1050000,4983333.333333333,-3933333.333333333
T,Bobby Massie,ARZ,63.7,1052,128.0,2020,Bobby Massie,2020,30,8000000,4106250.0,3893750.0
G,Brandon Fusco,MIN,63.2,943,133.0,2020,Brandon Fusco,2020,31,4250000,4103571.4285714286,146428.57142857136
T,Dennis Kelly,PHI,57.4,685,152.0,2020,Dennis Kelly,2020,30,5750000,3662500.0,2087500.0
T,Joe Staley,SF,92.2,1152,2.0,2019,Joe Staley,2019,34,14000000,8387500.0,5612500.0
T,Duane Brown,HST,90.1,1265,3.0,2019,Duane Brown,2019,33,11500000,7760714.285714285,3739285.7142857146
C,John Sullivan,MIN,84.7,1096,8.0,2019,John Sullivan,2019,33,5375000,8728125.0,-3353125.0
G,Marshal Yanda,BLT,84.2,1194,10.0,2019,Marshal Yanda,2019,34,10000000,9269444.444444444,730555.555555556
G,Alex Boone,SF,82.4,1195,14.0,2019,Alex Boone,2019,31,6700000,8692500.0,-1992500.0
G,Mike Iupati,SF,81.8,1173,17.0,2019,Mike Iupati,2019,31,2750000,8720454.545454545,-5970454.545454545
T,Andre Smith,CIN,81.2,1095,19.0,2019,Andre Smith,2019,32,4000000,8129545.454545454,-4129545.454545454
T,Nate Solder,NE,81.0,1383,21.0,2019,Nate Solder,2019,30,15500000,7902272.7272727275,7597727.2727272725
T,Trent Williams,WAS,80.4,1025,26.0,2019,Trent Williams,2019,31,13600000,8618181.818181818,4981818.181818182
T,Jared Veldheer,LV,79.7,1078,30.0,2019,Jared Veldheer,2019,31,3500000,7893636.363636363,-4393636.363636363
C,Alex Mack,CLV,79.7,1031,30.0,2019,Alex Mack,2019,33,9000000,7898181.818181818,1101818.1818181816
T,Matt Kalil,MIN,78.6,1096,34.0,2019,Matt Kalil,2019,29,7500000,8648181.818181818,-1148181.8181818184
C,Mike Pouncey,MIA,78.5,1032,36.0,2019,Mike Pouncey,2019,30,9000000,8948181.818181818,51818.18181818165
T,Russell Okung,SEA,78.4,1050,37.0,2019,Russell Okung,2019,30,13250000,8561818.181818182,4688181.818181818
T,Donald Penn,TB,78.1,1047,38.0,2019,Donald Penn,2019,36,2030000,8295151.545454546,-6265151.545454546
G,Josh Sitton,GB,77.4,1227,46.0,2019,Josh Sitton,2019,32,6750000,8976969.727272727,-2226969.7272727266
T,Rodger Saffold,LA,77.3,600,48.0,2019,Rodger Saffold,2019,30,11000000,8252424.2727272725,2747575.7272727275
T,Orlando Franklin,DEN,76.2,1226,53.0,2019,Orlando Franklin,2019,31,7300000,8025909.090909091,-725909.0909090908
T,Andrew Whitworth,CIN,75.7,1042,55.0,2019,Andrew Whitworth,2019,37,11250000,7948787.909090909,3301212.090909091
G,Kevin Zeitler,CIN,75.4,1099,57.0,2019,Kevin Zeitler,2019,28,10666667,7807878.818181818,2858788.1818181816
C,Maurkice Pouncey,PIT,75.1,930,58.0,2019,Maurkice Pouncey,2019,29,11000000,8714242.454545455,2285757.545454545
G,Richie Incognito,MIA,73.8,1027,64.0,2019,Richie Incognito,2019,35,1030000,8475606.090909092,-7445606.090909092
