team_name,avg_diff,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,win_percentage
ARZ,-111720.20346320356,0.647,0.5,0.312,0.188,0.5,0.438,0.812,0.688,0.625,0.312,0.503
ATL,30810.198773448705,0.412,0.25,0.438,0.438,0.625,0.688,0.5,0.375,0.25,0.812,0.478
BLT,-1632754.542929293,0.471,0.688,0.875,0.625,0.562,0.5,0.312,0.625,0.5,0.625,0.578
BUF,877649.0243867242,0.647,0.812,0.625,0.375,0.562,0.438,0.5,0.562,0.375,0.375,0.528
CAR,852739.2412587412,0.294,0.312,0.312,0.438,0.688,0.375,0.938,0.438,0.75,0.438,0.497
CHI,1723702.3098330237,0.353,0.5,0.5,0.75,0.312,0.188,0.375,0.312,0.5,0.625,0.441
CIN,1153291.215151515,0.588,0.25,0.125,0.375,0.438,0.375,0.75,0.625,0.688,0.625,0.484
CLV,70154.62080808077,0.471,0.688,0.375,0.438,0.0,0.062,0.188,0.438,0.25,0.312,0.323
DAL,2806722.005952381,0.706,0.375,0.5,0.625,0.562,0.812,0.25,0.75,0.5,0.5,0.559
DEN,-657501.0,0.412,0.312,0.438,0.375,0.312,0.562,0.75,0.75,0.812,0.812,0.559
DET,-1540389.8843434341,0.176,0.312,0.188,0.375,0.562,0.562,0.438,0.688,0.438,0.25,0.398
GB,-485335.66668831155,0.765,0.812,0.812,0.375,0.438,0.625,0.625,0.75,0.5,0.688,0.64
HST,1336943.089345839,0.235,0.25,0.625,0.688,0.25,0.562,0.562,0.562,0.125,0.75,0.46
IND,-520499.5909090908,0.529,0.688,0.438,0.625,0.25,0.5,0.5,0.688,0.688,0.688,0.559
JAX,115827.95776643997,0.176,0.062,0.375,0.312,0.625,0.188,0.312,0.188,0.25,0.125,0.261
KC,-1056073.0272727273,0.706,0.875,0.75,0.75,0.625,0.75,0.688,0.562,0.688,0.125,0.652
LA,-176988.9545454546,0.706,0.625,0.562,0.812,0.688,0.25,0.438,0.375,0.438,0.438,0.534
LAC,-448030.8230303029,0.529,0.438,0.312,0.75,0.562,0.312,0.25,0.562,0.562,0.438,0.472
LV,-1930912.391465677,0.588,0.5,0.438,0.25,0.375,0.75,0.438,0.188,0.25,0.25,0.404
MIA,-1337117.5194805197,0.529,0.625,0.312,0.438,0.375,0.625,0.375,0.5,0.5,0.438,0.472
MIN,3666115.841774892,0.471,0.438,0.625,0.5,0.812,0.5,0.688,0.438,0.312,0.625,0.54
NE,-2070618.1727561324,0.588,0.438,0.75,0.688,0.812,0.875,0.75,0.75,0.75,0.75,0.714
NO,43410.48663419923,0.529,0.75,0.812,0.812,0.688,0.438,0.438,0.438,0.688,0.438,0.602
NYG,-1516594.6857208447,0.235,0.375,0.25,0.312,0.188,0.688,0.375,0.375,0.438,0.562,0.379
NYJ,-795326.4763450836,0.235,0.125,0.438,0.25,0.312,0.312,0.625,0.25,0.5,0.375,0.341
PHI,984020.9343434343,0.529,0.25,0.562,0.562,0.812,0.438,0.438,0.625,0.625,0.25,0.509
PIT,762514.1022727273,0.529,0.75,0.5,0.562,0.812,0.688,0.625,0.688,0.5,0.5,0.614
SEA,80840.17023809522,0.412,0.75,0.688,0.625,0.562,0.625,0.625,0.75,0.812,0.688,0.652
SF,-1763594.453787879,0.588,0.375,0.812,0.25,0.375,0.125,0.312,0.5,0.75,0.688,0.478
TB,-1464413.350793651,0.765,0.688,0.438,0.312,0.312,0.562,0.375,0.125,0.25,0.438,0.429
TEN,2606214.315184815,0.706,0.688,0.562,0.562,0.562,0.562,0.188,0.125,0.438,0.375,0.478
WAS,-2244013.336940837,0.412,0.438,0.188,0.438,0.438,0.5,0.562,0.25,0.188,0.625,0.404
