position,player_name,team_name,grades_offense,total_touches,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
HB,Cordarrelle Patterson,ATL,82.2,205,5.0,2021,Cordarrelle Patterson,2021,30,3000000,8908333.333333334,-5908333.333333334
HB,Aaron Jones,GB,82.0,244,6.0,2021,Aaron Jones,2021,26,12000000,8510714.285714285,3489285.7142857146
HB,James Conner,ARZ,81.9,244,7.0,2021,James Conner,2021,25,1750000,7853125.0,-6103125.0
HB,Nick Chubb,CLV,81.7,248,8.0,2021,Nick Chubb,2021,25,12200000,7102777.777777778,5097222.222222222
HB,Joe Mixon,CIN,79.2,419,14.0,2021,Joe Mixon,2021,25,12000000,6942500.0,5057500.0
HB,Derrick Henry,TEN,77.3,257,17.0,2021,Derrick Henry,2021,27,12500000,6875000.0,5625000.0
HB,Austin Ekeler,LAC,75.3,276,20.0,2021,Austin Ekeler,2021,25,6125000,6685909.090909091,-560909.0909090908
HB,Leonard Fournette,TB,75.1,271,21.0,2021,Leonard Fournette,2021,26,3250000,5867727.2727272725,-2617727.2727272725
HB,Tevin Coleman,NYJ,74.1,95,22.0,2021,Tevin Coleman,2021,27,1100000,5857272.7272727275,-4757272.7272727275
HB,Kenyan Drake,LV,73.1,93,23.0,2021,Kenyan Drake,2021,27,5500000,6111818.181818182,-611818.1818181816
HB,Nyheim Hines,IND,72.7,96,24.0,2021,Nyheim Hines,2021,24,6200000,5118636.363636363,1081363.6363636367
HB,D'Onta Foreman,TEN,72.1,146,25.0,2021,D'Onta Foreman,2021,25,920000,4127727.272727273,-3207727.272727273
HB,Jamaal Williams,DET,69.8,179,29.0,2021,Jamaal Williams,2021,25,3000000,3660909.090909091,-660909.0909090908
HB,J.D. McKissic,WAS,69.5,91,32.0,2021,J.D. McKissic,2021,27,1635000,4510909.090909091,-2875909.090909091
HB,Ezekiel Elliott,DAL,69.3,297,33.0,2021,Ezekiel Elliott,2021,26,15000000,4508636.363636363,10491363.636363637
HB,Devonta Freeman,BLT,68.2,167,36.0,2021,Devonta Freeman,2021,29,1075000,4145000.0,-3070000.0
HB,Darrel Williams,KC,66.8,192,39.0,2021,Darrel Williams,2021,25,1600000,3831363.6363636362,-2231363.6363636362
HB,Alex Collins,SEA,66.0,117,42.0,2021,Alex Collins,2021,26,990000,5111363.636363637,-4121363.6363636367
HB,Dalvin Cook,MIN,65.8,284,43.0,2021,Dalvin Cook,2021,26,12600000,5293181.818181818,7306818.181818182
HB,Latavius Murray,BLT,65.5,129,45.0,2021,Latavius Murray,2021,30,1075000,5294545.454545454,-4219545.454545454
HB,Rex Burkhead,HST,65.4,147,46.0,2021,Rex Burkhead,2021,30,1500000,4180909.090909091,-2680909.090909091
HB,Devontae Booker,NYG,65.0,185,47.0,2021,Devontae Booker,2021,28,2750000,4378636.363636363,-1628636.3636363633
HB,Alvin Kamara,NO,63.2,287,51.0,2021,Alvin Kamara,2021,26,15000000,4437727.2727272725,10562272.727272727
HB,David Johnson,HST,60.4,99,57.0,2021,David Johnson,2021,29,5000000,4782500.0,217500.0
HB,Samaje Perine,CIN,60.1,89,58.0,2021,Samaje Perine,2021,25,1650000,3913888.888888889,-2263888.888888889
HB,Mike Davis,ATL,56.3,182,61.0,2021,Mike Davis,2021,28,2750000,4268750.0,-1518750.0
HB,Phillip Lindsay,MIA,53.9,92,63.0,2021,Phillip Lindsay,2021,26,3250000,4664285.714285715,-1414285.7142857146
HB,Carlos Hyde,JAX,53.8,84,64.0,2021,Carlos Hyde,2021,30,2250000,4983333.333333333,-2733333.333333333
HB,Derrick Henry,TEN,91.8,418,1.0,2020,Derrick Henry,2020,26,12500000,7891666.666666667,4608333.333333333
HB,Dalvin Cook,MIN,89.0,356,3.0,2020,Dalvin Cook,2020,25,12600000,7192857.142857143,5407142.857142857
HB,Gus Edwards,BLT,85.5,171,5.0,2020,Gus Edwards,2020,24,750000,7059375.0,-6309375.0
