player,player_id,position,team_name,grades_offense,grades_pass_block,snap_counts_block,rank,Year
Mark Andrews,47436,TE,BLT,91.5,74.0,272,1.0,2021
Dallas Goedert,47272,TE,PHI,90.7,66.1,417,2.0,2021
George Kittle,11901,TE,SF,90.7,76.4,519,2.0,2021
Travis Kelce,7844,TE,KC,85.0,70.8,305,4.0,2021
Kyle Pitts,83964,TE,ATL,79.7,69.7,237,5.0,2021
Dalton Schultz,47304,TE,DAL,78.2,67.3,420,6.0,2021
Rob Gronkowski,5567,TE,TB,76.5,70.1,282,7.0,2021
Marcedes Lewis,2973,TE,GB,75.1,76.7,342,8.0,2021
Pat Freiermuth,84085,TE,PIT,72.6,81.2,274,9.0,2021
Hunter Henry,10669,TE,NE,72.0,52.2,335,10.0,2021
MyCole Pruitt,9576,TE,TEN,71.5,62.6,339,11.0,2021
Charlie Woerner,42257,TE,SF,71.3,75.1,216,12.0,2021
Jack Doyle,8520,TE,IND,71.2,68.3,356,13.0,2021
David Njoku,11784,TE,CLV,70.9,72.4,350,14.0,2021
John Bates,42275,TE,WAS,70.7,55.4,294,15.0,2021
Lee Smith,6311,TE,ATL,70.1,55.6,266,16.0,2021
Darren Waller,9637,TE,LV,69.7,74.2,216,17.0,2021
Donald Parham,91014,TE,LAC,69.2,54.4,228,18.0,2021
Blake Bell,9550,TE,KC,69.1,70.5,269,19.0,2021
Tyler Higbee,10744,TE,LA,69.1,72.0,444,19.0,2021
Mike Gesicki,47153,TE,MIA,68.7,36.6,245,21.0,2021
Jeremy Sprinkle,11909,TE,DAL,68.5,84.6,165,22.0,2021
T.J. Hockenson,40912,TE,DET,68.1,65.4,235,23.0,2021
Albert Okwuegbunam,41933,TE,DEN,67.3,69.3,239,24.0,2021
Tyler Conklin,47124,TE,MIN,66.7,58.5,418,25.0,2021
Mo Alie-Cox,12078,TE,IND,66.4,64.0,341,26.0,2021
Eric Tomlinson,9786,TE,BLT,66.1,71.1,251,27.0,2021
Zach Gentry,36049,TE,PIT,66.0,78.2,315,28.0,2021
Zach Ertz,7816,TE,ARZ,65.5,77.0,314,29.0,2021
Austin Hooper,10715,TE,CLV,64.2,56.6,397,30.0,2021
Will Dissly,30762,TE,SEA,63.8,64.5,309,31.0,2021
Dawson Knox,35883,TE,BUF,63.6,48.4,416,32.0,2021
C.J. Uzomah,9590,TE,CIN,63.6,70.6,371,32.0,2021
Kyle Rudolph,6195,TE,NYG,63.5,62.9,269,34.0,2021
Gerald Everett,11799,TE,SEA,63.5,76.8,269,34.0,2021
Cole Kmet,60995,TE,CHI,63.4,44.5,405,36.0,2021
Stephen Anderson,11160,TE,LAC,62.9,67.3,220,37.0,2021
Adam Trautman,109795,TE,NO,62.7,58.6,377,38.0,2021
Chris Manhertz,10211,TE,JAX,62.6,64.2,280,39.0,2021
Ricky Seals-Jones,12020,TE,WAS,62.3,67.0,207,40.0,2021
Noah Fant,42388,TE,DEN,61.6,39.5,383,41.0,2021
Durham Smythe,47257,TE,MIA,59.5,65.0,412,42.0,2021
Jesse James,9593,TE,CHI,59.4,76.4,162,43.0,2021
Jonnu Smith,11855,TE,NE,58.5,51.9,366,44.0,2021
Tyler Kroft,9518,TE,NYJ,57.6,59.5,168,45.0,2021
Foster Moreau,47043,TE,LV,56.4,46.6,419,46.0,2021
Drew Sample,47259,TE,CIN,56.1,73.4,407,47.0,2021
Ryan Griffin,7982,TE,NYJ,55.8,52.9,301,48.0,2021
Antony Auclair,24606,TE,HST,55.7,43.1,260,49.0,2021
Josiah Deguara,47034,TE,GB,55.6,35.4,147,50.0,2021
Geoff Swaim,9679,TE,TEN,55.6,56.8,555,50.0,2021
Tommy Tremble,84025,TE,CAR,55.2,53.2,233,52.0,2021
Jack Stoll,42058,TE,PHI,54.4,84.2,271,53.0,2021
Evan Engram,11778,TE,NYG,53.5,54.6,234,54.0,2021
Brock Wright,60994,TE,DET,53.5,35.5,212,54.0,2021
Ian Thomas,42130,TE,CAR,52.1,54.7,387,56.0,2021
Garrett Griffin,11439,TE,NO,51.7,59.8,189,57.0,2021
Kendall Blanton,47311,TE,LA,50.7,65.5,142,58.0,2021
O.J. Howard,11774,TE,TB,50.3,31.4,231,59.0,2021
Darrell Daniels,12122,TE,ARZ,49.9,67.0,192,60.0,2021
Pharaoh Brown,12247,TE,HST,48.0,44.4,393,61.0,2021
Luke Farrell,42353,TE,JAX,48.0,66.2,145,61.0,2021
Luke Stocker,6256,TE,MIN,46.0,44.2,128,63.0,2021
Tommy Sweeney,47216,TE,BUF,44.4,58.5,142,64.0,2021
Travis Kelce,7844,TE,KC,93.8,53.1,354,1.0,2020
Darren Waller,9637,TE,LV,86.5,58.2,435,2.0,2020
George Kittle,11901,TE,SF,84.9,75.1,209,3.0,2020
Pharaoh Brown,12247,TE,HST,81.3,78.2,151,4.0,2020
Mo Alie-Cox,12078,TE,IND,80.9,81.8,305,5.0,2020
Dallas Goedert,47272,TE,PHI,79.6,57.4,269,6.0,2020
Adam Trautman,109795,TE,NO,76.9,62.8,277,7.0,2020
Mark Andrews,47436,TE,BLT,76.5,75.2,271,8.0,2020
T.J. Hockenson,40912,TE,DET,75.5,50.9,276,9.0,2020
Virgil Green,6356,TE,LAC,75.1,69.3,110,10.0,2020
Lee Smith,6311,TE,BUF,74.1,72.2,154,11.0,2020
Jonnu Smith,11855,TE,TEN,74.0,36.4,444,12.0,2020
Jack Doyle,8520,TE,IND,73.7,77.7,337,13.0,2020
Noah Fant,42388,TE,DEN,71.2,28.7,298,14.0,2020
Rob Gronkowski,5567,TE,TB,70.9,59.0,527,15.0,2020
Nick Boyle,9604,TE,BLT,70.6,53.8,246,16.0,2020
Irv Smith Jr.,42060,TE,MIN,70.0,29.2,241,17.0,2020
Austin Hooper,10715,TE,CLV,69.8,63.2,415,18.0,2020
Darren Fells,8549,TE,HST,69.5,68.9,286,19.0,2020
Hunter Henry,10669,TE,LAC,69.3,54.1,404,20.0,2020
Cameron Brate,9207,TE,TB,69.2,49.5,178,21.0,2020
Robert Tonyan,12193,TE,GB,68.6,58.0,277,22.0,2020
Durham Smythe,47257,TE,MIA,68.6,68.3,301,22.0,2020
Maxx Williams,9488,TE,ARZ,67.7,41.4,217,24.0,2020
Tyler Higbee,10744,TE,LA,67.6,62.0,541,25.0,2020
Kaden Smith,40973,TE,NYG,66.9,55.2,300,26.0,2020
Marcedes Lewis,2973,TE,GB,66.9,67.2,332,26.0,2020
Kyle Rudolph,6195,TE,MIN,66.5,73.8,315,28.0,2020
Adam Shaheen,11800,TE,MIA,66.0,60.6,244,29.0,2020
Logan Thomas,8755,TE,WAS,65.2,57.1,390,30.0,2020
Jimmy Graham,5619,TE,CHI,64.5,54.3,234,31.0,2020
Dalton Schultz,47304,TE,DAL,63.9,35.2,401,32.0,2020
Will Dissly,30762,TE,SEA,63.8,71.6,348,33.0,2020
Blake Bell,9550,TE,DAL,63.1,84.2,246,34.0,2020
Josh Hill,8200,TE,NO,62.3,50.1,325,35.0,2020
Tyler Eifert,7802,TE,JAX,62.2,48.8,151,36.0,2020
Drew Sample,47259,TE,CIN,61.4,72.6,435,37.0,2020
Dawson Knox,35883,TE,BUF,61.3,65.1,259,38.0,2020
Gerald Everett,11799,TE,LA,61.3,55.9,376,38.0,2020
Ross Dwelley,20994,TE,SF,61.3,50.3,313,38.0,2020
Jesse James,9593,TE,DET,61.2,70.5,296,41.0,2020
