player,player_id,position,team_name,grades_offense,grades_pass_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Mark Andrews,47436,TE,BLT,91.5,74.0,272,1.0,2021,66,Mark Andrews,2021,24,4,"$56,000,000",14000000
Dallas Goedert,47272,TE,PHI,90.7,66.1,417,2.0,2021,16,Dallas Goedert,2021,26,4,"$57,000,000",14250000
George Kittle,11901,TE,SF,90.7,76.4,519,2.0,2021,139,George Kittle,2021,27,5,"$75,000,000",15000000
Travis Kelce,7844,TE,KC,85.0,70.8,305,4.0,2021,182,Travis Kelce,2021,31,4,"$57,250,000",14312500
Rob Gronkowski,5567,TE,TB,76.5,70.1,282,7.0,2021,87,Rob Gronkowski,2021,31,1,"$8,000,000",8000000
Marcedes Lewis,2973,TE,GB,75.1,76.7,342,8.0,2021,64,Marcedes Lewis,2021,36,2,"$5,920,000",2960000
Hunter Henry,10669,TE,NE,72.0,52.2,335,10.0,2021,34,Hunter Henry,2021,26,3,"$37,500,000",12500000
MyCole Pruitt,9576,TE,TEN,71.5,62.6,339,11.0,2021,72,MyCole Pruitt,2021,29,1,"$1,127,500",1127500
Jack Doyle,8520,TE,IND,71.2,68.3,356,13.0,2021,223,Jack Doyle,2021,31,3,"$21,300,000",7100000
Lee Smith,6311,TE,ATL,70.1,55.6,266,16.0,2021,238,Lee Smith,2021,32,3,"$9,000,000",3000000
Darren Waller,9637,TE,LV,69.7,74.2,216,17.0,2021,213,Darren Waller,2021,29,4,"$29,800,000",7450000
Blake Bell,9550,TE,KC,69.1,70.5,269,19.0,2021,5,Blake Bell,2021,29,1,"$1,127,500",1127500
Tyler Higbee,10744,TE,LA,69.1,72.0,444,19.0,2021,266,Tyler Higbee,2021,28,4,"$29,000,000",7250000
Jeremy Sprinkle,11909,TE,DAL,68.5,84.6,165,22.0,2021,45,Jeremy Sprinkle,2021,26,1,"$1,127,500",1127500
Mo Alie-Cox,12078,TE,IND,66.4,64.0,341,26.0,2021,71,Mo Alie-Cox,2021,27,1,"$3,384,000",3384000
Eric Tomlinson,9786,TE,BLT,66.1,71.1,251,27.0,2021,27,Eric Tomlinson,2021,28,1,"$990,000",990000
Austin Hooper,10715,TE,CLV,64.2,56.6,397,30.0,2021,112,Austin Hooper,2021,26,4,"$42,000,000",10500000
C.J. Uzomah,9590,TE,CIN,63.6,70.6,371,32.0,2021,202,C.J. Uzomah,2021,28,3,"$18,300,000",6100000
Kyle Rudolph,6195,TE,NYG,63.5,62.9,269,34.0,2021,59,Kyle Rudolph,2021,31,2,"$12,000,000",6000000
Gerald Everett,11799,TE,SEA,63.5,76.8,269,34.0,2021,32,Gerald Everett,2021,26,1,"$6,000,000",6000000
Stephen Anderson,11160,TE,LAC,62.9,67.3,220,37.0,2021,97,Stephen Anderson,2021,28,1,"$920,000",920000
Chris Manhertz,10211,TE,JAX,62.6,64.2,280,39.0,2021,11,Chris Manhertz,2021,28,2,"$6,650,000",3325000
Ricky Seals-Jones,12020,TE,WAS,62.3,67.0,207,40.0,2021,86,Ricky Seals-Jones,2021,26,1,"$990,000",990000
Jesse James,9593,TE,CHI,59.4,76.4,162,43.0,2021,46,Jesse James,2021,27,1,"$1,650,000",1650000
Jonnu Smith,11855,TE,NE,58.5,51.9,366,44.0,2021,50,Jonnu Smith,2021,25,4,"$50,000,000",12500000
Tyler Kroft,9518,TE,NYJ,57.6,59.5,168,45.0,2021,104,Tyler Kroft,2021,28,1,"$2,000,000",2000000
Ryan Griffin,7982,TE,NYJ,55.8,52.9,301,48.0,2021,91,Ryan Griffin,2021,31,2,"$6,480,471",3240236
Antony Auclair,24606,TE,HST,55.7,43.1,260,49.0,2021,3,Antony Auclair,2021,27,1,"$1,127,500",1127500
Geoff Swaim,9679,TE,TEN,55.6,56.8,555,50.0,2021,31,Geoff Swaim,2021,27,1,"$2,500,000",2500000
Garrett Griffin,11439,TE,NO,51.7,59.8,189,57.0,2021,30,Garrett Griffin,2021,26,1,"$850,000",850000
Kendall Blanton,47311,TE,LA,50.7,65.5,142,58.0,2021,57,Kendall Blanton,2021,25,2,"$1,675,000",837500
Darrell Daniels,12122,TE,ARZ,49.9,67.0,192,60.0,2021,19,Darrell Daniels,2021,26,1,"$1,127,500",1127500
Pharaoh Brown,12247,TE,HST,48.0,44.4,393,61.0,2021,83,Pharaoh Brown,2021,26,1,"$1,600,000",1600000
Luke Stocker,6256,TE,MIN,46.0,44.2,128,63.0,2021,62,Luke Stocker,2021,33,1,"$1,075,000",1075000
Travis Kelce,7844,TE,KC,93.8,53.1,354,1.0,2020,182,Travis Kelce,2020,30,4,"$57,250,000",14312500
Darren Waller,9637,TE,LV,86.5,58.2,435,2.0,2020,213,Darren Waller,2020,28,4,"$29,800,000",7450000
George Kittle,11901,TE,SF,84.9,75.1,209,3.0,2020,139,George Kittle,2020,26,5,"$75,000,000",15000000
Pharaoh Brown,12247,TE,HST,81.3,78.2,151,4.0,2020,173,Pharaoh Brown,2020,25,1,"$750,000",750000
Virgil Green,6356,TE,LAC,75.1,69.3,110,10.0,2020,353,Virgil Green,2020,31,3,"$8,600,000",2866667
Lee Smith,6311,TE,BUF,74.1,72.2,154,11.0,2020,238,Lee Smith,2020,31,3,"$9,000,000",3000000
Jack Doyle,8520,TE,IND,73.7,77.7,337,13.0,2020,223,Jack Doyle,2020,30,3,"$21,300,000",7100000
Nick Boyle,9604,TE,BLT,70.6,53.8,246,16.0,2020,252,Nick Boyle,2020,27,3,"$18,000,000",6000000
Austin Hooper,10715,TE,CLV,69.8,63.2,415,18.0,2020,112,Austin Hooper,2020,25,4,"$42,000,000",10500000
Darren Fells,8549,TE,HST,69.5,68.9,286,19.0,2020,126,Darren Fells,2020,33,2,"$6,300,000",3150000
Hunter Henry,10669,TE,LAC,69.3,54.1,404,20.0,2020,141,Hunter Henry,2020,25,1,"$10,607,000",10607000
Cameron Brate,9207,TE,TB,69.2,49.5,178,21.0,2020,288,Cameron Brate,2020,28,6,"$40,800,000",6800000
Maxx Williams,9488,TE,ARZ,67.7,41.4,217,24.0,2020,249,Maxx Williams,2020,26,2,"$7,000,000",3500000
Tyler Higbee,10744,TE,LA,67.6,62.0,541,25.0,2020,266,Tyler Higbee,2020,27,4,"$29,000,000",7250000
Marcedes Lewis,2973,TE,GB,66.9,67.2,332,26.0,2020,159,Marcedes Lewis,2020,35,1,"$2,250,000",2250000
Kyle Rudolph,6195,TE,MIN,66.5,73.8,315,28.0,2020,236,Kyle Rudolph,2020,30,4,"$36,000,000",9000000
Adam Shaheen,11800,TE,MIA,66.0,60.6,244,29.0,2020,107,Adam Shaheen,2020,26,2,"$4,850,000",2425000
Logan Thomas,8755,TE,WAS,65.2,57.1,390,30.0,2020,156,Logan Thomas,2020,28,2,"$6,145,000",3072500
Jimmy Graham,5619,TE,CHI,64.5,54.3,234,31.0,2020,148,Jimmy Graham,2020,33,2,"$16,000,000",8000000
Blake Bell,9550,TE,DAL,63.1,84.2,246,34.0,2020,113,Blake Bell,2020,28,1,"$1,700,000",1700000
Josh Hill,8200,TE,NO,62.3,50.1,325,35.0,2020,234,Josh Hill,2020,29,3,"$8,850,000",2950000
Tyler Eifert,7802,TE,JAX,62.2,48.8,151,36.0,2020,185,Tyler Eifert,2020,29,2,"$9,500,000",4750000
Ross Dwelley,20994,TE,SF,61.3,50.3,313,38.0,2020,175,Ross Dwelley,2020,24,1,"$750,000",750000
Jesse James,9593,TE,DET,61.2,70.5,296,41.0,2020,233,Jesse James,2020,25,4,"$22,600,000",5650000
Jason Witten,1384,TE,LV,60.8,47.9,270,42.0,2020,146,Jason Witten,2020,37,1,"$4,000,000",4000000
Geoff Swaim,9679,TE,TEN,60.1,49.1,297,44.0,2020,138,Geoff Swaim,2020,26,1,"$910,000",910000
Darrell Daniels,12122,TE,ARZ,59.1,77.0,259,46.0,2020,211,Darrell Daniels,2020,25,2,"$1,380,000",690000
Hayden Hurst,47294,TE,ATL,58.9,30.5,221,47.0,2020,310,Hayden Hurst,2020,26,4,"$11,036,026",2759007
Jacob Hollister,12051,TE,SEA,58.8,37.0,174,48.0,2020,143,Jacob Hollister,2020,26,1,"$3,259,000",3259000
Chris Manhertz,10211,TE,CAR,58.1,61.4,367,49.0,2020,204,Chris Manhertz,2020,27,2,"$2,300,000",1150000
James O'Shaughnessy,9606,TE,JAX,57.7,61.0,240,50.0,2020,226,James O'Shaughnessy,2020,28,2,"$2,225,000",1112500
Eric Ebron,8645,TE,PIT,57.6,64.6,264,52.0,2020,130,Eric Ebron,2020,26,2,"$12,000,000",6000000
Zach Ertz,7816,TE,PHI,57.3,68.3,252,54.0,2020,515,Zach Ertz,2020,29,5,"$42,500,000",8500000
Nick Vannett,10728,TE,DEN,57.2,59.2,244,55.0,2020,169,Nick Vannett,2020,27,2,"$5,700,000",2850000
