position,player_name,team_name,grades_offense,pass_plays,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
TE,Mark Andrews,BLT,91.5,272,1.0,2021,Mark Andrews,2021,24,14000000,11420416.666666666,2579583.333333334
TE,Dallas Goedert,PHI,90.7,417,2.0,2021,Dallas Goedert,2021,26,14250000,11574642.857142856,2675357.1428571437
TE,George Kittle,SF,90.7,519,2.0,2021,George Kittle,2021,27,15000000,10268750.0,4731250.0
TE,Travis Kelce,KC,85.0,305,4.0,2021,Travis Kelce,2021,31,14312500,9916666.666666666,4395833.333333334
TE,Rob Gronkowski,TB,76.5,282,7.0,2021,Rob Gronkowski,2021,31,8000000,9225000.0,-1225000.0
TE,Marcedes Lewis,GB,75.1,342,8.0,2021,Marcedes Lewis,2021,36,2960000,9063636.363636363,-6103636.363636363
TE,Hunter Henry,NE,72.0,335,10.0,2021,Hunter Henry,2021,26,12500000,7893409.090909091,4606590.909090909
TE,MyCole Pruitt,TEN,71.5,339,11.0,2021,MyCole Pruitt,2021,29,1127500,7257045.454545454,-6129545.454545454
TE,Jack Doyle,IND,71.2,356,13.0,2021,Jack Doyle,2021,31,7100000,5995909.090909091,1104090.9090909092
TE,Lee Smith,ATL,70.1,266,16.0,2021,Lee Smith,2021,32,3000000,5002409.090909091,-2002409.0909090908
TE,Darren Waller,LV,69.7,216,17.0,2021,Darren Waller,2021,29,7450000,4365136.363636363,3084863.6363636367
TE,Blake Bell,KC,69.1,269,19.0,2021,Blake Bell,2021,29,1127500,5050590.909090909,-3923090.909090909
TE,Tyler Higbee,LA,69.1,444,19.0,2021,Tyler Higbee,2021,28,7250000,4468772.7272727275,2781227.2727272725
TE,Jeremy Sprinkle,DAL,68.5,165,22.0,2021,Jeremy Sprinkle,2021,26,1127500,4911727.2727272725,-3784227.2727272725
TE,Mo Alie-Cox,IND,66.4,341,26.0,2021,Mo Alie-Cox,2021,27,3384000,4811727.2727272725,-1427727.2727272725
TE,Eric Tomlinson,BLT,66.1,251,27.0,2021,Eric Tomlinson,2021,28,990000,4622636.363636363,-3632636.3636363633
TE,Austin Hooper,CLV,64.2,397,30.0,2021,Austin Hooper,2021,26,10500000,4247636.363636363,6252363.636363637
TE,C.J. Uzomah,CIN,63.6,371,32.0,2021,C.J. Uzomah,2021,28,6100000,4235136.363636363,1864863.6363636367
TE,Kyle Rudolph,NYG,63.5,269,34.0,2021,Kyle Rudolph,2021,31,6000000,3726045.4545454546,2273954.5454545454
TE,Gerald Everett,SEA,63.5,269,34.0,2021,Gerald Everett,2021,26,6000000,4759909.090909091,1240090.9090909092
TE,Stephen Anderson,LAC,62.9,220,37.0,2021,Stephen Anderson,2021,28,920000,4634090.909090909,-3714090.909090909
TE,Chris Manhertz,JAX,62.6,280,39.0,2021,Chris Manhertz,2021,28,3325000,4838657.818181818,-1513657.8181818184
TE,Ricky Seals-Jones,WAS,62.3,207,40.0,2021,Ricky Seals-Jones,2021,26,990000,3986612.3636363638,-2996612.3636363638
TE,Jesse James,CHI,59.4,162,43.0,2021,Jesse James,2021,27,1650000,3659339.6363636362,-2009339.6363636362
TE,Jonnu Smith,NE,58.5,366,44.0,2021,Jonnu Smith,2021,25,12500000,3191157.8181818184,9308842.181818182
TE,Tyler Kroft,NYJ,57.6,168,45.0,2021,Tyler Kroft,2021,28,2000000,2721839.6363636362,-721839.6363636362
TE,Ryan Griffin,NYJ,55.8,301,48.0,2021,Ryan Griffin,2021,31,3240236,2740703.272727273,499532.72727272706
TE,Antony Auclair,HST,55.7,260,49.0,2021,Antony Auclair,2021,27,1127500,2583885.090909091,-1456385.0909090908
