team_name,avg_diff,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,win_percentage
ARZ,2169845.581481481,0.647,0.5,0.312,0.188,0.5,0.438,0.812,0.688,0.625,0.312,0.503
ATL,499928.24497354485,0.412,0.25,0.438,0.438,0.625,0.688,0.5,0.375,0.25,0.812,0.478
BLT,-1234070.9000000001,0.471,0.688,0.875,0.625,0.562,0.5,0.312,0.625,0.5,0.625,0.578
BUF,-1955247.4844444443,0.647,0.812,0.625,0.375,0.562,0.438,0.5,0.562,0.375,0.375,0.528
CAR,-2332744.74117647,0.294,0.312,0.312,0.438,0.688,0.375,0.938,0.438,0.75,0.438,0.497
CHI,311327.79961904767,0.353,0.5,0.5,0.75,0.312,0.188,0.375,0.312,0.5,0.625,0.441
CIN,584200.2431216934,0.588,0.25,0.125,0.375,0.438,0.375,0.75,0.625,0.688,0.625,0.484
CLV,-427831.67777777766,0.471,0.688,0.375,0.438,0.0,0.062,0.188,0.438,0.25,0.312,0.323
DAL,829353.761111111,0.706,0.375,0.5,0.625,0.562,0.812,0.25,0.75,0.5,0.5,0.559
DEN,-338507.7945652174,0.412,0.312,0.438,0.375,0.312,0.562,0.75,0.75,0.812,0.812,0.559
DET,-613305.8658201059,0.176,0.312,0.188,0.375,0.562,0.562,0.438,0.688,0.438,0.25,0.398
GB,707427.5876984127,0.765,0.812,0.812,0.375,0.438,0.625,0.625,0.75,0.5,0.688,0.64
HST,1006458.5084033615,0.235,0.25,0.625,0.688,0.25,0.562,0.562,0.562,0.125,0.75,0.46
IND,88080.11447368425,0.529,0.688,0.438,0.625,0.25,0.5,0.5,0.688,0.688,0.688,0.559
JAX,-1545626.2000000002,0.176,0.062,0.375,0.312,0.625,0.188,0.312,0.188,0.25,0.125,0.261
KC,1658354.1743525479,0.706,0.875,0.75,0.75,0.625,0.75,0.688,0.562,0.688,0.125,0.652
LA,-638182.0388888889,0.706,0.625,0.562,0.812,0.688,0.25,0.438,0.375,0.438,0.438,0.534
LAC,-958432.477415459,0.529,0.438,0.312,0.75,0.562,0.312,0.25,0.562,0.562,0.438,0.472
LV,-1259289.3900000001,0.588,0.5,0.438,0.25,0.375,0.75,0.438,0.188,0.25,0.25,0.404
MIA,716134.6058823528,0.529,0.625,0.312,0.438,0.375,0.625,0.375,0.5,0.5,0.438,0.472
MIN,-519098.15357142844,0.471,0.438,0.625,0.5,0.812,0.5,0.688,0.438,0.312,0.625,0.54
NE,-1538039.342857143,0.588,0.438,0.75,0.688,0.812,0.875,0.75,0.75,0.75,0.75,0.714
NO,394754.13020833326,0.529,0.75,0.812,0.812,0.688,0.438,0.438,0.438,0.688,0.438,0.602
NYG,1013.5942857143469,0.235,0.375,0.25,0.312,0.188,0.688,0.375,0.375,0.438,0.562,0.379
NYJ,-85049.9434782609,0.235,0.125,0.438,0.25,0.312,0.312,0.625,0.25,0.5,0.375,0.341
PHI,-156242.6687499999,0.529,0.25,0.562,0.562,0.812,0.438,0.438,0.625,0.625,0.25,0.509
PIT,-681562.8069841269,0.529,0.75,0.5,0.562,0.812,0.688,0.625,0.688,0.5,0.5,0.614
SEA,-1468896.1311111113,0.412,0.75,0.688,0.625,0.562,0.625,0.625,0.75,0.812,0.688,0.652
SF,-781273.9750000001,0.588,0.375,0.812,0.25,0.375,0.125,0.312,0.5,0.75,0.688,0.478
TB,-212951.04986772465,0.765,0.688,0.438,0.312,0.312,0.562,0.375,0.125,0.25,0.438,0.429
TEN,-3347.714285714319,0.706,0.688,0.562,0.562,0.562,0.562,0.188,0.125,0.438,0.375,0.478
WAS,565155.2411764705,0.412,0.438,0.188,0.438,0.438,0.5,0.562,0.25,0.188,0.625,0.404
