player,player_id,position,team_name,grades_offense,pass_plays,rank,Year
Cooper Kupp,11824,WR,LA,93.0,826,1.0,2021
Davante Adams,8688,WR,GB,92.7,618,2.0,2021
Deebo Samuel,48274,WR,SF,90.2,572,3.0,2021
Justin Jefferson,61398,WR,MIN,90.1,662,4.0,2021
Deonte Harty,91470,WR,NO,87.8,223,5.0,2021
Antonio Brown,5718,WR,TB,87.4,202,6.0,2021
A.J. Brown,48327,WR,TEN,86.3,393,7.0,2021
Tyreek Hill,10799,WR,KC,86.0,759,8.0,2021
Ja'Marr Chase,84270,WR,CIN,85.3,787,9.0,2021
CeeDee Lamb,61570,WR,DAL,84.1,635,10.0,2021
Tee Higgins,61211,WR,CIN,83.4,676,11.0,2021
Gabriel Davis,55410,WR,BUF,81.5,417,12.0,2021
Chris Godwin,11839,WR,TB,81.3,584,13.0,2021
Stefon Diggs,9579,WR,BUF,81.0,748,14.0,2021
Tyler Lockett,9502,WR,SEA,81.0,530,14.0,2021
D.K. Metcalf,47864,WR,SEA,80.9,530,16.0,2021
Amon-Ra St. Brown,84470,WR,DET,79.9,552,17.0,2021
DeAndre Hopkins,7808,WR,ARZ,79.8,343,18.0,2021
Hunter Renfrow,47509,WR,LV,78.8,623,19.0,2021
Terry McLaurin,48229,WR,WAS,78.3,621,20.0,2021
Jaylen Waddle,84088,WR,MIA,78.3,622,20.0,2021
Michael Pittman Jr.,29049,WR,IND,78.0,602,22.0,2021
Kendrick Bourne,12270,WR,NE,77.8,464,23.0,2021
DeVonta Smith,61100,WR,PHI,77.7,599,24.0,2021
Mike Williams,11762,WR,LAC,77.6,620,25.0,2021
Keenan Allen,7857,WR,LAC,77.5,689,26.0,2021
Brandin Cooks,8655,WR,HST,77.4,567,27.0,2021
D.J. Moore,48267,WR,CAR,76.9,653,28.0,2021
Julio Jones,6158,WR,TEN,76.5,279,29.0,2021
Brandon Aiyuk,84109,WR,SF,75.9,593,30.0,2021
Robert Woods,7822,WR,LA,75.7,340,31.0,2021
Mike Evans,8642,WR,TB,75.1,747,32.0,2021
Odell Beckham Jr.,8647,WR,LA,74.8,553,33.0,2021
Jakobi Meyers,47468,WR,NE,74.7,615,34.0,2021
Darnell Mooney,48236,WR,CHI,74.7,651,34.0,2021
Russell Gage,44771,WR,ATL,74.7,407,34.0,2021
Adam Thielen,8288,WR,MIN,74.6,474,37.0,2021
Henry Ruggs III,61102,WR,LV,73.4,231,38.0,2021
Michael Gallup,26075,WR,DAL,73.4,350,38.0,2021
Diontae Johnson,33441,WR,PIT,73.2,701,40.0,2021
Amari Cooper,9437,WR,DAL,73.0,616,41.0,2021
DeVante Parker,9447,WR,MIA,72.8,370,42.0,2021
