position,player_name,team_name,grades_offense,pass_plays,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
WR,Cooper Kupp,LA,93.0,826,1.0,2021,Cooper Kupp,2021,28,15750000,13446600.0,2303400.0
WR,Antonio Brown,TB,87.4,202,6.0,2021,Antonio Brown,2021,32,3100000,14080500.0,-10980500.0
WR,Tyreek Hill,KC,86.0,759,8.0,2021,Tyreek Hill,2021,27,18000000,15961857.142857144,2038142.8571428563
WR,Chris Godwin,TB,81.3,584,13.0,2021,Chris Godwin,2021,25,15983000,14591625.0,1391375.0
WR,Stefon Diggs,BUF,81.0,748,14.0,2021,Stefon Diggs,2021,27,14400000,15195333.333333334,-795333.333333334
WR,Tyler Lockett,SEA,81.0,530,14.0,2021,Tyler Lockett,2021,28,17250000,15295800.0,1954200.0
WR,DeAndre Hopkins,ARZ,79.8,343,18.0,2021,DeAndre Hopkins,2021,29,27250000,15920800.0,11329200.0
WR,Kendrick Bourne,NE,77.8,464,23.0,2021,Kendrick Bourne,2021,25,5000000,17235800.0,-12235800.0
WR,Keenan Allen,LAC,77.5,689,26.0,2021,Keenan Allen,2021,29,20025000,17085800.0,2939200.0
WR,Brandin Cooks,HST,77.4,567,27.0,2021,Brandin Cooks,2021,27,16200000,15612500.0,587500.0
WR,Julio Jones,TEN,76.5,279,29.0,2021,Julio Jones,2021,32,22000000,15777500.0,6222500.0
WR,Robert Woods,LA,75.7,340,31.0,2021,Robert Woods,2021,29,16250000,16052500.0,197500.0
WR,Mike Evans,TB,75.1,747,32.0,2021,Mike Evans,2021,27,16500000,14090000.0,2410000.0
WR,Odell Beckham Jr.,LA,74.8,553,33.0,2021,Odell Beckham Jr.,2021,29,1250000,13689000.0,-12439000.0
WR,Adam Thielen,MIN,74.6,474,37.0,2021,Adam Thielen,2021,30,16050000,11904800.0,4145200.0
WR,Amari Cooper,DAL,73.0,616,41.0,2021,Amari Cooper,2021,26,20000000,11804800.0,8195200.0
WR,DeVante Parker,MIA,72.8,370,42.0,2021,DeVante Parker,2021,27,7625000,10738133.3,-3113133.3000000007
WR,Laquon Treadwell,JAX,71.9,310,45.0,2021,Laquon Treadwell,2021,26,990000,10188133.3,-9198133.3
WR,Cedrick Wilson,DAL,71.7,428,46.0,2021,Cedrick Wilson,2021,25,2183000,8788133.3,-6605133.300000001
WR,Courtland Sutton,DEN,71.2,574,47.0,2021,Courtland Sutton,2021,26,15200000,9563133.3,5636866.699999999
WR,Tim Patrick,DEN,71.2,527,47.0,2021,Tim Patrick,2021,27,11333333,8758133.3,2575199.6999999993
WR,Tyler Boyd,CIN,70.8,719,50.0,2021,Tyler Boyd,2021,26,10750000,8008133.3,2741866.7
WR,Zay Jones,LV,70.6,476,52.0,2021,Zay Jones,2021,25,2500000,7870633.3,-5370633.3
WR,Randall Cobb,GB,70.1,292,54.0,2021,Randall Cobb,2021,30,9000000,8496633.3,503366.69999999925
WR,T.Y. Hilton,IND,70.1,238,54.0,2021,T.Y. Hilton,2021,31,8000000,10078333.3,-2078333.3000000007
WR,Corey Davis,NYJ,68.8,301,57.0,2021,Corey Davis,2021,26,12500000,9158333.3,3341666.6999999993
WR,Marvin Jones Jr.,JAX,68.3,667,61.0,2021,Marvin Jones Jr.,2021,31,6250000,9813000.0,-3563000.0
WR,Cole Beasley,BUF,68.3,569,61.0,2021,Cole Beasley,2021,31,7250000,9338000.0,-2088000.0
WR,Kenny Golladay,NYG,68.3,449,61.0,2021,Kenny Golladay,2021,27,18000000,10598000.0,7402000.0
WR,A.J. Green,ARZ,67.8,593,66.0,2021,A.J. Green,2021,32,6000000,10198000.0,-4198000.0
WR,Allen Robinson II,CHI,66.9,386,68.0,2021,Allen Robinson II,2021,27,17880000,9573000.0,8307000.0
WR,Emmanuel Sanders,BUF,66.4,566,70.0,2021,Emmanuel Sanders,2021,33,6000000,8536300.0,-2536300.0
WR,Jarvis Landry,CLV,66.3,341,71.0,2021,Jarvis Landry,2021,28,15100000,8861300.0,6238700.0
WR,Sammy Watkins,BLT,66.3,287,71.0,2021,Sammy Watkins,2021,27,5000000,9236300.0,-4236300.0
WR,Josh Reynolds,DET,65.9,291,75.0,2021,Josh Reynolds,2021,26,1750000,8461300.0,-6711300.0
WR,Byron Pringle,KC,65.2,540,78.0,2021,Byron Pringle,2021,27,2133000,7953300.0,-5820300.0
WR,Jamison Crowder,NYJ,64.9,418,79.0,2021,Jamison Crowder,2021,27,9500000,6262300.0,3237700.0
WR,Nelson Agholor,NE,64.8,474,82.0,2021,Nelson Agholor,2021,27,11000000,5842300.0,5157700.0
WR,Sterling Shepard,NYG,64.6,236,84.0,2021,Sterling Shepard,2021,28,10250000,4446300.0,5803700.0
WR,Brandon Zylstra,CAR,63.8,192,86.0,2021,Brandon Zylstra,2021,27,920000,4067550.0,-3147550.0
WR,DeAndre Carter,WAS,63.7,281,87.0,2021,DeAndre Carter,2021,27,970000,3994050.0,-3024050.0
WR,Danny Amendola,HST,63.1,163,90.0,2021,Danny Amendola,2021,35,1800000,4330750.0,-2530750.0
WR,Mohamed Sanu,SF,63.0,185,91.0,2021,Mohamed Sanu,2021,31,1140000,4380750.0,-3240750.0
WR,Marquise Goodwin,CHI,62.5,257,95.0,2021,Marquise Goodwin,2021,30,1212500,3393500.0,-2181000.0
WR,Mike Thomas,CIN,62.3,83,97.0,2021,Mike Thomas,2021,26,1015000,2518500.0,-1503500.0
WR,Keelan Cole,NYJ,61.3,367,98.0,2021,Keelan Cole,2021,27,5500000,2534000.0,2966000.0
WR,Robby Anderson,CAR,60.6,652,99.0,2021,Robby Anderson,2021,27,10000000,2577278.4,7422721.6
WR,Kalif Raymond,DET,60.5,497,100.0,2021,Kalif Raymond,2021,26,1127500,2546116.0,-1418616.0
WR,Chris Conley,HST,60.5,364,100.0,2021,Chris Conley,2021,28,1500000,2544866.0,-1044866.0
WR,Tavon Austin,JAX,60.2,213,102.0,2021,Tavon Austin,2021,31,1075000,2542616.0,-1467616.0
WR,Van Jefferson,LA,58.5,730,104.0,2021,Van Jefferson,2021,25,1402784,2541116.0,-1138332.0
WR,D'Wayne Eskridge,SEA,58.3,112,105.0,2021,D'Wayne Eskridge,2021,24,1488376,2090116.0,-601740.0
WR,Mack Hollins,MIA,58.1,230,106.0,2021,Mack Hollins,2021,27,1127500,1175116.0,-47616.0
WR,Adam Humphries,WAS,58.1,468,106.0,2021,Adam Humphries,2021,27,1190000,1300116.0,-110116.0
