index,player_name,year_signed,age,contract_length,value,average/year
0,A.J. Bouye,2021,29,2,"$7,000,000",3500000
0,A.J. Bouye,2022,30,2,"$7,000,000",3500000
1,A.J. Moore,2021,25,1,"$2,133,000",2133000
2,Adonis Alexander,2021,24,1,"$780,000",780000
3,Adoree' Jackson,2021,25,3,"$39,000,000",13000000
3,Adoree' Jackson,2022,26,3,"$39,000,000",13000000
3,Adoree' Jackson,2023,27,3,"$39,000,000",13000000
4,Adrian Colbert,2021,27,1,"$990,000",990000
5,Adrian Phillips,2021,29,3,"$12,750,000",4250000
5,Adrian Phillips,2022,30,3,"$12,750,000",4250000
5,Adrian Phillips,2023,31,3,"$12,750,000",4250000
6,Ahkello Witherspoon,2021,25,1,"$4,000,000",4000000
7,Alex Brown,2021,24,1,"$780,000",780000
8,Alexander Myres,2021,24,1,"$660,000",660000
9,Alijah Holder,2021,25,1,"$780,000",780000
10,Andre Chachere,2021,24,1,"$660,000",660000
11,Andrew Adams,2021,28,1,"$1,127,500",1127500
12,Andrew Sendejo,2021,33,1,"$1,075,000",1075000
13,Anthony Chesley,2021,25,1,"$780,000",780000
14,Anthony Harris,2021,29,1,"$4,000,000",4000000
15,Anthony Levine,2021,34,1,"$1,100,000",1100000
16,Antonio Hamilton,2021,28,1,"$990,000",990000
17,Arthur Maulet,2021,27,1,"$990,000",990000
18,Artie Burns,2021,25,1,"$990,000",990000
19,Avery Williams,2021,26,4,"$3,720,152",930038
19,Avery Williams,2022,27,4,"$3,720,152",930038
19,Avery Williams,2023,28,4,"$3,720,152",930038
19,Avery Williams,2024,29,4,"$3,720,152",930038
20,Avonte Maddox,2021,25,3,"$22,500,000",7500000
20,Avonte Maddox,2022,26,3,"$22,500,000",7500000
20,Avonte Maddox,2023,27,3,"$22,500,000",7500000
21,B.W. Webb,2021,31,1,"$990,000",990000
22,Bennett Jackson,2021,29,1,"$850,000",850000
23,Blake Countess,2021,27,1,"$990,000",990000
24,Blessuan Austin,2021,25,1,"$850,000",850000
25,Blidi Wreh-Wilson,2021,31,1,"$1,212,500",1212500
26,Bobby McCain,2021,27,1,"$1,475,000",1475000
27,Bradley McDougald,2021,30,1,"$1,075,000",1075000
28,Brandon Facyson,2021,26,1,"$945,000",945000
29,Brandon Rusnak,2021,25,1,"$850,000",850000
30,Brandon Williams,2021,28,1,"$990,000",990000
31,Brandon Wilson,2021,26,2,"$4,125,000",2062500
31,Brandon Wilson,2022,27,2,"$4,125,000",2062500
32,Breon Borders,2021,25,1,"$780,000",780000
33,Brian Allen,2021,27,1,"$850,000",850000
34,Brian Poole,2021,28,1,"$1,127,500",1127500
35,Briean Boddy-Calhoun,2021,28,1,"$990,000",990000
36,Brontae Harris,2021,24,3,"$2,428,500",809500
36,Brontae Harris,2022,25,3,"$2,428,500",809500
36,Brontae Harris,2023,26,3,"$2,428,500",809500
37,Buster Skrine,2021,31,1,"$1,075,000",1075000
38,C.J. Goodwin,2021,31,2,"$3,500,000",1750000
38,C.J. Goodwin,2022,32,2,"$3,500,000",1750000
39,Cameron Sutton,2021,26,2,"$9,000,000",4500000
39,Cameron Sutton,2022,27,2,"$9,000,000",4500000
40,Casey Hayward,2021,31,1,"$2,500,000",2500000
41,Chandon Sullivan,2021,24,1,"$2,133,000",2133000
42,Charles Washington,2021,28,1,"$1,127,500",1127500
43,Charvarius Ward,2021,25,1,"$3,384,000",3384000
44,Chidobe Awuzie,2021,25,3,"$21,750,000",7250000
44,Chidobe Awuzie,2022,26,3,"$21,750,000",7250000
44,Chidobe Awuzie,2023,27,3,"$21,750,000",7250000
45,Chris Banjo,2021,31,1,"$1,212,500",1212500
46,Chris Cooper,2021,26,1,"$660,000",660000
47,Chris Edwards,2021,28,1,"$660,000",660000
48,Chris Johnson,2021,25,1,"$780,000",780000
49,Chris Jones,2021,25,1,"$920,000",920000
