position,player_name,team_name,grades_defense,snap_counts_pass_play,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
S,Kevin Byard,TEN,90.4,776,1.0,2021,Kevin Byard,2021,27,14100000,12915888.833333334,1184111.166666666
CB,Jalen Ramsey,LA,84.4,808,5.0,2021,Jalen Ramsey,2021,26,20000000,11677904.714285715,8322095.285714285
S,Micah Hyde,BUF,83.8,720,6.0,2021,Micah Hyde,2021,30,6100000,10641166.625,-4541166.625
CB,Kendall Fuller,WAS,81.5,658,8.0,2021,Kendall Fuller,2021,26,10000000,11236592.555555556,-1236592.555555556
CB,Darius Slay,PHI,81.0,615,9.0,2021,Darius Slay,2021,30,16683333,11087933.3,5595399.699999999
S,Marcus Williams,NO,80.1,672,10.0,2021,Marcus Williams,2021,24,10612000,10261757.545454545,350242.45454545505
S,Adrian Phillips,NE,80.0,538,11.0,2021,Adrian Phillips,2021,29,4250000,11033327.75,-6783327.75
CB,J.C. Jackson,NE,78.9,592,13.0,2021,J.C. Jackson,2021,25,3384000,9952286.083333334,-6568286.083333334
S,Harrison Smith,MIN,77.9,658,16.0,2021,Harrison Smith,2021,32,16000000,8889786.083333334,7110213.916666666
S,Jordan Poyer,BUF,77.7,698,17.0,2021,Jordan Poyer,2021,29,9750000,9339786.083333334,410213.91666666605
CB,Tavierre Thomas,HST,77.6,413,18.0,2021,Tavierre Thomas,2021,25,2000000,9589786.083333334,-7589786.083333334
CB,Marshon Lattimore,NO,77.3,640,19.0,2021,Marshon Lattimore,2021,25,19520600,8991175.0,10529425.0
S,Jayron Kearse,DAL,75.9,674,22.0,2021,Jayron Kearse,2021,27,1127500,9377675.0,-8250175.0
CB,Chidobe Awuzie,CIN,75.5,703,23.0,2021,Chidobe Awuzie,2021,25,7250000,9106008.333333334,-1856008.333333334
S,Devin McCourty,NE,75.5,626,23.0,2021,Devin McCourty,2021,33,11500000,9574008.333333334,1925991.666666666
CB,Adoree' Jackson,NYG,74.9,498,26.0,2021,Adoree' Jackson,2021,25,13000000,8740675.0,4259325.0
S,Jimmie Ward,SF,74.8,761,27.0,2021,Jimmie Ward,2021,29,9500000,9039286.083333334,460713.91666666605
S,Justin Simmons,DEN,74.8,663,27.0,2021,Justin Simmons,2021,27,15250000,9321230.5,5928769.5
CB,Rasul Douglas,GB,74.5,490,29.0,2021,Rasul Douglas,2021,25,990000,7976513.833333333,-6986513.833333333
S,Adrian Amos,GB,74.3,727,30.0,2021,Adrian Amos,2021,27,9000000,8507555.5,492444.5
S,Vonn Bell,CIN,72.1,851,32.0,2021,Vonn Bell,2021,26,6000000,8026305.5,-2026305.5
CB,Shaquill Griffin,JAX,72.0,508,33.0,2021,Shaquill Griffin,2021,25,13333333,8322138.833333333,5011194.166666667
S,Eric Rowe,MIA,71.2,451,37.0,2021,Eric Rowe,2021,29,5383333,7905472.166666667,-2522139.166666667
CB,Charvarius Ward,KC,71.2,591,37.0,2021,Charvarius Ward,2021,25,3384000,7613805.5,-4229805.5
CB,Avonte Maddox,PHI,71.0,533,40.0,2021,Avonte Maddox,2021,25,7500000,6488805.5,1011194.5
S,Bobby McCain,WAS,70.9,667,41.0,2021,Bobby McCain,2021,27,1475000,6579886.833333333,-5104886.833333333
CB,Xavien Howard,MIA,70.9,648,41.0,2021,Xavien Howard,2021,27,15050000,6220886.833333333,8829113.166666668
CB,Taron Johnson,BUF,70.3,665,45.0,2021,Taron Johnson,2021,25,8000000,6658386.833333333,1341613.166666667
CB,Mike Hilton,CIN,70.2,754,46.0,2021,Mike Hilton,2021,27,6000000,6047275.75,-47275.75
CB,Sidney Jones,SEA,70.2,447,46.0,2021,Sidney Jones,2021,24,1750000,6765331.333333333,-5015331.333333333
S,Kyle Dugger,NE,69.7,462,51.0,2021,Kyle Dugger,2021,25,2082976,6565831.333333333,-4482855.333333333
CB,Emmanuel Moseley,SF,69.1,498,53.0,2021,Emmanuel Moseley,2021,24,4692000,6086664.666666667,-1394664.666666667
S,John Johnson III,CLV,68.7,557,55.0,2021,John Johnson III,2021,25,11250000,6388748.0,4861252.0
CB,Jalen Mills,NE,67.5,529,59.0,2021,Jalen Mills,2021,26,6000000,5565136.916666667,434863.083333333
S,Tyrann Mathieu,KC,67.4,730,60.0,2021,Tyrann Mathieu,2021,28,14000000,6523470.25,7476529.75
CB,Robert Alford,ARZ,66.9,409,61.0,2021,Robert Alford,2021,32,990000,7460970.25,-6470970.25
S,Xavier Woods,MIN,66.4,758,63.0,2021,Xavier Woods,2021,25,1750000,7385970.25,-5635970.25
S,Chuck Clark,BLT,66.3,676,64.0,2021,Chuck Clark,2021,25,5100000,8587388.916666666,-3487388.916666666
CB,Anthony Brown,DAL,66.0,706,67.0,2021,Anthony Brown,2021,27,5166667,8556805.583333334,-3390138.583333334
CB,Marlon Humphrey,BLT,65.9,498,68.0,2021,Marlon Humphrey,2021,25,19500000,8848472.25,10651527.75
CB,Tre'Davious White,BUF,65.7,408,70.0,2021,Tre'Davious White,2021,26,17250000,9015138.916666666,8234861.083333334
CB,Nik Needham,MIA,65.2,438,72.0,2021,Nik Needham,2021,24,850000,8046597.25,-7196597.25
CB,Byron Jones,MIA,65.0,626,74.0,2021,Byron Jones,2021,28,16500000,8630763.916666666,7869236.083333334
S,Rodney McLeod,PHI,64.8,477,75.0,2021,Rodney McLeod,2021,30,4325000,8574513.916666666,-4249513.916666666
S,Budda Baker,ARZ,64.6,658,76.0,2021,Budda Baker,2021,25,14750000,8400347.25,6349652.75
S,Malcolm Jenkins,NO,64.5,679,78.0,2021,Malcolm Jenkins,2021,33,8000000,9178125.0,-1178125.0
CB,K'Waun Williams,SF,63.5,572,85.0,2021,K'Waun Williams,2021,29,2377500,8261458.333333333,-5883958.333333333
CB,Patrick Peterson,MIN,63.0,548,87.0,2021,Patrick Peterson,2021,30,8000000,7157291.666666667,842708.333333333
S,Andrew Sendejo,IND,62.9,410,88.0,2021,Andrew Sendejo,2021,33,1075000,7483958.333333333,-6408958.333333333
CB,Steven Nelson,PHI,62.9,629,88.0,2021,Steven Nelson,2021,28,3010000,6506125.0,-3496125.0
CB,James Bradberry,NYG,62.8,690,90.0,2021,James Bradberry,2021,27,14500000,6239666.666666667,8260333.333333333
CB,Chris Harris Jr.,LAC,62.4,469,92.0,2021,Chris Harris Jr.,2021,31,8500000,5156333.333333333,3343666.666666667
S,Anthony Harris,PHI,62.0,539,95.0,2021,Anthony Harris,2021,29,4000000,4864666.666666667,-864666.666666667
CB,Xavier Rhodes,IND,61.8,402,97.0,2021,Xavier Rhodes,2021,30,4770000,5499875.0,-729875.0
CB,Darious Williams,LA,61.8,749,97.0,2021,Darious Williams,2021,28,4766000,4915708.333333333,-149708.33333333302
S,Damontae Kazee,DAL,61.8,606,97.0,2021,Damontae Kazee,2021,27,1127500,4902791.666666667,-3775291.666666667
CB,Levi Wallace,BUF,61.6,686,100.0,2021,Levi Wallace,2021,25,1750000,4751958.333333333,-3001958.333333333
CB,Jourdan Lewis,DAL,61.3,595,101.0,2021,Jourdan Lewis,2021,25,4500000,4404736.083333333,95263.91666666698
CB,Ronald Darby,DEN,61.1,412,103.0,2021,Ronald Darby,2021,27,10000000,4413069.416666667,5586930.583333333
S,Dean Marlowe,DET,61.0,417,104.0,2021,Dean Marlowe,2021,28,990000,5550152.75,-4560152.75
S,Sean Chandler,CAR,60.7,322,106.0,2021,Sean Chandler,2021,24,920000,5265152.75,-4345152.75
CB,Eli Apple,CIN,60.5,845,108.0,2021,Eli Apple,2021,25,1200000,5242986.083333333,-4042986.083333333
S,Logan Ryan,NYG,60.4,602,109.0,2021,Logan Ryan,2021,30,10333333,6274027.75,4059305.25
CB,Tavon Young,BLT,60.4,404,109.0,2021,Tavon Young,2021,26,8600000,6229236.083333333,2370763.916666667
S,Jamal Adams,SEA,60.1,519,112.0,2021,Jamal Adams,2021,25,17645000,7070902.75,10574097.25
S,Erik Harris,ATL,59.7,421,113.0,2021,Erik Harris,2021,30,1350000,6331527.75,-4981527.75
CB,Cameron Sutton,PIT,59.3,689,114.0,2021,Cameron Sutton,2021,26,4500000,6342986.083333333,-1842986.083333333
CB,William Jackson III,WAS,59.3,494,114.0,2021,William Jackson III,2021,28,13500000,6315347.166666667,7184652.833333333
S,Duron Harmon,ATL,59.1,611,116.0,2021,Duron Harmon,2021,30,1212500,6944513.833333333,-5732013.833333333
S,Eddie Jackson,CHI,59.0,438,117.0,2021,Eddie Jackson,2021,28,14600000,6261152.75,8338847.25
CB,Fabian Moreau,ATL,57.7,597,125.0,2021,Fabian Moreau,2021,26,1127500,6711152.75,-5583652.75
S,Jaquiski Tartt,SF,57.5,592,127.0,2021,Jaquiski Tartt,2021,29,1127500,5940736.083333333,-4813236.083333333
CB,Tevaughn Campbell,LAC,56.9,412,129.0,2021,Tevaughn Campbell,2021,27,588333,6078236.083333333,-5489903.083333333
S,Rayshawn Jenkins,JAX,56.9,485,129.0,2021,Rayshawn Jenkins,2021,27,8750000,5974069.416666667,2775930.583333333
CB,Chandon Sullivan,GB,55.0,615,135.0,2021,Chandon Sullivan,2021,24,2133000,5265736.083333333,-3132736.083333333
S,Landon Collins,WAS,54.7,425,136.0,2021,Landon Collins,2021,27,14000000,5377194.416666667,8622805.583333332
CB,Michael Davis,LAC,54.0,523,137.0,2021,Michael Davis,2021,26,8400000,4660527.75,3739472.25
CB,Desmond King II,HST,53.0,533,141.0,2021,Desmond King II,2021,26,3000000,4645319.416666667,-1645319.416666667
CB,Terrance Mitchell,HST,52.4,430,142.0,2021,Terrance Mitchell,2021,28,3250000,4756527.75,-1506527.75
S,Kareem Jackson,DEN,52.0,533,143.0,2021,Kareem Jackson,2021,32,5000000,4832500.0,167500.0
S,Tashaun Gipson Sr.,CHI,51.5,368,144.0,2021,Tashaun Gipson Sr.,2021,30,2550000,4895000.0,-2345000.0
