position,player_name,team_name,grades_defense,snap_counts_run,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
DI,Aaron Donald,LA,93.5,442,1.0,2021,Aaron Donald,2021,30,22500000,22986569.5,-486569.5
ED,Myles Garrett,CLV,92.0,312,2.0,2021,Myles Garrett,2021,25,25000000,20247773.85714286,4752226.142857142
ED,Von Miller,LA,91.2,329,4.0,2021,Von Miller,2021,32,19016667,19966802.125,-950135.125
DI,Cameron Heyward,PIT,90.8,395,5.0,2021,Cameron Heyward,2021,32,16400000,19692713.0,-3292713.0
ED,T.J. Watt,PIT,89.6,314,7.0,2021,T.J. Watt,2021,26,28002750,19723441.7,8279308.300000001
ED,Joey Bosa,LAC,85.8,352,9.0,2021,Joey Bosa,2021,26,27000000,18718280.363636363,8281719.636363637
DI,Zach Sieler,MIA,84.9,278,10.0,2021,Zach Sieler,2021,26,3815000,18241757.0,-14426757.0
DI,Jonathan Allen,WAS,84.9,284,10.0,2021,Jonathan Allen,2021,26,18000000,16700090.333333334,1299909.666666666
ED,Cameron Jordan,NO,83.7,274,12.0,2021,Cameron Jordan,2021,31,17500000,15658423.666666666,1841576.333333334
DI,Chris Jones,KC,83.4,235,13.0,2021,Chris Jones,2021,27,20000000,15490368.083333334,4509631.916666666
DI,David Onyemata,NO,81.9,147,16.0,2021,David Onyemata,2021,28,8666667,15269534.75,-6602867.75
ED,Preston Smith,GB,81.5,230,17.0,2021,Preston Smith,2021,28,13000000,14040138.916666666,-1040138.916666666
ED,Melvin Ingram III,KC,80.9,231,18.0,2021,Melvin Ingram III,2021,32,4000000,12498472.25,-8498472.25
DI,Calais Campbell,BLT,80.8,191,19.0,2021,Calais Campbell,2021,34,12500000,12805555.583333334,-305555.58333333395
ED,Shaquil Barrett,TB,80.6,239,20.0,2021,Shaquil Barrett,2021,28,17000000,12416666.666666666,4583333.333333334
ED,John Franklin-Myers,NYJ,80.3,281,21.0,2021,John Franklin-Myers,2021,25,13750000,12375000.0,1375000.0
DI,D.J. Reader,CIN,79.5,310,22.0,2021,D.J. Reader,2021,26,13250000,10916666.666666666,2333333.333333334
DI,A'Shawn Robinson,LA,77.7,348,24.0,2021,A'Shawn Robinson,2021,25,8500000,11652777.75,-3152777.75
ED,Emmanuel Ogbah,MIA,77.0,215,25.0,2021,Emmanuel Ogbah,2021,27,7500000,10777777.75,-3277777.75
ED,Josh Sweat,PHI,76.1,234,26.0,2021,Josh Sweat,2021,24,13333333,11319444.416666666,2013888.583333334
