player,player_id,position,team_name,grades_defense,snap_counts_run,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
De'Vondre Campbell,10749,LB,GB,85.0,353,2.0,2021,37,De'Vondre Campbell,2021,27,1,"$2,000,000",2000000
Frankie Luvu,51028,LB,CAR,84.8,120,3.0,2021,56,Frankie Luvu,2021,24,1,"$1,100,000",1100000
Travin Howard,50959,LB,LA,82.6,71,4.0,2021,151,Travin Howard,2021,24,1,"$780,000",780000
Fred Warner,51222,LB,SF,80.1,442,5.0,2021,57,Fred Warner,2021,24,5,"$95,225,000",19045000
Darius Leonard,49684,LB,IND,79.0,367,7.0,2021,33,Darius Leonard,2021,26,5,"$98,500,000",19700000
Demario Davis,7079,LB,NO,77.2,362,8.0,2021,183,Demario Davis,2021,32,3,"$27,000,000",9000000
T.J. Edwards,30737,LB,PHI,75.5,298,10.0,2021,141,T.J. Edwards,2021,25,1,"$2,200,000",2200000
Josh Bynes,6503,LB,BLT,74.8,239,11.0,2021,82,Josh Bynes,2021,31,1,"$1,075,000",1075000
Shaq Thompson,9458,LB,CAR,72.7,340,12.0,2021,393,Shaq Thompson,2021,27,4,"$54,433,000",13608250
Lavonte David,7060,LB,TB,72.3,272,14.0,2021,103,Lavonte David,2021,31,2,"$25,000,000",12500000
Bobby Wagner,7050,LB,SEA,71.8,453,15.0,2021,285,Bobby Wagner,2021,31,3,"$54,000,000",18000000
Kyle Van Noy,8675,LB,NE,71.6,341,16.0,2021,98,Kyle Van Noy,2021,29,2,"$12,000,000",6000000
Anthony Walker,11916,LB,CLV,69.1,283,19.0,2021,10,Anthony Walker,2021,25,1,"$3,000,000",3000000
Duke Riley,11830,LB,MIA,67.2,74,22.0,2021,46,Duke Riley,2021,26,1,"$1,127,500",1127500
Matt Milano,11918,LB,BUF,67.0,399,23.0,2021,111,Matt Milano,2021,25,4,"$41,500,000",10375000
Jaylon Smith,10668,LB,NYG,66.5,121,24.0,2021,72,Jaylon Smith,2021,26,1,"$990,000",990000
K.J. Wright,6251,LB,LV,65.1,227,28.0,2021,89,K.J. Wright,2021,32,1,"$3,495,000",3495000
Denzel Perryman,9481,LB,LV,63.9,356,31.0,2021,41,Denzel Perryman,2021,28,2,"$6,000,000",3000000
Anthony Barr,8644,LB,MIN,63.0,279,33.0,2021,8,Anthony Barr,2021,28,1,"$8,635,000",8635000
Zach Cunningham,11812,LB,TEN,62.9,289,34.0,2021,271,Zach Cunningham,2021,26,4,"$58,000,000",14500000
Jordan Hicks,9517,LB,ARZ,62.6,442,36.0,2021,343,Jordan Hicks,2021,29,4,"$34,000,000",8500000
Logan Wilson,29623,LB,CIN,61.5,319,37.0,2021,232,Logan Wilson,2021,25,4,"$4,945,590",1236398
Reggie Ragland,10675,LB,NYG,61.2,222,39.0,2021,129,Reggie Ragland,2021,27,1,"$1,127,500",1127500
Jerome Baker,28091,LB,MIA,60.9,365,40.0,2021,75,Jerome Baker,2021,24,3,"$37,500,000",12500000
Eric Kendricks,9478,LB,MIN,59.9,398,42.0,2021,451,Eric Kendricks,2021,29,5,"$50,000,000",10000000
Jalen Reeves-Maybin,11879,LB,DET,55.8,248,48.0,2021,65,Jalen Reeves-Maybin,2021,26,1,"$2,377,500",2377500
Kevin Minter,7826,LB,TB,54.1,113,50.0,2021,93,Kevin Minter,2021,30,1,"$1,212,500",1212500
Alex Singleton,9994,LB,PHI,54.1,271,50.0,2021,6,Alex Singleton,2021,27,1,"$850,000",850000
Elandon Roberts,10848,LB,MIA,54.1,321,50.0,2021,49,Elandon Roberts,2021,26,1,"$1,995,000",1995000
Kwon Alexander,9557,LB,NO,53.9,170,54.0,2021,96,Kwon Alexander,2021,27,1,"$1,127,500",1127500
Chris Board,29456,LB,BLT,53.6,76,56.0,2021,25,Chris Board,2021,25,1,"$1,683,000",1683000
Joe Schobert,10733,LB,PIT,53.6,430,56.0,2021,212,Joe Schobert,2021,27,5,"$53,750,000",10750000
Anthony Hitchens,8754,LB,KC,52.2,329,59.0,2021,418,Anthony Hitchens,2021,28,5,"$45,000,000",9000000
Christian Kirksey,8706,LB,HST,50.3,368,61.0,2021,27,Christian Kirksey,2021,28,1,"$3,000,000",3000000
Neville Hewitt,9836,LB,HST,49.4,173,64.0,2021,116,Neville Hewitt,2021,28,1,"$1,700,000",1700000
A.J. Klein,7930,LB,BUF,48.9,129,66.0,2021,161,A.J. Klein,2021,29,3,"$18,000,000",6000000
Cory Littleton,11190,LB,LV,48.3,317,68.0,2021,176,Cory Littleton,2021,27,3,"$35,250,000",11750000
Robert Spillane,50918,LB,PIT,46.3,151,72.0,2021,132,Robert Spillane,2021,25,1,"$850,000",850000
Christian Jones,9020,LB,CHI,45.3,64,74.0,2021,26,Christian Jones,2021,30,1,"$1,212,500",1212500
Kamu Grugier-Hill,10842,LB,HST,44.4,371,76.0,2021,91,Kamu Grugier-Hill,2021,26,1,"$2,500,000",2500000
Damien Wilson,9560,LB,JAX,44.0,405,78.0,2021,31,Damien Wilson,2021,27,1,"$2,000,000",2000000
Troy Reeder,38268,LB,LA,43.1,355,80.0,2021,402,Troy Reeder,2021,26,3,"$1,755,000",585000
David Mayo,9602,LB,WAS,42.9,91,81.0,2021,35,David Mayo,2021,27,1,"$990,000",990000
Nick Vigil,10721,LB,MIN,42.1,302,83.0,2021,119,Nick Vigil,2021,27,1,"$1,750,000",1750000
C.J. Mosley,8652,LB,NYJ,42.0,463,84.0,2021,296,C.J. Mosley,2021,28,5,"$85,000,000",17000000
Alex Anzalone,11831,LB,DET,35.4,366,87.0,2021,5,Alex Anzalone,2021,26,1,"$1,750,000",1750000
Deion Jones,10686,LB,ATL,34.6,459,89.0,2021,314,Deion Jones,2021,26,4,"$57,000,000",14250000
Alec Ogletree,7811,LB,CHI,29.4,339,94.0,2021,4,Alec Ogletree,2021,29,1,"$1,075,000",1075000
