position,player_name,team_name,grades_defense,snap_counts_run,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
LB,De'Vondre Campbell,GB,85.0,353,2.0,2021,De'Vondre Campbell,2021,27,2000000,5731250.0,-3731250.0
LB,Frankie Luvu,CAR,84.8,120,3.0,2021,Frankie Luvu,2021,24,1100000,8525000.0,-7425000.0
LB,Travin Howard,LA,82.6,71,4.0,2021,Travin Howard,2021,24,780000,8604166.666666666,-7824166.666666666
LB,Fred Warner,SF,80.1,442,5.0,2021,Fred Warner,2021,24,19045000,7689285.714285715,11355714.285714285
LB,Darius Leonard,IND,79.0,367,7.0,2021,Darius Leonard,2021,26,19700000,6862500.0,12837500.0
LB,Demario Davis,NO,77.2,362,8.0,2021,Demario Davis,2021,32,9000000,8313531.25,686468.75
LB,T.J. Edwards,PHI,75.5,298,10.0,2021,T.J. Edwards,2021,25,2200000,9738531.25,-7538531.25
LB,Josh Bynes,BLT,74.8,239,11.0,2021,Josh Bynes,2021,31,1075000,11891031.25,-10816031.25
LB,Shaq Thompson,CAR,72.7,340,12.0,2021,Shaq Thompson,2021,27,13608250,10260406.25,3347843.75
LB,Lavonte David,TB,72.3,272,14.0,2021,Lavonte David,2021,31,12500000,8172906.25,4327093.75
LB,Bobby Wagner,SEA,71.8,453,15.0,2021,Bobby Wagner,2021,31,18000000,7188843.75,10811156.25
LB,Kyle Van Noy,NE,71.6,341,16.0,2021,Kyle Van Noy,2021,29,6000000,8210718.75,-2210718.75
LB,Anthony Walker,CLV,69.1,283,19.0,2021,Anthony Walker,2021,25,3000000,8200093.75,-5200093.75
LB,Duke Riley,MIA,67.2,74,22.0,2021,Duke Riley,2021,26,1127500,6935937.5,-5808437.5
LB,Matt Milano,BUF,67.0,399,23.0,2021,Matt Milano,2021,25,10375000,5748437.5,4626562.5
LB,Jaylon Smith,NYG,66.5,121,24.0,2021,Jaylon Smith,2021,26,990000,4577812.5,-3587812.5
LB,K.J. Wright,LV,65.1,227,28.0,2021,K.J. Wright,2021,32,3495000,5640312.5,-2145312.5
LB,Denzel Perryman,LV,63.9,356,31.0,2021,Denzel Perryman,2021,28,3000000,6327812.5,-3327812.5
LB,Anthony Barr,MIN,63.0,279,33.0,2021,Anthony Barr,2021,28,8635000,6341424.75,2293575.25
LB,Zach Cunningham,TEN,62.9,289,34.0,2021,Zach Cunningham,2021,26,14500000,5185487.25,9314512.75
LB,Jordan Hicks,ARZ,62.6,442,36.0,2021,Jordan Hicks,2021,29,8500000,6624237.25,1875762.75
LB,Logan Wilson,CIN,61.5,319,37.0,2021,Logan Wilson,2021,25,1236398,7437362.25,-6200964.25
LB,Reggie Ragland,NYG,61.2,222,39.0,2021,Reggie Ragland,2021,27,1127500,7359549.75,-6232049.75
