index,player_name,year_signed,age,contract_length,value,average/year
0,Aaron Banks,2021,23,4,"$7,073,601",1768400
0,Aaron Banks,2022,24,4,"$7,073,601",1768400
0,Aaron Banks,2023,25,4,"$7,073,601",1768400
0,Aaron Banks,2024,26,4,"$7,073,601",1768400
1,Aaron Monteiro,2021,23,1,"$660,000",660000
2,Aaron Stinnie,2021,27,1,"$1,250,000",1250000
3,Adam Coon,2021,26,3,"$2,425,000",808333
3,Adam Coon,2022,27,3,"$2,425,000",808333
3,Adam Coon,2023,28,3,"$2,425,000",808333
4,Adam Pankey,2021,27,1,"$1,065,000",1065000
5,Adam Redmond,2021,27,1,"$990,000",990000
6,Adrian Ealy,2021,21,3,"$2,450,000",816667
6,Adrian Ealy,2022,22,3,"$2,450,000",816667
6,Adrian Ealy,2023,23,3,"$2,450,000",816667
7,Alaric Jackson,2021,22,3,"$2,445,000",815000
7,Alaric Jackson,2022,23,3,"$2,445,000",815000
7,Alaric Jackson,2023,24,3,"$2,445,000",815000
8,Alejandro Villanueva,2021,32,2,"$14,000,000",7000000
8,Alejandro Villanueva,2022,33,2,"$14,000,000",7000000
9,Alex Bars,2021,25,1,"$850,000",850000
10,Alex Hoffman,2021,0,3,"$2,426,000",808667
10,Alex Hoffman,2022,1,3,"$2,426,000",808667
10,Alex Hoffman,2023,2,3,"$2,426,000",808667
11,Alex Leatherwood,2021,22,4,"$14,391,564",3597891
11,Alex Leatherwood,2022,23,4,"$14,391,564",3597891
11,Alex Leatherwood,2023,24,4,"$14,391,564",3597891
11,Alex Leatherwood,2024,25,4,"$14,391,564",3597891
12,Alex Mack,2021,35,3,"$14,850,000",4950000
12,Alex Mack,2022,36,3,"$14,850,000",4950000
12,Alex Mack,2023,37,3,"$14,850,000",4950000
13,Alex Redmond,2021,26,1,"$1,080,000",1080000
14,Alex Taylor,2021,23,2,"$1,485,000",742500
14,Alex Taylor,2022,24,2,"$1,485,000",742500
15,Alfredo Gutierrez,2021,25,3,"$2,425,000",808333
15,Alfredo Gutierrez,2022,26,3,"$2,425,000",808333
15,Alfredo Gutierrez,2023,27,3,"$2,425,000",808333
16,Alijah Vera-Tucker,2021,22,4,"$15,885,028",3971257
16,Alijah Vera-Tucker,2022,23,4,"$15,885,028",3971257
16,Alijah Vera-Tucker,2023,24,4,"$15,885,028",3971257
16,Alijah Vera-Tucker,2024,25,4,"$15,885,028",3971257
17,Andre James,2021,23,2,"$8,650,000",4325000
17,Andre James,2022,24,2,"$8,650,000",4325000
18,Andre Smith,2021,33,1,"$1,075,000",1075000
19,Andrew Wylie,2021,26,1,"$920,000",920000
20,Anthony Coyle,2021,24,1,"$780,000",780000
21,Arlington Hambright,2021,24,1,"$780,000",780000
22,Austen Pleasants,2021,23,2,"$1,485,000",742500
22,Austen Pleasants,2022,24,2,"$1,485,000",742500
23,Austin Blythe,2021,28,1,"$990,000",990000
24,Austin Reiter,2021,29,1,"$990,000",990000
25,Austin Schlottmann,2021,25,1,"$850,000",850000
26,Aviante Collins,2021,27,1,"$850,000",850000
27,B.J. Finney,2021,29,1,"$990,000",990000
28,Badara Traore,2021,23,1,"$660,000",660000
29,Beau Benzschawel,2021,25,2,"$1,675,000",837500
29,Beau Benzschawel,2022,26,2,"$1,675,000",837500
30,Ben Cleveland,2021,22,4,"$4,820,535",1205134
30,Ben Cleveland,2022,23,4,"$4,820,535",1205134
30,Ben Cleveland,2023,24,4,"$4,820,535",1205134
30,Ben Cleveland,2024,25,4,"$4,820,535",1205134
31,Blake Brandel,2021,23,2,"$1,485,000",742500
31,Blake Brandel,2022,24,2,"$1,485,000",742500
32,Bobby Hart,2021,26,1,"$1,127,500",1127500
33,Bobby Massie,2021,31,1,"$2,500,000",2500000
34,Brad Lundblade,2021,25,1,"$660,000",660000
35,Braden Smith,2021,25,4,"$70,000,000",17500000
35,Braden Smith,2022,26,4,"$70,000,000",17500000
35,Braden Smith,2023,27,4,"$70,000,000",17500000
35,Braden Smith,2024,28,4,"$70,000,000",17500000
36,Brady Christensen,2021,24,4,"$5,163,274",1290819
36,Brady Christensen,2022,25,4,"$5,163,274",1290819
36,Brady Christensen,2023,26,4,"$5,163,274",1290819
36,Brady Christensen,2024,27,4,"$5,163,274",1290819
37,Branden Bowen,2021,24,1,"$660,000",660000
38,Brandon Kemp,2021,23,2,"$1,485,000",742500
38,Brandon Kemp,2022,24,2,"$1,485,000",742500
39,Brandon Scherff,2021,29,1,"$18,036,000",18036000
40,Brandon Walton,2021,22,1,"$660,000",660000
41,Braylon Jones,2021,23,3,"$2,435,000",811667
41,Braylon Jones,2022,24,3,"$2,435,000",811667
41,Braylon Jones,2023,25,3,"$2,435,000",811667
42,Brent Qvale,2021,30,1,"$990,000",990000
43,Brett Heggie,2021,0,3,"$2,430,000",810000
43,Brett Heggie,2022,1,3,"$2,430,000",810000
43,Brett Heggie,2023,2,3,"$2,430,000",810000
44,Brett Jones,2021,29,1,"$990,000",990000
45,Brett Toth,2021,24,1,"$850,000",850000
46,Brian O'Neill,2021,25,5,"$92,500,000",18500000
46,Brian O'Neill,2022,26,5,"$92,500,000",18500000
46,Brian O'Neill,2023,27,5,"$92,500,000",18500000
46,Brian O'Neill,2024,28,5,"$92,500,000",18500000
46,Brian O'Neill,2025,29,5,"$92,500,000",18500000
47,Bruce Matthews,2021,59,4,"$1,500,000",375000
47,Bruce Matthews,2022,60,4,"$1,500,000",375000
47,Bruce Matthews,2023,61,4,"$1,500,000",375000
47,Bruce Matthews,2024,62,4,"$1,500,000",375000
48,Bryan Witzmann,2021,30,1,"$990,000",990000
49,Bryce Hargrove,2021,23,3,"$2,430,000",810000
49,Bryce Hargrove,2022,24,3,"$2,430,000",810000
49,Bryce Hargrove,2023,25,3,"$2,430,000",810000
50,Caleb Benenoch,2021,26,1,"$990,000",990000
51,Calvin Ashley,2021,0,3,"$2,426,000",808667
51,Calvin Ashley,2022,1,3,"$2,426,000",808667
51,Calvin Ashley,2023,2,3,"$2,426,000",808667
52,Calvin Throckmorton,2021,24,1,"$660,000",660000
53,Cam Robinson,2021,25,1,"$13,754,000",13754000
54,Cam Erving,2021,28,2,"$10,000,000",5000000
54,Cam Erving,2022,29,2,"$10,000,000",5000000
55,Cameron Fleming,2021,28,1,"$1,075,000",1075000
56,Cameron Tom,2021,25,1,"$987,500",987500
57,Carson Green,2021,21,3,"$2,450,000",816667
57,Carson Green,2022,22,3,"$2,450,000",816667
57,Carson Green,2023,23,3,"$2,450,000",816667
58,Carter O'Donnell,2021,22,1,"$660,000",660000
59,Casey Tucker,2021,25,1,"$660,000",660000
60,Cedric Ogbuehi,2021,27,1,"$2,300,000",2300000
61,Chad Slade,2021,28,1,"$927,000",927000
62,Chandon Herring,2021,25,3,"$2,435,000",811667
62,Chandon Herring,2022,26,3,"$2,435,000",811667
62,Chandon Herring,2023,27,3,"$2,435,000",811667
63,Charles Leno Jr.,2021,30,3,"$37,000,000",12333333
63,Charles Leno Jr.,2022,31,3,"$37,000,000",12333333
63,Charles Leno Jr.,2023,32,3,"$37,000,000",12333333
64,Chaz Green,2021,29,1,"$990,000",990000
65,Chidi Okeke,2021,24,1,"$660,000",660000
66,Chris Reed,2021,28,1,"$1,127,500",1127500
67,Christian Darrisaw,2021,21,4,"$13,346,140",3336535
67,Christian Darrisaw,2022,22,4,"$13,346,140",3336535
67,Christian Darrisaw,2023,23,4,"$13,346,140",3336535
67,Christian Darrisaw,2024,24,4,"$13,346,140",3336535
68,Christian Dilauro,2021,26,1,"$660,000",660000
69,Christian Montano,2021,25,1,"$660,000",660000
70,Cody Conway,2021,24,1,"$660,000",660000
71,Cohl Cabral,2021,22,2,"$1,675,000",837500
71,Cohl Cabral,2022,23,2,"$1,675,000",837500
72,Cole Banwart,2021,23,3,"$2,430,000",810000
72,Cole Banwart,2022,24,3,"$2,430,000",810000
72,Cole Banwart,2023,25,3,"$2,430,000",810000
73,Cole Toner,2021,27,1,"$1,057,500",1057500
74,Cole Van Lanen,2021,23,4,"$3,633,684",908421
74,Cole Van Lanen,2022,24,4,"$3,633,684",908421
74,Cole Van Lanen,2023,25,4,"$3,633,684",908421
