player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Trent Williams,5529,T,SF,96.6,1104,1.0,2021,302,Trent Williams,2021,32,6,"$138,060,000",23010000
Joel Bitonio,8670,G,CLV,93.6,1107,2.0,2021,175,Joel Bitonio,2021,30,3,"$48,000,000",16000000
Zack Martin,8651,G,DAL,93.4,1173,3.0,2021,1380,Zack Martin,2021,30,6,"$84,000,000",14000000
Creed Humphrey,59996,C,KC,91.8,1394,4.0,2021,82,Creed Humphrey,2021,21,4,"$5,565,208",1391302
Tyron Smith,6161,T,DAL,90.2,810,5.0,2021,2055,Tyron Smith,2021,28,8,"$97,600,000",12200000
Jordan Mailata,66916,T,PHI,88.3,980,6.0,2021,185,Jordan Mailata,2021,24,4,"$64,000,000",16000000
Andrew Whitworth,3000,T,LA,87.2,1102,7.0,2021,346,Andrew Whitworth,2021,39,3,"$30,000,077",10000026
Michael Onwenu,27357,G,NE,86.7,658,8.0,2021,558,Michael Onwenu,2021,23,4,"$3,497,476",874369
Shaq Mason,9564,G,NE,86.4,1017,9.0,2021,1337,Shaq Mason,2021,27,5,"$45,000,000",9000000
Corey Linsley,8796,C,LAC,85.7,1076,10.0,2021,80,Corey Linsley,2021,29,5,"$62,500,000",12500000
Kolton Miller,47013,T,LV,85.0,1216,11.0,2021,208,Kolton Miller,2021,25,3,"$54,000,000",18000000
Wyatt Teller,46131,G,CLV,84.9,1107,12.0,2021,328,Wyatt Teller,2021,26,4,"$56,800,000",14200000
Jason Kelce,6343,C,PHI,84.5,1059,13.0,2021,163,Jason Kelce,2021,33,1,"$9,000,000",9000000
Tristan Wirfs,64818,T,TB,84.3,1190,14.0,2021,621,Tristan Wirfs,2021,22,4,"$16,228,026",4057007
Ryan Ramczyk,11787,T,NO,84.1,653,15.0,2021,278,Ryan Ramczyk,2021,27,5,"$96,000,000",19200000
Chase Roullier,11954,C,WAS,83.7,490,16.0,2021,392,Chase Roullier,2021,28,4,"$40,500,000",10125000
Chris Lindstrom,46692,G,ATL,83.7,1034,16.0,2021,713,Chris Lindstrom,2021,24,4,"$14,727,287",3681822
Rashawn Slater,59971,T,LAC,83.6,1116,18.0,2021,263,Rashawn Slater,2021,22,4,"$16,631,757",4157939
Rob Havenstein,9490,T,LA,83.4,1236,19.0,2021,1322,Rob Havenstein,2021,29,4,"$32,500,000",8125000
Lane Johnson,7786,T,PHI,83.3,863,20.0,2021,885,Lane Johnson,2021,31,4,"$72,000,000",18000000
Ali Marpet,9494,G,TB,83.2,1181,21.0,2021,655,Ali Marpet,2021,27,5,"$54,125,000",10825000
Charles Leno Jr.,8880,T,WAS,81.2,1121,22.0,2021,63,Charles Leno Jr.,2021,30,3,"$37,000,000",12333333
Joe Thuney,10712,G,KC,81.2,1394,22.0,2021,174,Joe Thuney,2021,28,5,"$80,000,000",16000000
Braden Smith,46794,T,IND,80.6,711,24.0,2021,35,Braden Smith,2021,25,4,"$70,000,000",17500000
Donovan Smith,9467,T,TB,80.5,1292,25.0,2021,108,Donovan Smith,2021,27,2,"$31,000,000",15500000
Tom Compton,7181,T,SF,79.9,743,26.0,2021,296,Tom Compton,2021,31,1,"$1,075,000",1075000
Dion Dawkins,11818,T,BUF,79.4,1208,27.0,2021,432,Dion Dawkins,2021,27,4,"$58,300,000",14575000
