position,player_name,team_name,grades_offense,snap_counts_block,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
T,Trent Williams,SF,96.6,1104,1.0,2021,Trent Williams,2021,32,23010000,13766883.666666666,9243116.333333334
G,Joel Bitonio,CLV,93.6,1107,2.0,2021,Joel Bitonio,2021,30,16000000,13228761.142857144,2771238.8571428563
G,Zack Martin,DAL,93.4,1173,3.0,2021,Zack Martin,2021,30,14000000,11684462.125,2315537.875
C,Creed Humphrey,KC,91.8,1394,4.0,2021,Creed Humphrey,2021,21,1391302,11386188.555555556,-9994886.555555556
T,Tyron Smith,DAL,90.2,810,5.0,2021,Tyron Smith,2021,28,12200000,11497569.7,702430.3000000007
T,Jordan Mailata,PHI,88.3,980,6.0,2021,Jordan Mailata,2021,24,16000000,12088699.727272727,3911300.2727272734
T,Andrew Whitworth,LA,87.2,1102,7.0,2021,Andrew Whitworth,2021,39,10000026,12264641.416666666,-2264615.416666666
G,Michael Onwenu,NE,86.7,658,8.0,2021,Michael Onwenu,2021,23,874369,11097141.416666666,-10222772.416666666
G,Shaq Mason,NE,86.4,1017,9.0,2021,Shaq Mason,2021,27,9000000,10101892.0,-1101892.0
C,Corey Linsley,LAC,85.7,1076,10.0,2021,Corey Linsley,2021,29,12500000,10535225.333333334,1964774.666666666
T,Kolton Miller,LV,85.0,1216,11.0,2021,Kolton Miller,2021,25,18000000,11263033.5,6736966.5
G,Wyatt Teller,CLV,84.9,1107,12.0,2021,Wyatt Teller,2021,26,14200000,10553185.333333334,3646814.666666666
C,Jason Kelce,PHI,84.5,1059,13.0,2021,Jason Kelce,2021,33,9000000,9566346.916666666,-566346.916666666
T,Tristan Wirfs,TB,84.3,1190,14.0,2021,Tristan Wirfs,2021,22,4057007,9410094.75,-5353087.75
T,Ryan Ramczyk,NO,84.1,653,15.0,2021,Ryan Ramczyk,2021,27,19200000,10837230.666666666,8362769.333333334
C,Chase Roullier,WAS,83.7,490,16.0,2021,Chase Roullier,2021,28,10125000,10989314.0,-864314.0
G,Chris Lindstrom,ATL,83.7,1034,16.0,2021,Chris Lindstrom,2021,24,3681822,10975425.083333334,-7293603.083333334
T,Rashawn Slater,LAC,83.6,1116,18.0,2021,Rashawn Slater,2021,22,4157939,10808758.416666666,-6650819.416666666
T,Rob Havenstein,LA,83.4,1236,19.0,2021,Rob Havenstein,2021,29,8125000,11083758.416666666,-2958758.416666666
T,Lane Johnson,PHI,83.3,863,20.0,2021,Lane Johnson,2021,31,18000000,11625425.083333334,6374574.916666666
G,Ali Marpet,TB,83.2,1181,21.0,2021,Ali Marpet,2021,27,10825000,11376924.5,-551924.5
T,Charles Leno Jr.,WAS,81.2,1121,22.0,2021,Charles Leno Jr.,2021,30,12333333,10991507.833333334,1341825.166666666
G,Joe Thuney,KC,81.2,1394,22.0,2021,Joe Thuney,2021,28,16000000,10543591.166666666,5456408.833333334
T,Braden Smith,IND,80.6,711,24.0,2021,Braden Smith,2021,25,17500000,10300314.333333334,7199685.666666666
T,Donovan Smith,TB,80.5,1292,25.0,2021,Donovan Smith,2021,27,15500000,10627685.833333334,4872314.166666666
T,Tom Compton,SF,79.9,743,26.0,2021,Tom Compton,2021,31,1075000,10854769.166666666,-9779769.166666666
T,Dion Dawkins,BUF,79.4,1208,27.0,2021,Dion Dawkins,2021,27,14575000,10839060.833333334,3735939.166666666
C,David Andrews,NE,79.2,1149,28.0,2021,David Andrews,2021,28,4750000,10082810.833333334,-5332810.833333334
T,David Quessenberry,TEN,79.1,1237,29.0,2021,David Quessenberry,2021,30,762500,9153878.166666666,-8391378.166666666
T,Andrew Thomas,NYG,78.9,799,30.0,2021,Andrew Thomas,2021,22,8086397,8322608.75,-236211.75
C,J.C. Tretter,CLV,78.7,1039,31.0,2021,J.C. Tretter,2021,30,10850000,8280942.083333333,2569057.916666667
T,Taylor Moton,CAR,77.5,1149,32.0,2021,Taylor Moton,2021,27,17811500,7739275.416666667,10072224.583333332
T,Jason Peters,CHI,77.5,853,32.0,2021,Jason Peters,2021,39,1750000,8274692.083333333,-6524692.083333333
C,Matt Hennessy,ATL,77.1,988,34.0,2021,Matt Hennessy,2021,23,1186141,7132852.916666667,-5946711.916666667
T,Penei Sewell,DET,77.0,1039,35.0,2021,Penei Sewell,2021,20,6024767,6895352.916666667,-870585.916666667
T,Garett Bolles,DEN,76.6,870,36.0,2021,Garett Bolles,2021,29,17000000,6946165.166666667,10053834.833333332
C,Connor McGovern,NYJ,75.9,973,38.0,2021,Connor McGovern,2021,27,9000000,6510671.75,2489328.25
G,Kevin Zeitler,BLT,75.6,1221,39.0,2021,Kevin Zeitler,2021,31,7500000,5672066.25,1827933.75
T,Orlando Brown Jr.,KC,75.3,1337,40.0,2021,Orlando Brown Jr.,2021,25,872930,4555069.75,-3682139.75
T,Cornelius Lucas,WAS,75.2,587,41.0,2021,Cornelius Lucas,2021,29,1900000,4992569.75,-3092569.75
G,Connor Williams,DAL,75.2,1020,41.0,2021,Connor Williams,2021,23,1372247,6435391.333333333,-5063144.333333333
T,Isaiah Wynn,NE,74.9,915,43.0,2021,Isaiah Wynn,2021,24,2860476,7436327.416666667,-4575851.416666667
C,Brian Allen,LA,74.8,1181,44.0,2021,Brian Allen,2021,25,786734,6073377.583333333,-5286643.583333333
T,Jonah Williams,CIN,74.5,1301,45.0,2021,Jonah Williams,2021,23,4407542,5573377.583333333,-1165835.583333333
G,Matt Feiler,LAC,74.0,1119,46.0,2021,Matt Feiler,2021,28,7000000,5023600.666666667,1976399.333333333
T,Brian O'Neill,MIN,73.7,1140,47.0,2021,Brian O'Neill,2021,25,18500000,5784189.833333333,12715810.166666668
G,Brandon Scherff,WAS,73.6,697,48.0,2021,Brandon Scherff,2021,29,18036000,5903901.083333333,12132098.916666668
C,Bradley Bozeman,BLT,73.3,1125,50.0,2021,Bradley Bozeman,2021,26,644602,5859728.5,-5215126.5
G,Ted Karras,NE,72.9,890,51.0,2021,Ted Karras,2021,27,3000000,6829688.833333333,-3829688.833333333
G,Trey Smith,KC,72.8,1404,52.0,2021,Trey Smith,2021,21,902677,7522461.0,-6619784.0
G,Ereck Flowers,WAS,72.0,1061,53.0,2021,Ereck Flowers,2021,26,10000000,7299960.833333333,2700039.166666667
