index,player_name,year_signed,age,contract_length,value,average/year
0,Aaron Jones,2021,26,4,"$48,000,000",12000000
0,Aaron Jones,2022,27,4,"$48,000,000",12000000
0,Aaron Jones,2023,28,4,"$48,000,000",12000000
0,Aaron Jones,2024,29,4,"$48,000,000",12000000
1,Adrian Peterson,2021,35,1,"$1,075,000",1075000
2,Alex Collins,2021,26,1,"$990,000",990000
3,Alfred Morris,2021,32,1,"$1,075,000",1075000
4,Ameer Abdullah,2021,27,1,"$990,000",990000
5,Austin Walter,2021,24,1,"$780,000",780000
6,Bo Scarbrough,2021,24,1,"$780,000",780000
7,Boston Scott,2021,25,1,"$920,000",920000
8,Brian Hill,2021,25,1,"$990,000",990000
9,Buddy Howell,2021,24,1,"$1,500,000",1500000
10,C.J. Marable,2021,24,3,"$2,428,000",809333
10,C.J. Marable,2022,25,3,"$2,428,000",809333
10,C.J. Marable,2023,26,3,"$2,428,000",809333
11,C.J. Prosise,2021,26,1,"$990,000",990000
12,Carlos Hyde,2021,30,2,"$4,500,000",2250000
12,Carlos Hyde,2022,31,2,"$4,500,000",2250000
13,Christian Wade,2021,29,1,"$660,000",660000
14,Chris Carson,2021,26,2,"$10,425,000",5212500
14,Chris Carson,2022,27,2,"$10,425,000",5212500
15,Cordarrelle Patterson,2021,30,1,"$3,000,000",3000000
16,Corey Clement,2021,26,1,"$990,000",990000
17,Craig Reynolds,2021,24,2,"$1,815,000",907500
17,Craig Reynolds,2022,25,2,"$1,815,000",907500
18,D'Onta Foreman,2021,25,1,"$920,000",920000
19,Damien Williams,2021,28,1,"$1,500,000",1500000
20,Darius Clark,2021,24,1,"$660,000",660000
21,Darius Jackson,2021,27,1,"$850,000",850000
22,Darrel Williams,2021,25,1,"$1,600,000",1600000
23,David Johnson,2021,29,1,"$5,000,000",5000000
24,Dedrick Mills,2021,24,3,"$2,435,000",811667
24,Dedrick Mills,2022,25,3,"$2,435,000",811667
24,Dedrick Mills,2023,26,3,"$2,435,000",811667
25,Derrick Gore,2021,26,1,"$660,000",660000
26,Devine Ozigbo,2021,24,1,"$850,000",850000
27,Devonta Freeman,2021,29,1,"$1,075,000",1075000
28,Devontae Booker,2021,28,2,"$5,500,000",2750000
28,Devontae Booker,2022,29,2,"$5,500,000",2750000
29,Dontrell Hilliard,2021,25,1,"$1,200,000",1200000
30,Duke Johnson Jr.,2021,27,1,"$990,000",990000
31,Dwayne Washington,2021,26,1,"$1,127,500",1127500
32,Elijah McGuire,2021,26,1,"$850,000",850000
33,Giovani Bernard,2021,29,1,"$1,212,500",1212500
34,Gus Edwards,2021,26,2,"$9,000,000",4500000
34,Gus Edwards,2022,27,2,"$9,000,000",4500000
35,Ito Smith,2021,25,1,"$920,000",920000
36,Jamaal Williams,2021,25,2,"$6,000,000",3000000
36,Jamaal Williams,2022,26,2,"$6,000,000",3000000
37,James Conner,2021,25,1,"$1,750,000",1750000
38,James White,2021,29,1,"$2,462,500",2462500
39,Jaylen Samuels,2021,24,1,"$920,000",920000
40,Jeff Wilson Jr.,2021,25,1,"$2,050,000",2050000
41,Jeremy Cox,2021,24,1,"$780,000",780000
42,Jeremy McNichols,2021,25,1,"$868,889",868889
43,Jerick McKinnon,2021,28,1,"$990,000",990000
44,John Kelly,2021,24,1,"$850,000",850000
45,Jonathan Williams,2021,26,1,"$990,000",990000
46,Jordan Chunn,2021,25,1,"$660,000",660000
47,Jordan Howard,2021,26,1,"$990,000",990000
48,Jordan Scarlett,2021,25,1,"$780,000",780000
49,Jordan Wilkins,2021,26,1,"$920,000",920000
50,Josh Adams,2021,24,1,"$1,180,000",1180000
51,Kalen Ballage,2021,25,1,"$920,000",920000
52,Kenjon Barner,2021,31,1,"$990,000",990000
53,Kenyan Drake,2021,27,2,"$11,000,000",5500000
53,Kenyan Drake,2022,28,2,"$11,000,000",5500000
54,Kerrith Whyte,2021,24,1,"$780,000",780000
55,Khalfani Muhammad,2021,26,1,"$660,000",660000
56,Lamar Miller,2021,29,1,"$1,212,500",1212500
57,Latavius Murray,2021,30,1,"$1,075,000",1075000
58,Leonard Fournette,2021,26,1,"$3,250,000",3250000
59,Malcolm Brown,2021,27,1,"$1,750,000",1750000
60,Mark Ingram II,2021,31,1,"$2,500,000",2500000
61,Marlon Mack,2021,25,1,"$2,000,000",2000000
62,Matt Breida,2021,26,1,"$1,055,000",1055000
63,Mike Boone,2021,25,2,"$3,850,000",1925000
63,Mike Boone,2022,26,2,"$3,850,000",1925000
64,Mike Davis,2021,28,2,"$5,500,000",2750000
64,Mike Davis,2022,29,2,"$5,500,000",2750000
65,Nathan Cottrell,2021,24,1,"$780,000",780000
66,Nick Chubb,2021,25,3,"$36,600,000",12200000
66,Nick Chubb,2022,26,3,"$36,600,000",12200000
66,Nick Chubb,2023,27,3,"$36,600,000",12200000
67,Nyheim Hines,2021,24,3,"$18,600,000",6200000
67,Nyheim Hines,2022,25,3,"$18,600,000",6200000
67,Nyheim Hines,2023,26,3,"$18,600,000",6200000
68,Patrick Laird,2021,25,1,"$850,000",850000
69,Paul Perkins,2021,26,1,"$920,000",920000
70,Peyton Barber,2021,26,1,"$990,000",990000
71,Phillip Lindsay,2021,26,1,"$3,250,000",3250000
72,Qadree Ollison,2021,24,1,"$850,000",850000
73,Rex Burkhead,2021,30,1,"$1,500,000",1500000
74,Ryan Nall,2021,25,1,"$850,000",850000
75,Ryquell Armstead,2021,24,1,"$850,000",850000
76,Samaje Perine,2021,25,2,"$3,300,000",1650000
76,Samaje Perine,2022,26,2,"$3,300,000",1650000
77,Sandro Platzgummer,2021,24,1,"$660,000",660000
78,Taiwan Jones,2021,31,1,"$1,750,000",1750000
79,Tevin Coleman,2021,27,1,"$1,100,000",1100000
80,Theo Riddick,2021,29,1,"$1,175,000",1175000
81,Tony Brooks-James,2021,26,1,"$780,000",780000
82,Trenton Cannon,2021,27,1,"$920,000",920000
83,Trey Edmunds,2021,26,1,"$990,000",990000
84,Trey Ragas,2021,24,3,"$2,425,000",808333
84,Trey Ragas,2022,25,3,"$2,425,000",808333
84,Trey Ragas,2023,26,3,"$2,425,000",808333
85,Troymaine Pope,2021,27,1,"$990,000",990000
86,Ty'Son Williams,2021,24,1,"$660,000",660000
87,Tyler Gaffney,2021,29,1,"$660,000",660000
88,Wayne Gallman,2021,26,1,"$990,000",990000
89,Wendell Smallwood,2021,26,1,"$920,000",920000
90,Adrian Peterson,2020,35,1,"$1,050,000",1050000
91,Alfred Morris,2020,31,1,"$1,050,000",1050000
92,Alvin Kamara,2020,25,5,"$75,000,000",15000000
92,Alvin Kamara,2021,26,5,"$75,000,000",15000000
92,Alvin Kamara,2022,27,5,"$75,000,000",15000000
92,Alvin Kamara,2023,28,5,"$75,000,000",15000000
92,Alvin Kamara,2024,29,5,"$75,000,000",15000000
93,Ameer Abdullah,2020,26,1,"$1,047,500",1047500
94,Austin Ekeler,2020,24,4,"$24,500,000",6125000
94,Austin Ekeler,2021,25,4,"$24,500,000",6125000
94,Austin Ekeler,2022,26,4,"$24,500,000",6125000
94,Austin Ekeler,2023,27,4,"$24,500,000",6125000
95,Brian Hill,2020,24,1,"$2,133,000",2133000
96,C.J. Prosise,2020,25,1,"$825,000",825000
97,Carlos Hyde,2020,29,1,"$2,750,000",2750000
98,Chris Thompson,2020,29,1,"$1,400,000",1400000
99,Christian Wade,2020,28,2,"$1,401,000",700500
100,Corey Clement,2020,25,1,"$825,000",825000
101,D.J. Foster,2020,26,1,"$910,000",910000
102,Dalvin Cook,2020,25,5,"$63,000,000",12600000
102,Dalvin Cook,2021,26,5,"$63,000,000",12600000
102,Dalvin Cook,2022,27,5,"$63,000,000",12600000
102,Dalvin Cook,2023,28,5,"$63,000,000",12600000
102,Dalvin Cook,2024,29,5,"$63,000,000",12600000
103,Dalyn Dawkins,2020,25,2,"$1,670,000",835000
103,Dalyn Dawkins,2021,26,2,"$1,670,000",835000
104,Dare Ogunbowale,2020,25,1,"$675,000",675000
105,Darius Jackson,2020,26,1,"$750,000",750000
106,DeAndre Washington,2020,27,1,"$1,047,500",1047500
107,Derrick Gore,2020,25,1,"$610,000",610000
108,Derrick Henry,2020,26,4,"$50,000,000",12500000
108,Derrick Henry,2021,27,4,"$50,000,000",12500000
108,Derrick Henry,2022,28,4,"$50,000,000",12500000
108,Derrick Henry,2023,29,4,"$50,000,000",12500000
109,Devonta Freeman,2020,28,1,"$1,350,000",1350000
110,Devontae Booker,2020,27,1,"$1,047,500",1047500
111,Dion Lewis,2020,29,1,"$1,550,000",1550000
112,Dontrell Hilliard,2020,25,1,"$750,000",750000
113,Dwayne Washington,2020,25,1,"$1,047,500",1047500
114,Elijah McGuire,2020,25,1,"$750,000",750000
115,Frank Gore,2020,36,1,"$1,050,000",1050000
116,Gus Edwards,2020,24,1,"$750,000",750000
117,J.D. McKissic,2020,26,2,"$3,270,000",1635000
117,J.D. McKissic,2021,27,2,"$3,270,000",1635000
118,Jalen Richard,2020,26,2,"$7,000,000",3500000
118,Jalen Richard,2021,27,2,"$7,000,000",3500000
119,James Gilbert,2020,24,3,"$2,287,000",762333
119,James Gilbert,2021,25,3,"$2,287,000",762333
119,James Gilbert,2022,26,3,"$2,287,000",762333
120,Jeff Wilson Jr.,2020,24,1,"$750,000",750000
121,Jerick McKinnon,2020,27,1,"$1,160,000",1160000
122,Joe Mixon,2020,24,4,"$48,000,000",12000000
122,Joe Mixon,2021,25,4,"$48,000,000",12000000
122,Joe Mixon,2022,26,4,"$48,000,000",12000000
122,Joe Mixon,2023,27,4,"$48,000,000",12000000
123,Jonathan Hilliman,2020,24,2,"$1,532,000",766000
123,Jonathan Hilliman,2021,25,2,"$1,532,000",766000
124,Jonathan Williams,2020,25,1,"$825,000",825000
125,Jordan Chunn,2020,24,2,"$1,390,000",695000
126,Jordan Howard,2020,25,2,"$9,750,000",4875000
127,Kalen Ballage,2020,24,1,"$825,000",825000
128,Kareem Hunt,2020,24,2,"$12,000,000",6000000
128,Kareem Hunt,2021,25,2,"$12,000,000",6000000
129,Kenjon Barner,2020,31,1,"$910,000",910000
130,Kenyan Drake,2020,25,1,"$8,483,000",8483000
131,Khalfani Muhammad,2020,25,2,"$1,390,000",695000
132,Lamar Miller,2020,29,1,"$1,050,000",1050000
133,Le'Veon Bell,2020,27,1,"$1,000,000",1000000
134,LeSean McCoy,2020,32,1,"$1,050,000",1050000
135,Leonard Fournette,2020,25,1,"$2,000,000",2000000
136,Marcus Murphy,2020,28,1,"$741,000",741000
137,Mark Thompson,2020,25,1,"$610,000",610000
138,Matt Breida,2020,25,1,"$3,259,000",3259000
139,Melvin Gordon III,2020,26,2,"$16,000,000",8000000
139,Melvin Gordon III,2021,27,2,"$16,000,000",8000000
140,Napolean Maxwell,2020,24,3,"$2,286,500",762167
140,Napolean Maxwell,2021,25,3,"$2,286,500",762167
140,Napolean Maxwell,2022,26,3,"$2,286,500",762167
