player,player_id,position,team_name,grades_offense,total_touches,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Cordarrelle Patterson,7810,HB,ATL,82.2,205,5.0,2021,15,Cordarrelle Patterson,2021,30,1,"$3,000,000",3000000
Aaron Jones,11937,HB,GB,82.0,244,6.0,2021,0,Aaron Jones,2021,26,4,"$48,000,000",12000000
James Conner,11860,HB,ARZ,81.9,244,7.0,2021,37,James Conner,2021,25,1,"$1,750,000",1750000
Nick Chubb,45783,HB,CLV,81.7,248,8.0,2021,66,Nick Chubb,2021,25,3,"$36,600,000",12200000
Joe Mixon,11803,HB,CIN,79.2,419,14.0,2021,122,Joe Mixon,2021,25,4,"$48,000,000",12000000
Melvin Gordon III,9448,HB,DEN,77.8,231,16.0,2021,139,Melvin Gordon III,2021,27,2,"$16,000,000",8000000
Derrick Henry,10679,HB,TEN,77.3,257,17.0,2021,108,Derrick Henry,2021,27,4,"$50,000,000",12500000
Austin Ekeler,12164,HB,LAC,75.3,276,20.0,2021,94,Austin Ekeler,2021,25,4,"$24,500,000",6125000
Leonard Fournette,11759,HB,TB,75.1,271,21.0,2021,58,Leonard Fournette,2021,26,1,"$3,250,000",3250000
Tevin Coleman,9506,HB,NYJ,74.1,95,22.0,2021,79,Tevin Coleman,2021,27,1,"$1,100,000",1100000
Kenyan Drake,10707,HB,LV,73.1,93,23.0,2021,53,Kenyan Drake,2021,27,2,"$11,000,000",5500000
Nyheim Hines,48103,HB,IND,72.7,96,24.0,2021,67,Nyheim Hines,2021,24,3,"$18,600,000",6200000
D'Onta Foreman,11844,HB,TEN,72.1,146,25.0,2021,18,D'Onta Foreman,2021,25,1,"$920,000",920000
Jamaal Williams,11889,HB,DET,69.8,179,29.0,2021,36,Jamaal Williams,2021,25,2,"$6,000,000",3000000
J.D. McKissic,11047,HB,WAS,69.5,91,32.0,2021,117,J.D. McKissic,2021,27,2,"$3,270,000",1635000
Ezekiel Elliott,10638,HB,DAL,69.3,297,33.0,2021,189,Ezekiel Elliott,2021,26,6,"$90,000,000",15000000
Devonta Freeman,8738,HB,BLT,68.2,167,36.0,2021,27,Devonta Freeman,2021,29,1,"$1,075,000",1075000
Mark Ingram II,6180,HB,NO,67.6,187,37.0,2021,60,Mark Ingram II,2021,31,1,"$2,500,000",2500000
Darrel Williams,13014,HB,KC,66.8,192,39.0,2021,22,Darrel Williams,2021,25,1,"$1,600,000",1600000
Alex Collins,10805,HB,SEA,66.0,117,42.0,2021,2,Alex Collins,2021,26,1,"$990,000",990000
Dalvin Cook,11796,HB,MIN,65.8,284,43.0,2021,102,Dalvin Cook,2021,26,5,"$63,000,000",12600000
Latavius Murray,7962,HB,BLT,65.5,129,45.0,2021,57,Latavius Murray,2021,30,1,"$1,075,000",1075000
Rex Burkhead,7971,HB,HST,65.4,147,46.0,2021,73,Rex Burkhead,2021,30,1,"$1,500,000",1500000
Devontae Booker,10770,HB,NYG,65.0,185,47.0,2021,28,Devontae Booker,2021,28,2,"$5,500,000",2750000
Alvin Kamara,11822,HB,NO,63.2,287,51.0,2021,92,Alvin Kamara,2021,26,5,"$75,000,000",15000000
Jeff Wilson Jr.,29413,HB,SF,60.8,86,56.0,2021,40,Jeff Wilson Jr.,2021,25,1,"$2,050,000",2050000
David Johnson,9519,HB,HST,60.4,99,57.0,2021,23,David Johnson,2021,29,1,"$5,000,000",5000000
Samaje Perine,11869,HB,CIN,60.1,89,58.0,2021,76,Samaje Perine,2021,25,2,"$3,300,000",1650000
Mike Davis,9559,HB,ATL,56.3,182,61.0,2021,64,Mike Davis,2021,28,2,"$5,500,000",2750000
Phillip Lindsay,12660,HB,MIA,53.9,92,63.0,2021,71,Phillip Lindsay,2021,26,1,"$3,250,000",3250000
Carlos Hyde,8692,HB,JAX,53.8,84,64.0,2021,12,Carlos Hyde,2021,30,2,"$4,500,000",2250000
Derrick Henry,10679,HB,TEN,91.8,418,1.0,2020,108,Derrick Henry,2020,26,4,"$50,000,000",12500000
Dalvin Cook,11796,HB,MIN,89.0,356,3.0,2020,102,Dalvin Cook,2020,25,5,"$63,000,000",12600000
Gus Edwards,46027,HB,BLT,85.5,171,5.0,2020,116,Gus Edwards,2020,24,1,"$750,000",750000
Alvin Kamara,11822,HB,NO,82.0,316,7.0,2020,92,Alvin Kamara,2020,25,5,"$75,000,000",15000000
Latavius Murray,7962,HB,NO,81.5,175,8.0,2020,205,Latavius Murray,2020,30,4,"$14,400,000",3600000
Raheem Mostert,9783,HB,SF,79.3,120,13.0,2020,219,Raheem Mostert,2020,27,3,"$8,700,000",2900000
Rex Burkhead,7971,HB,NE,78.2,92,15.0,2020,144,Rex Burkhead,2020,30,1,"$3,000,000",3000000
Austin Ekeler,12164,HB,LAC,77.0,170,18.0,2020,94,Austin Ekeler,2020,24,4,"$24,500,000",6125000
Mike Davis,9559,HB,CAR,75.1,224,24.0,2020,216,Mike Davis,2020,27,2,"$6,000,000",3000000
Kareem Hunt,11841,HB,CLV,74.4,252,27.0,2020,128,Kareem Hunt,2020,24,2,"$12,000,000",6000000
Le'Veon Bell,7829,HB,KC,72.6,100,30.0,2020,133,Le'Veon Bell,2020,27,1,"$1,000,000",1000000
Melvin Gordon III,9448,HB,DEN,72.5,247,31.0,2020,139,Melvin Gordon III,2020,26,2,"$16,000,000",8000000
Cordarrelle Patterson,7810,HB,CHI,69.6,86,37.0,2020,175,Cordarrelle Patterson,2020,28,2,"$10,000,000",5000000
Jeff Wilson Jr.,29413,HB,SF,69.1,139,41.0,2020,120,Jeff Wilson Jr.,2020,24,1,"$750,000",750000
Devontae Booker,10770,HB,LV,68.7,110,42.0,2020,110,Devontae Booker,2020,27,1,"$1,047,500",1047500
Carlos Hyde,8692,HB,SEA,67.1,101,44.0,2020,97,Carlos Hyde,2020,29,1,"$2,750,000",2750000
Leonard Fournette,11759,HB,TB,65.5,215,46.0,2020,135,Leonard Fournette,2020,25,1,"$2,000,000",2000000
Joe Mixon,11803,HB,CIN,65.3,140,47.0,2020,122,Joe Mixon,2020,24,4,"$48,000,000",12000000
Ezekiel Elliott,10638,HB,DAL,65.3,296,47.0,2020,189,Ezekiel Elliott,2020,25,6,"$90,000,000",15000000
Giovani Bernard,7818,HB,CIN,63.4,171,49.0,2020,191,Giovani Bernard,2020,28,2,"$9,700,000",4850000
David Johnson,9519,HB,HST,62.9,180,52.0,2020,257,David Johnson,2020,28,3,"$39,000,000",13000000
Duke Johnson Jr.,9510,HB,HST,62.6,105,53.0,2020,262,Duke Johnson Jr.,2020,26,3,"$15,610,000",5203333
J.D. McKissic,11047,HB,WAS,62.4,169,54.0,2020,117,J.D. McKissic,2020,26,2,"$3,270,000",1635000
Kenyan Drake,10707,HB,ARZ,60.9,264,55.0,2020,130,Kenyan Drake,2020,25,1,"$8,483,000",8483000
Frank Gore,2282,HB,NYJ,60.8,203,56.0,2020,115,Frank Gore,2020,36,1,"$1,050,000",1050000
Adrian Peterson,3623,HB,DET,59.6,167,57.0,2020,90,Adrian Peterson,2020,35,1,"$1,050,000",1050000
Dare Ogunbowale,12329,HB,JAX,58.8,42,58.0,2020,104,Dare Ogunbowale,2020,25,1,"$675,000",675000
Brian Hill,11911,HB,ATL,57.9,125,61.0,2020,95,Brian Hill,2020,24,1,"$2,133,000",2133000
Devonta Freeman,8738,HB,NYG,55.0,61,63.0,2020,109,Devonta Freeman,2020,28,1,"$1,350,000",1350000
Todd Gurley II,9443,HB,ATL,54.8,220,64.0,2020,152,Todd Gurley II,2020,25,1,"$5,500,000",5500000
Raheem Mostert,9783,HB,SF,82.9,207,6.0,2019,219,Raheem Mostert,2019,26,3,"$8,700,000",2900000
Mark Ingram II,6180,HB,BLT,78.7,235,9.0,2019,211,Mark Ingram II,2019,29,3,"$15,000,000",5000000
Ezekiel Elliott,10638,HB,DAL,77.0,355,11.0,2019,189,Ezekiel Elliott,2019,24,6,"$90,000,000",15000000
James White,8765,HB,NE,76.5,145,13.0,2019,345,James White,2019,27,3,"$12,000,000",4000000
Duke Johnson Jr.,9510,HB,HST,75.9,139,16.0,2019,262,Duke Johnson Jr.,2019,25,3,"$15,610,000",5203333
Carlos Hyde,8692,HB,HST,74.2,288,20.0,2019,172,Carlos Hyde,2019,28,1,"$2,800,000",2800000
Le'Veon Bell,7829,HB,NYJ,74.1,311,21.0,2019,206,Le'Veon Bell,2019,27,4,"$52,500,000",13125000
Latavius Murray,7962,HB,NO,73.9,186,22.0,2019,205,Latavius Murray,2019,29,4,"$14,400,000",3600000
David Johnson,9519,HB,ARZ,72.2,130,24.0,2019,257,David Johnson,2019,27,3,"$39,000,000",13000000
Tevin Coleman,9506,HB,SF,71.5,192,27.0,2019,228,Tevin Coleman,2019,25,2,"$8,500,000",4250000
Adrian Peterson,3623,HB,WAS,67.6,228,36.0,2019,160,Adrian Peterson,2019,33,2,"$5,030,000",2515000
Damien Williams,9205,HB,KC,65.7,198,44.0,2019,253,Damien Williams,2019,27,2,"$5,100,000",2550000
LeSean McCoy,4976,HB,KC,65.0,129,46.0,2019,207,LeSean McCoy,2019,31,1,"$3,000,000",3000000
Peyton Barber,10927,HB,TB,64.9,170,47.0,2019,218,Peyton Barber,2019,25,1,"$2,125,000",2125000
Malcolm Brown,9902,HB,LA,64.4,71,48.0,2019,209,Malcolm Brown,2019,25,2,"$3,300,000",1650000
Frank Gore,2282,HB,BUF,62.6,186,51.0,2019,190,Frank Gore,2019,35,1,"$2,000,000",2000000
Devonta Freeman,8738,HB,ATL,60.8,243,54.0,2019,334,Devonta Freeman,2019,27,5,"$41,250,000",8250000
Dion Lewis,6301,HB,TEN,59.8,83,56.0,2019,260,Dion Lewis,2019,28,4,"$19,800,000",4950000
Bilal Powell,6278,HB,NYJ,54.8,66,61.0,2019,167,Bilal Powell,2019,30,1,"$1,020,000",1020000
Giovani Bernard,7818,HB,CIN,51.8,83,64.0,2019,191,Giovani Bernard,2019,27,2,"$9,700,000",4850000
Damien Williams,9205,HB,KC,80.6,118,12.0,2018,253,Damien Williams,2018,26,2,"$5,100,000",2550000
Frank Gore,2282,HB,MIA,80.3,168,13.0,2018,265,Frank Gore,2018,34,1,"$1,105,000",1105000
Mark Ingram II,6180,HB,NO,78.9,181,16.0,2018,497,Mark Ingram II,2018,28,4,"$16,000,000",4000000
Adrian Peterson,3623,HB,WAS,76.2,271,20.0,2018,237,Adrian Peterson,2018,33,1,"$1,015,000",1015000
Latavius Murray,7962,HB,MIN,75.7,162,22.0,2018,355,Latavius Murray,2018,28,3,"$15,000,000",5000000
Mike Davis,9559,HB,SEA,74.6,152,24.0,2018,291,Mike Davis,2018,25,1,"$1,350,000",1350000
Lamar Miller,7097,HB,HST,74.5,248,25.0,2018,423,Lamar Miller,2018,26,4,"$26,000,000",6500000
Cameron Artis-Payne,9607,HB,CAR,74.3,22,26.0,2018,457,Cameron Artis-Payne,2018,27,4,"$2,446,254",611564
Chris Ivory,6007,HB,BUF,74.1,128,27.0,2018,251,Chris Ivory,2018,29,2,"$5,500,000",2750000
Duke Johnson Jr.,9510,HB,CLV,72.1,87,29.0,2018,262,Duke Johnson Jr.,2018,24,3,"$15,610,000",5203333
C.J. Anderson,8101,HB,LA,72.1,121,29.0,2018,247,C.J. Anderson,2018,27,1,"$1,750,000",1750000
James White,8765,HB,NE,71.3,209,33.0,2018,345,James White,2018,26,3,"$12,000,000",4000000
Isaiah Crowell,9295,HB,NYJ,70.4,164,35.0,2018,267,Isaiah Crowell,2018,25,3,"$12,000,000",4000000
Giovani Bernard,7818,HB,CIN,68.1,91,40.0,2018,411,Giovani Bernard,2018,26,3,"$15,500,000",5166667
Peyton Barber,10927,HB,TB,66.8,254,43.0,2018,292,Peyton Barber,2018,24,1,"$630,000",630000
Doug Martin,7035,HB,LV,66.6,190,44.0,2018,261,Doug Martin,2018,29,1,"$1,475,000",1475000
Dion Lewis,6301,HB,TEN,65.3,214,48.0,2018,260,Dion Lewis,2018,27,4,"$19,800,000",4950000
Jacquizz Rodgers,6297,HB,TB,65.1,71,49.0,2018,342,Jacquizz Rodgers,2018,28,2,"$3,300,000",1650000
David Johnson,9519,HB,ARZ,64.1,308,50.0,2018,257,David Johnson,2018,26,3,"$39,000,000",13000000
Alfred Blue,8816,HB,HST,62.6,174,52.0,2018,239,Alfred Blue,2018,27,1,"$880,000",880000
LeSean McCoy,4976,HB,BUF,60.9,195,53.0,2018,494,LeSean McCoy,2018,29,5,"$40,000,000",8000000
Alfred Morris,7165,HB,SF,60.0,119,55.0,2018,240,Alfred Morris,2018,29,1,"$790,000",790000
Chris Thompson,7936,HB,WAS,58.8,84,57.0,2018,323,Chris Thompson,2018,27,2,"$7,006,800",3503400
Rod Smith,9996,HB,DAL,57.5,54,59.0,2018,369,Rod Smith,2018,25,2,"$1,320,000",660000
Carlos Hyde,8692,HB,JAX,50.4,182,63.0,2018,248,Carlos Hyde,2018,27,3,"$15,250,000",5083333
LeGarrette Blount,5863,HB,DET,45.5,164,64.0,2018,285,LeGarrette Blount,2018,31,1,"$2,000,000",2000000
C.J. Anderson,8101,HB,DEN,78.2,273,7.0,2017,391,C.J. Anderson,2017,26,4,"$18,000,000",4500000
Marshawn Lynch,3628,HB,LV,74.6,227,10.0,2017,360,Marshawn Lynch,2017,31,2,"$9,000,000",4500000
Chris Thompson,7936,HB,WAS,74.2,103,14.0,2017,323,Chris Thompson,2017,26,2,"$7,006,800",3503400
LeSean McCoy,4976,HB,BUF,73.7,371,15.0,2017,494,LeSean McCoy,2017,28,5,"$40,000,000",8000000
Le'Veon Bell,7829,HB,PIT,72.2,431,18.0,2017,356,Le'Veon Bell,2017,25,1,"$12,120,000",12120000
Theo Riddick,7980,HB,DET,71.0,137,21.0,2017,443,Theo Riddick,2017,26,3,"$11,550,000",3850000
Mark Ingram II,6180,HB,NO,70.5,309,23.0,2017,497,Mark Ingram II,2017,27,4,"$16,000,000",4000000
Frank Gore,2282,HB,IND,70.4,290,24.0,2017,479,Frank Gore,2017,33,3,"$12,000,000",4000000
James White,8765,HB,NE,69.1,122,28.0,2017,345,James White,2017,25,3,"$12,000,000",4000000
Lamar Miller,7097,HB,HST,68.9,274,29.0,2017,423,Lamar Miller,2017,25,4,"$26,000,000",6500000
Devonta Freeman,8738,HB,ATL,68.9,266,29.0,2017,334,Devonta Freeman,2017,25,5,"$41,250,000",8250000
Latavius Murray,7962,HB,MIN,67.7,260,33.0,2017,355,Latavius Murray,2017,27,3,"$15,000,000",5000000
Giovani Bernard,7818,HB,CIN,67.3,148,36.0,2017,411,Giovani Bernard,2017,25,3,"$15,500,000",5166667
Bilal Powell,6278,HB,NYJ,67.3,201,36.0,2017,388,Bilal Powell,2017,28,3,"$11,250,000",3750000
Matt Forte,4358,HB,NYJ,66.1,140,39.0,2017,429,Matt Forte,2017,31,3,"$12,000,000",4000000
Alfred Morris,7165,HB,DAL,64.5,122,40.0,2017,383,Alfred Morris,2017,28,2,"$3,500,000",1750000
Damien Williams,9205,HB,MIA,64.3,66,42.0,2017,326,Damien Williams,2017,24,1,"$1,797,000",1797000
Mike Davis,9559,HB,SEA,64.1,83,43.0,2017,363,Mike Davis,2017,24,1,"$615,000",615000
LeGarrette Blount,5863,HB,PHI,63.5,210,47.0,2017,357,LeGarrette Blount,2017,30,1,"$1,250,000",1250000
DeMarco Murray,6223,HB,TEN,63.3,223,48.0,2017,404,DeMarco Murray,2017,29,4,"$25,250,000",6312500
Isaiah Crowell,9295,HB,CLV,61.2,234,51.0,2017,341,Isaiah Crowell,2017,24,1,"$2,746,000",2746000
Orleans Darkwa,9173,HB,NYG,60.3,190,52.0,2017,366,Orleans Darkwa,2017,25,1,"$1,100,000",1100000
Charcandrick West,9047,HB,KC,60.1,47,54.0,2017,393,Charcandrick West,2017,25,2,"$3,600,000",1800000
Chris Ivory,6007,HB,JAX,58.5,134,57.0,2017,395,Chris Ivory,2017,28,5,"$32,000,000",6400000
Jonathan Stewart,4327,HB,CAR,56.4,217,60.0,2017,349,Jonathan Stewart,2017,30,1,"$8,000,000",8000000
Doug Martin,7035,HB,TB,53.3,147,63.0,2017,408,Doug Martin,2017,28,5,"$35,750,000",7150000
Adrian Peterson,3623,HB,ARZ,51.8,167,64.0,2017,306,Adrian Peterson,2017,32,2,"$7,000,000",3500000
Mike Gillislee,7946,HB,BUF,79.2,110,3.0,2016,430,Mike Gillislee,2016,25,1,"$600,000",600000
LeSean McCoy,4976,HB,BUF,78.6,284,4.0,2016,494,LeSean McCoy,2016,27,5,"$40,000,000",8000000
Bilal Powell,6278,HB,NYJ,77.8,189,6.0,2016,388,Bilal Powell,2016,27,3,"$11,250,000",3750000
Terrance West,8729,HB,BLT,73.9,227,14.0,2016,442,Terrance West,2016,25,1,"$600,000",600000
Jacquizz Rodgers,6297,HB,TB,72.8,142,16.0,2016,412,Jacquizz Rodgers,2016,26,1,"$840,000",840000
Spencer Ware,7975,HB,KC,72.3,257,19.0,2016,439,Spencer Ware,2016,24,2,"$3,600,000",1800000
Theo Riddick,7980,HB,DET,72.0,145,20.0,2016,443,Theo Riddick,2016,25,3,"$11,550,000",3850000
Mark Ingram II,6180,HB,NO,71.2,251,21.0,2016,497,Mark Ingram II,2016,26,4,"$16,000,000",4000000
DeMarco Murray,6223,HB,TEN,69.5,346,22.0,2016,404,DeMarco Murray,2016,28,4,"$25,250,000",6312500
Darren Sproles,2347,HB,PHI,67.8,146,24.0,2016,402,Darren Sproles,2016,33,1,"$4,500,000",4500000
DeAngelo Williams,2972,HB,PIT,67.8,139,24.0,2016,469,DeAngelo Williams,2016,32,2,"$4,000,000",2000000
Giovani Bernard,7818,HB,CIN,66.4,130,29.0,2016,411,Giovani Bernard,2016,24,3,"$15,500,000",5166667
Robert Turbin,7106,HB,IND,66.1,73,30.0,2016,436,Robert Turbin,2016,26,1,"$760,000",760000
Andre Ellington,7968,HB,ARZ,64.8,46,32.0,2016,577,Andre Ellington,2016,27,4,"$2,263,864",565966
Matt Forte,4358,HB,NYJ,63.8,248,35.0,2016,429,Matt Forte,2016,30,3,"$12,000,000",4000000
Chris Thompson,7936,HB,WAS,63.2,117,38.0,2016,397,Chris Thompson,2016,25,1,"$675,000",675000
Jonathan Stewart,4327,HB,CAR,63.0,226,40.0,2016,663,Jonathan Stewart,2016,29,5,"$36,500,000",7300000
Ryan Mathews,5537,HB,PHI,62.7,168,41.0,2016,509,Ryan Mathews,2016,28,3,"$11,000,000",3666667
C.J. Anderson,8101,HB,DEN,61.9,126,42.0,2016,391,C.J. Anderson,2016,25,4,"$18,000,000",4500000
Doug Martin,7035,HB,TB,61.7,158,43.0,2016,408,Doug Martin,2016,27,5,"$35,750,000",7150000
Shaun Draughn,6440,HB,SF,61.1,103,45.0,2016,438,Shaun Draughn,2016,28,1,"$860,000",860000
Lamar Miller,7097,HB,HST,61.0,353,46.0,2016,423,Lamar Miller,2016,24,4,"$26,000,000",6500000
