position,player_name,team_name,grades_offense,total_touches,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
HB,Cordarrelle Patterson,ATL,82.2,205,5.0,2021,Cordarrelle Patterson,2021,30,3000000,5583333.333333333,-2583333.333333333
HB,Aaron Jones,GB,82.0,244,6.0,2021,Aaron Jones,2021,26,12000000,7237500.0,4762500.0
HB,James Conner,ARZ,81.9,244,7.0,2021,James Conner,2021,25,1750000,8190000.0,-6440000.0
HB,Nick Chubb,CLV,81.7,248,8.0,2021,Nick Chubb,2021,25,12200000,8158333.333333333,4041666.666666667
HB,Joe Mixon,CIN,79.2,419,14.0,2021,Joe Mixon,2021,25,12000000,9741666.666666666,2258333.333333334
HB,Melvin Gordon III,DEN,77.8,231,16.0,2021,Melvin Gordon III,2021,27,8000000,8762500.0,-762500.0
HB,Derrick Henry,TEN,77.3,257,17.0,2021,Derrick Henry,2021,27,12500000,9012500.0,3487500.0
HB,Austin Ekeler,LAC,75.3,276,20.0,2021,Austin Ekeler,2021,25,6125000,7162500.0,-1037500.0
HB,Leonard Fournette,TB,75.1,271,21.0,2021,Leonard Fournette,2021,26,3250000,6079166.666666667,-2829166.666666667
HB,Tevin Coleman,NYJ,74.1,95,22.0,2021,Tevin Coleman,2021,27,1100000,5779166.666666667,-4679166.666666667
HB,Kenyan Drake,LV,73.1,93,23.0,2021,Kenyan Drake,2021,27,5500000,3849166.6666666665,1650833.3333333335
HB,Nyheim Hines,IND,72.7,96,24.0,2021,Nyheim Hines,2021,24,6200000,3328333.3333333335,2871666.6666666665
HB,D'Onta Foreman,TEN,72.1,146,25.0,2021,D'Onta Foreman,2021,25,920000,3059166.6666666665,-2139166.6666666665
HB,Jamaal Williams,DET,69.8,179,29.0,2021,Jamaal Williams,2021,25,3000000,5375833.333333333,-2375833.333333333
HB,J.D. McKissic,WAS,69.5,91,32.0,2021,J.D. McKissic,2021,27,1635000,4638333.333333333,-3003333.333333333
HB,Ezekiel Elliott,DAL,69.3,297,33.0,2021,Ezekiel Elliott,2021,26,15000000,4021666.6666666665,10978333.333333334
HB,Devonta Freeman,BLT,68.2,167,36.0,2021,Devonta Freeman,2021,29,1075000,4135000.0,-3060000.0
HB,Mark Ingram II,NO,67.6,187,37.0,2021,Mark Ingram II,2021,31,2500000,3800000.0,-1300000.0
HB,Darrel Williams,KC,66.8,192,39.0,2021,Darrel Williams,2021,25,1600000,5627500.0,-4027500.0
HB,Alex Collins,SEA,66.0,117,42.0,2021,Alex Collins,2021,26,990000,3306666.6666666665,-2316666.6666666665
HB,Dalvin Cook,MIN,65.8,284,43.0,2021,Dalvin Cook,2021,26,12600000,3377500.0,9222500.0
HB,Latavius Murray,BLT,65.5,129,45.0,2021,Latavius Murray,2021,30,1075000,3419166.6666666665,-2344166.6666666665
HB,Rex Burkhead,HST,65.4,147,46.0,2021,Rex Burkhead,2021,30,1500000,5652500.0,-4152500.0
HB,Devontae Booker,NYG,65.0,185,47.0,2021,Devontae Booker,2021,28,2750000,5829166.666666667,-3079166.666666667
HB,Alvin Kamara,NO,63.2,287,51.0,2021,Alvin Kamara,2021,26,15000000,4562500.0,10437500.0
HB,Jeff Wilson Jr.,SF,60.8,86,56.0,2021,Jeff Wilson Jr.,2021,25,2050000,4658333.333333333,-2608333.333333333
HB,David Johnson,HST,60.4,99,57.0,2021,David Johnson,2021,29,5000000,4866666.666666667,133333.33333333302
HB,Samaje Perine,CIN,60.1,89,58.0,2021,Samaje Perine,2021,25,1650000,4950000.0,-3300000.0
HB,Mike Davis,ATL,56.3,182,61.0,2021,Mike Davis,2021,28,2750000,2825000.0,-75000.0
HB,Phillip Lindsay,MIA,53.9,92,63.0,2021,Phillip Lindsay,2021,26,3250000,4566666.666666667,-1316666.666666667
HB,Carlos Hyde,JAX,53.8,84,64.0,2021,Carlos Hyde,2021,30,2250000,5833333.333333333,-3583333.333333333
HB,Derrick Henry,TEN,91.8,418,1.0,2020,Derrick Henry,2020,26,12500000,8616666.666666666,3883333.333333334
HB,Dalvin Cook,MIN,89.0,356,3.0,2020,Dalvin Cook,2020,25,12600000,10212500.0,2387500.0
HB,Gus Edwards,BLT,85.5,171,5.0,2020,Gus Edwards,2020,24,750000,8890000.0,-8140000.0
HB,Alvin Kamara,NO,82.0,316,7.0,2020,Alvin Kamara,2020,25,15000000,7891666.666666667,7108333.333333333
HB,Latavius Murray,NO,81.5,175,8.0,2020,Latavius Murray,2020,30,3600000,6308333.333333333,-2708333.333333333
HB,Raheem Mostert,SF,79.3,120,13.0,2020,Raheem Mostert,2020,27,2900000,5229166.666666667,-2329166.666666667
HB,Rex Burkhead,NE,78.2,92,15.0,2020,Rex Burkhead,2020,30,3000000,5604166.666666667,-2604166.666666667
HB,Austin Ekeler,LAC,77.0,170,18.0,2020,Austin Ekeler,2020,24,6125000,4104166.6666666665,2020833.3333333335
HB,Mike Davis,CAR,75.1,224,24.0,2020,Mike Davis,2020,27,3000000,3670833.3333333335,-670833.3333333335
HB,Kareem Hunt,CLV,74.4,252,27.0,2020,Kareem Hunt,2020,24,6000000,4520833.333333333,1479166.666666667
HB,Le'Veon Bell,KC,72.6,100,30.0,2020,Le'Veon Bell,2020,27,1000000,4854166.666666667,-3854166.666666667
HB,Melvin Gordon III,DEN,72.5,247,31.0,2020,Melvin Gordon III,2020,26,8000000,3958333.3333333335,4041666.6666666665
HB,Cordarrelle Patterson,CHI,69.6,86,37.0,2020,Cordarrelle Patterson,2020,28,5000000,3632916.6666666665,1367083.3333333335
HB,Jeff Wilson Jr.,SF,69.1,139,41.0,2020,Jeff Wilson Jr.,2020,24,750000,3091250.0,-2341250.0
HB,Devontae Booker,LV,68.7,110,42.0,2020,Devontae Booker,2020,27,1047500,3257916.6666666665,-2210416.6666666665
HB,Carlos Hyde,SEA,67.1,101,44.0,2020,Carlos Hyde,2020,29,2750000,3924583.3333333335,-1174583.3333333335
HB,Leonard Fournette,TB,65.5,215,46.0,2020,Leonard Fournette,2020,25,2000000,5591250.0,-3591250.0
HB,Joe Mixon,CIN,65.3,140,47.0,2020,Joe Mixon,2020,24,12000000,6274583.333333333,5725416.666666667
HB,Ezekiel Elliott,DAL,65.3,296,47.0,2020,Ezekiel Elliott,2020,25,15000000,8266666.666666667,6733333.333333333
HB,Giovani Bernard,CIN,63.4,171,49.0,2020,Giovani Bernard,2020,28,4850000,8675555.5,-3825555.5
HB,David Johnson,HST,62.9,180,52.0,2020,David Johnson,2020,28,13000000,8614722.166666666,4385277.833333334
HB,Duke Johnson Jr.,HST,62.6,105,53.0,2020,Duke Johnson Jr.,2020,26,5203333,8028555.5,-2825222.5
HB,J.D. McKissic,WAS,62.4,169,54.0,2020,J.D. McKissic,2020,26,1635000,5703555.5,-4068555.5
HB,Kenyan Drake,ARZ,60.9,264,55.0,2020,Kenyan Drake,2020,25,8483000,5070222.166666667,3412777.833333333
HB,Frank Gore,NYJ,60.8,203,56.0,2020,Frank Gore,2020,36,1050000,3016055.5,-1966055.5
HB,Adrian Peterson,DET,59.6,167,57.0,2020,Adrian Peterson,2020,35,1050000,2504333.3333333335,-1454333.3333333335
HB,Dare Ogunbowale,JAX,58.8,42,58.0,2020,Dare Ogunbowale,2020,25,675000,2456833.3333333335,-1781833.3333333335
HB,Brian Hill,ATL,57.9,125,61.0,2020,Brian Hill,2020,24,2133000,1959666.6666666667,173333.33333333326
HB,Devonta Freeman,NYG,55.0,61,63.0,2020,Devonta Freeman,2020,28,1350000,2268000.0,-918000.0
HB,Todd Gurley II,ATL,54.8,220,64.0,2020,Todd Gurley II,2020,25,5500000,2926333.3333333335,2573666.6666666665
HB,Raheem Mostert,SF,82.9,207,6.0,2019,Raheem Mostert,2019,26,2900000,7633333.333333333,-4733333.333333333
HB,Mark Ingram II,BLT,78.7,235,9.0,2019,Mark Ingram II,2019,29,5000000,6725000.0,-1725000.0
HB,Ezekiel Elliott,DAL,77.0,355,11.0,2019,Ezekiel Elliott,2019,24,15000000,6420666.6,8579333.4
HB,James White,NE,76.5,145,13.0,2019,James White,2019,27,4000000,5817222.166666667,-1817222.166666667
HB,Duke Johnson Jr.,HST,75.9,139,16.0,2019,Duke Johnson Jr.,2019,25,5203333,7521388.833333333,-2318055.833333333
HB,Carlos Hyde,HST,74.2,288,20.0,2019,Carlos Hyde,2019,28,2800000,7288055.5,-4488055.5
HB,Le'Veon Bell,NYJ,74.1,311,21.0,2019,Le'Veon Bell,2019,27,13125000,6954722.166666667,6170277.833333333
HB,Latavius Murray,NO,73.9,186,22.0,2019,Latavius Murray,2019,29,3600000,6996388.833333333,-3396388.833333333
