index,player_name,year_signed,age,contract_length,value,average/year
0,Alex Ellis,2021,27,1,"$850,000",850000
1,Andrew Vollert,2021,25,1,"$660,000",660000
2,Anthony Firkser,2021,26,1,"$3,000,000",3000000
3,Antony Auclair,2021,27,1,"$1,127,500",1127500
4,Artayvious Lynn,2021,25,3,"$2,430,000",810000
4,Artayvious Lynn,2022,26,3,"$2,430,000",810000
4,Artayvious Lynn,2023,27,3,"$2,430,000",810000
5,Blake Bell,2021,29,1,"$1,127,500",1127500
6,Cam Sutton,2021,24,1,"$660,000",660000
7,Carson Meier,2021,26,1,"$660,000",660000
8,Cethan Carter,2021,27,3,"$7,800,000",2600000
8,Cethan Carter,2022,28,3,"$7,800,000",2600000
8,Cethan Carter,2023,29,3,"$7,800,000",2600000
9,Charles Jones,2021,24,1,"$780,000",780000
10,Cheyenne O’Grady,2021,24,3,"$2,425,000",808333
10,Cheyenne O’Grady,2022,25,3,"$2,425,000",808333
10,Cheyenne O’Grady,2023,26,3,"$2,425,000",808333
11,Chris Manhertz,2021,28,2,"$6,650,000",3325000
11,Chris Manhertz,2022,29,2,"$6,650,000",3325000
12,Chris Myarick,2021,25,2,"$1,675,000",837500
12,Chris Myarick,2022,26,2,"$1,675,000",837500
13,Codey McElroy,2021,28,2,"$1,485,000",742500
13,Codey McElroy,2022,29,2,"$1,485,000",742500
14,Cole Hikutini,2021,26,2,"$1,675,000",837500
14,Cole Hikutini,2022,27,2,"$1,675,000",837500
15,Connor Davis,2021,26,2,"$1,485,000",742500
15,Connor Davis,2022,27,2,"$1,485,000",742500
16,Dallas Goedert,2021,26,4,"$57,000,000",14250000
16,Dallas Goedert,2022,27,4,"$57,000,000",14250000
16,Dallas Goedert,2023,28,4,"$57,000,000",14250000
16,Dallas Goedert,2024,29,4,"$57,000,000",14250000
17,Dan Arnold,2021,26,2,"$6,000,000",3000000
17,Dan Arnold,2022,27,2,"$6,000,000",3000000
18,Daniel Brown,2021,28,1,"$1,040,000",1040000
19,Darrell Daniels,2021,26,1,"$1,127,500",1127500
20,Darren Fells,2021,34,1,"$1,075,000",1075000
21,David Wells,2021,26,1,"$660,000",660000
22,Dax Raymond,2021,26,1,"$660,000",660000
23,Demetrius Harris,2021,30,1,"$1,075,000",1075000
24,Deon Yelder,2021,26,1,"$920,000",920000
25,Derek Carrier,2021,30,1,"$1,075,000",1075000
26,Eric Saubert,2021,27,1,"$990,000",990000
27,Eric Tomlinson,2021,28,1,"$990,000",990000
28,Ethan Wolf,2021,25,1,"$660,000",660000
29,Evan Baylis,2021,27,1,"$850,000",850000
30,Garrett Griffin,2021,26,1,"$850,000",850000
31,Geoff Swaim,2021,27,1,"$2,500,000",2500000
32,Gerald Everett,2021,26,1,"$6,000,000",6000000
33,Giovanni Ricci,2021,24,1,"$660,000",660000
34,Hunter Henry,2021,26,3,"$37,500,000",12500000
34,Hunter Henry,2022,27,3,"$37,500,000",12500000
34,Hunter Henry,2023,28,3,"$37,500,000",12500000
35,Ian Bunting,2021,25,1,"$660,000",660000
36,J.P. Holtz,2021,27,1,"$850,000",850000
37,Jace Sternberger,2021,24,1,"$850,000",850000
38,Jacob Hollister,2021,27,1,"$1,127,500",1127500
39,Jaeden Graham,2021,25,1,"$850,000",850000
40,Jake Bargas,2021,24,2,"$1,485,000",742500
40,Jake Bargas,2022,25,2,"$1,485,000",742500
41,Jake Butt,2021,25,1,"$850,000",850000
42,James O'Shaughnessy,2021,29,1,"$1,590,000",1590000
43,Jared Cook,2021,33,1,"$4,500,000",4500000
44,Jerell Adams,2021,28,1,"$660,000",660000
45,Jeremy Sprinkle,2021,26,1,"$1,127,500",1127500
46,Jesse James,2021,27,1,"$1,650,000",1650000
47,Jibri Blount,2021,24,3,"$2,425,000",808333
47,Jibri Blount,2022,25,3,"$2,425,000",808333
47,Jibri Blount,2023,26,3,"$2,425,000",808333
48,Joe Fortson,2021,25,1,"$660,000",660000
49,Johnny Mundt,2021,26,1,"$920,000",920000
50,Jonnu Smith,2021,25,4,"$50,000,000",12500000
50,Jonnu Smith,2022,26,4,"$50,000,000",12500000
50,Jonnu Smith,2023,27,4,"$50,000,000",12500000
50,Jonnu Smith,2024,28,4,"$50,000,000",12500000
51,Jordan Franks,2021,24,2,"$1,675,000",837500
51,Jordan Franks,2022,25,2,"$1,675,000",837500
52,Jordan Leggett,2021,25,1,"$920,000",920000
53,Jordan Thomas,2021,24,1,"$920,000",920000
54,Josh Hill,2021,30,1,"$1,212,500",1212500
55,Joshua Perkins,2021,27,1,"$920,000",920000
56,Kelvin Benjamin,2021,30,1,"$990,000",990000
57,Kendall Blanton,2021,25,2,"$1,675,000",837500
57,Kendall Blanton,2022,26,2,"$1,675,000",837500
58,Kevin Rader,2021,25,1,"$780,000",780000
59,Kyle Rudolph,2021,31,2,"$12,000,000",6000000
59,Kyle Rudolph,2022,32,2,"$12,000,000",6000000
60,Levine Toilolo,2021,29,1,"$1,600,000",1600000
61,Logan Thomas,2021,29,3,"$24,065,000",8021667
61,Logan Thomas,2022,30,3,"$24,065,000",8021667
61,Logan Thomas,2023,31,3,"$24,065,000",8021667
62,Luke Stocker,2021,33,1,"$1,075,000",1075000
63,Luke Willson,2021,31,1,"$1,075,000",1075000
64,Marcedes Lewis,2021,36,2,"$5,920,000",2960000
64,Marcedes Lewis,2022,37,2,"$5,920,000",2960000
65,Marcus Baugh,2021,26,1,"$780,000",780000
66,Mark Andrews,2021,24,4,"$56,000,000",14000000
66,Mark Andrews,2022,25,4,"$56,000,000",14000000
66,Mark Andrews,2023,26,4,"$56,000,000",14000000
66,Mark Andrews,2024,27,4,"$56,000,000",14000000
67,Mason Schreck,2021,27,1,"$920,000",920000
68,Matt Bushman,2021,25,3,"$2,435,000",811667
68,Matt Bushman,2022,26,3,"$2,435,000",811667
68,Matt Bushman,2023,27,3,"$2,435,000",811667
69,Matt LaCosse,2021,28,1,"$850,000",850000
70,Matt Seybert,2021,24,3,"$2,425,000",808333
70,Matt Seybert,2022,25,3,"$2,425,000",808333
70,Matt Seybert,2023,26,3,"$2,425,000",808333
71,Mo Alie-Cox,2021,27,1,"$3,384,000",3384000
72,MyCole Pruitt,2021,29,1,"$1,127,500",1127500
73,Nakia Griffin-Stewart,2021,24,2,"$1,485,000",742500
73,Nakia Griffin-Stewart,2022,25,2,"$1,485,000",742500
74,Nate Becker,2021,24,2,"$1,485,000",742500
74,Nate Becker,2022,25,2,"$1,485,000",742500
75,Nick Bowers,2021,24,1,"$660,000",660000
76,Nick Boyle,2021,27,2,"$13,000,000",6500000
76,Nick Boyle,2022,28,2,"$13,000,000",6500000
77,Nick Eubanks,2021,24,3,"$2,430,000",810000
77,Nick Eubanks,2022,25,3,"$2,430,000",810000
77,Nick Eubanks,2023,26,3,"$2,430,000",810000
78,Nick Guggemos,2021,25,3,"$2,425,000",808333
78,Nick Guggemos,2022,26,3,"$2,425,000",808333
78,Nick Guggemos,2023,27,3,"$2,425,000",808333
79,Nick Keizer,2021,25,1,"$780,000",780000
80,Nick Vannett,2021,28,3,"$8,000,000",2666667
80,Nick Vannett,2022,29,3,"$8,000,000",2666667
80,Nick Vannett,2023,30,3,"$8,000,000",2666667
81,Parker Hesse,2021,25,2,"$1,485,000",742500
81,Parker Hesse,2022,26,2,"$1,485,000",742500
82,Paul Quessenberry,2021,28,1,"$660,000",660000
83,Pharaoh Brown,2021,26,1,"$1,600,000",1600000
84,Rashod Berry,2021,24,1,"$660,000",660000
