position,player_name,team_name,grades_offense,pass_plays,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
TE,Mark Andrews,BLT,91.5,272,1.0,2021,Mark Andrews,2021,24,14000000,14416666.666666666,-416666.66666666605
TE,Dallas Goedert,PHI,90.7,417,2.0,2021,Dallas Goedert,2021,26,14250000,14390625.0,-140625.0
TE,George Kittle,SF,90.7,519,2.0,2021,George Kittle,2021,27,15000000,13112500.0,1887500.0
TE,Travis Kelce,KC,85.0,305,4.0,2021,Travis Kelce,2021,31,14312500,11420416.666666666,2892083.333333334
TE,Rob Gronkowski,TB,76.5,282,7.0,2021,Rob Gronkowski,2021,31,8000000,11170416.666666666,-3170416.666666666
TE,Marcedes Lewis,GB,75.1,342,8.0,2021,Marcedes Lewis,2021,36,2960000,8983333.333333334,-6023333.333333334
TE,Hunter Henry,NE,72.0,335,10.0,2021,Hunter Henry,2021,26,12500000,7666666.666666667,4833333.333333333
TE,MyCole Pruitt,TEN,71.5,339,11.0,2021,MyCole Pruitt,2021,29,1127500,5781250.0,-4653750.0
TE,Jack Doyle,IND,71.2,356,13.0,2021,Jack Doyle,2021,31,7100000,5689583.333333333,1410416.666666667
TE,Lee Smith,ATL,70.1,266,16.0,2021,Lee Smith,2021,32,3000000,5384166.666666667,-2384166.666666667
TE,Darren Waller,LV,69.7,216,17.0,2021,Darren Waller,2021,29,7450000,4509166.666666667,2940833.333333333
TE,Blake Bell,KC,69.1,269,19.0,2021,Blake Bell,2021,29,1127500,4509166.666666667,-3381666.666666667
TE,Tyler Higbee,LA,69.1,444,19.0,2021,Tyler Higbee,2021,28,7250000,3889833.3333333335,3360166.6666666665
TE,Jeremy Sprinkle,DAL,68.5,165,22.0,2021,Jeremy Sprinkle,2021,26,1127500,3554833.3333333335,-2427333.3333333335
TE,Mo Alie-Cox,IND,66.4,341,26.0,2021,Mo Alie-Cox,2021,27,3384000,4063166.6666666665,-679166.6666666665
TE,Eric Tomlinson,BLT,66.1,251,27.0,2021,Eric Tomlinson,2021,28,990000,4891916.666666667,-3901916.666666667
TE,Austin Hooper,CLV,64.2,397,30.0,2021,Austin Hooper,2021,26,10500000,4683583.333333333,5816416.666666667
TE,C.J. Uzomah,CIN,63.6,371,32.0,2021,C.J. Uzomah,2021,28,6100000,5495666.666666667,604333.333333333
TE,Kyle Rudolph,NYG,63.5,269,34.0,2021,Kyle Rudolph,2021,31,6000000,5085000.0,915000.0
TE,Gerald Everett,SEA,63.5,269,34.0,2021,Gerald Everett,2021,26,6000000,5474166.666666667,525833.333333333
TE,Stephen Anderson,LAC,62.9,220,37.0,2021,Stephen Anderson,2021,28,920000,3889166.6666666665,-2969166.6666666665
TE,Chris Manhertz,JAX,62.6,280,39.0,2021,Chris Manhertz,2021,28,3325000,3147500.0,177500.0
