index,player_name,year_signed,age,contract_length,value,average/year
0,A.J. Green,2021,32,1,"$6,000,000",6000000
1,A.J. Richardson,2021,25,1,"$660,000",660000
2,Adam Humphries,2021,27,1,"$1,190,000",1190000
3,Alex Bachman,2021,24,1,"$666,500",666500
4,Alex Erickson,2021,28,1,"$1,200,000",1200000
5,Allen Robinson II,2021,27,1,"$17,880,000",17880000
6,Amara Darboh,2021,27,1,"$850,000",850000
7,Andre Patton,2021,27,1,"$780,000",780000
8,Andre Roberts,2021,33,2,"$5,500,000",2750000
8,Andre Roberts,2022,34,2,"$5,500,000",2750000
9,Andy Jones,2021,27,1,"$920,000",920000
10,Anthony Johnson,2021,25,1,"$660,000",660000
11,Anthony Miller,2021,26,1,"$920,000",920000
12,Antonio Brown,2021,32,1,"$3,100,000",3100000
13,Austin Proehl,2021,25,1,"$660,000",660000
14,Bennie Fowler,2021,29,1,"$990,000",990000
15,Brandon Powell,2021,24,1,"$920,000",920000
16,Brandon Zylstra,2021,27,1,"$920,000",920000
17,Breshad Perriman,2021,27,1,"$2,500,000",2500000
18,Bug Howard,2021,26,1,"$660,000",660000
19,Byron Pringle,2021,27,1,"$2,133,000",2133000
20,C.J. Board,2021,27,1,"$1,020,000",1020000
21,C.J. Saunders,2021,24,3,"$2,425,000",808333
21,C.J. Saunders,2022,25,3,"$2,425,000",808333
21,C.J. Saunders,2023,26,3,"$2,425,000",808333
22,Caleb Scott,2021,25,1,"$660,000",660000
23,Cam Sims,2021,25,1,"$2,133,000",2133000
24,Cedrick Wilson,2021,25,1,"$2,183,000",2183000
25,Chad Beebe,2021,26,1,"$920,000",920000
26,Chad Hansen,2021,26,1,"$850,000",850000
27,Chad Williams,2021,26,1,"$920,000",920000
28,Chester Rogers,2021,26,1,"$990,000",990000
29,Chris Conley,2021,28,1,"$1,500,000",1500000
30,Chris Finke,2021,24,1,"$660,000",660000
31,Chris Godwin,2021,25,1,"$15,983,000",15983000
32,Chris Hogan,2021,33,1,"$1,075,000",1075000
33,Chris Lacy,2021,24,1,"$780,000",780000
34,Chris Moore,2021,27,1,"$1,500,000",1500000
35,Christian Blake,2021,24,1,"$850,000",850000
36,Cody Hollister,2021,27,1,"$780,000",780000
37,Cody Thompson,2021,24,1,"$660,000",660000
38,Corey Davis,2021,26,3,"$37,500,000",12500000
38,Corey Davis,2022,27,3,"$37,500,000",12500000
38,Corey Davis,2023,28,3,"$37,500,000",12500000
39,Courtland Sutton,2021,26,4,"$60,800,000",15200000
39,Courtland Sutton,2022,27,4,"$60,800,000",15200000
39,Courtland Sutton,2023,28,4,"$60,800,000",15200000
39,Courtland Sutton,2024,29,4,"$60,800,000",15200000
40,Curtis Samuel,2021,24,3,"$34,500,000",11500000
40,Curtis Samuel,2022,25,3,"$34,500,000",11500000
40,Curtis Samuel,2023,26,3,"$34,500,000",11500000
41,Cyril Grayson,2021,27,1,"$780,000",780000
42,D'Wayne Eskridge,2021,24,4,"$5,953,504",1488376
42,D'Wayne Eskridge,2022,25,4,"$5,953,504",1488376
42,D'Wayne Eskridge,2023,26,4,"$5,953,504",1488376
42,D'Wayne Eskridge,2024,27,4,"$5,953,504",1488376
43,D.J. Turner,2021,24,3,"$2,425,000",808333
43,D.J. Turner,2022,25,3,"$2,425,000",808333
43,D.J. Turner,2023,26,3,"$2,425,000",808333
44,DJ Montgomery,2021,24,2,"$1,765,000",882500
44,DJ Montgomery,2022,25,2,"$1,765,000",882500
45,Dalton Schoen,2021,24,1,"$660,000",660000
46,Damiere Byrd,2021,28,1,"$1,127,500",1127500
47,Damion Ratley,2021,25,1,"$920,000",920000
48,Damon Hazelton,2021,24,3,"$2,437,500",812500
48,Damon Hazelton,2022,25,3,"$2,437,500",812500
48,Damon Hazelton,2023,26,3,"$2,437,500",812500
49,Danny Amendola,2021,35,1,"$1,800,000",1800000
50,Dante Pettis,2021,25,1,"$920,000",920000
51,Darius Jennings,2021,29,1,"$990,000",990000
52,Darrius Shepherd,2021,25,1,"$780,000",780000
53,Darvin Kidsy,2021,25,1,"$780,000",780000
54,Daurice Fountain,2021,25,1,"$850,000",850000
55,David Moore,2021,26,2,"$4,750,000",2375000
55,David Moore,2022,27,2,"$4,750,000",2375000
56,David Sills,2021,25,1,"$780,000",780000
57,Davion Davis,2021,24,1,"$780,000",780000
58,De'Mornay Pierson-El,2021,25,2,"$1,485,000",742500
58,De'Mornay Pierson-El,2022,26,2,"$1,485,000",742500
59,De'Quan Hampton,2021,26,1,"$660,000",660000
60,DeSean Jackson,2021,34,1,"$4,500,000",4500000
61,DeAndre Carter,2021,27,1,"$970,000",970000
62,Deandre Thompkins,2021,25,1,"$660,000",660000
63,Dede Westbrook,2021,27,1,"$1,127,500",1127500
64,Demarcus Robinson,2021,26,1,"$1,127,500",1127500
65,Deon Cain,2021,24,1,"$780,000",780000
66,Derrick Dillon,2021,25,2,"$1,491,000",745500
66,Derrick Dillon,2022,26,2,"$1,491,000",745500
67,Derrick Willies,2021,26,2,"$1,675,000",837500
67,Derrick Willies,2022,27,2,"$1,675,000",837500
68,Devin Gray,2021,25,1,"$780,000",780000
69,Devin Ross,2021,25,1,"$660,000",660000
70,Devin Smith,2021,29,1,"$990,000",990000
71,Donte Moncrief,2021,27,1,"$1,150,000",1150000
72,Donte Sylencieux,2021,26,3,"$2,425,000",808333
72,Donte Sylencieux,2022,27,3,"$2,425,000",808333
72,Donte Sylencieux,2023,28,3,"$2,425,000",808333
73,Duke Williams,2021,27,1,"$780,000",780000
74,Dylan Cantrell,2021,26,1,"$780,000",780000
75,Easop Winston,2021,24,1,"$660,000",660000
76,Emmanuel Sanders,2021,33,1,"$6,000,000",6000000
77,Equanimeous St. Brown,2021,24,1,"$850,000",850000
78,Fred Brown,2021,27,1,"$780,000",780000
