team_name,Year,avg_diff_dl
ARZ,2012,831171.222222222
ARZ,2013,1421942.8541666665
ARZ,2014,-635351.398148148
ARZ,2015,-392644.9722222222
ARZ,2016,-3310811.979166667
ARZ,2017,-280413.45833333326
ARZ,2018,880370.3888888886
ARZ,2019,-2815236.1
ARZ,2020,-5771597.25
ARZ,2021,-1418773.138888889
ATL,2012,-1926585.1611111113
ATL,2013,-1252345.4166666665
ATL,2014,174754.1875
ATL,2015,-829275.3125
ATL,2016,-360462.9444444445
ATL,2017,-2339230.2222222225
ATL,2018,-1522128.5416666665
ATL,2019,-1648950.6296296297
ATL,2020,1328369.45
ATL,2021,2882916.666666666
BLT,2012,1179126.9583333335
BLT,2013,1106932.083333333
BLT,2014,-545788.8560606061
BLT,2015,-4427211.666666667
BLT,2016,-2537270.0
BLT,2017,-1183287.875
BLT,2018,-1599722.2083333335
BLT,2019,278020.833333333
BLT,2020,1612411.3
BLT,2021,286163.94444444467
BUF,2012,2745392.22979798
BUF,2013,1334482.3749999993
BUF,2014,2859350.083333334
BUF,2015,3182954.633333334
BUF,2016,479707.30000000016
BUF,2017,1471933.5
BUF,2018,377625.0
BUF,2019,1218007.9375
BUF,2020,1167254.4166666667
BUF,2021,4536250.0
CAR,2012,2132136.6666666665
CAR,2013,45291.94444444465
CAR,2014,-621705.0833333331
CAR,2015,897647.5666666668
CAR,2016,-6415898.027777777
CAR,2017,-566030.5416666665
CAR,2018,-868156.8666666666
CAR,2019,-1460266.8541666665
CAR,2020,-5071083.333333334
CAR,2021,-2754444.4444444445
CHI,2012,1656829.666666667
CHI,2013,2538860.5833333335
CHI,2014,-2132431.4444444445
CHI,2015,-2422932.9791666665
CHI,2016,-2262714.8333333335
CHI,2017,-584517.0833333335
CHI,2018,1882672.4166666667
CHI,2019,-43425.91666666698
CHI,2020,-1768190.032738095
CHI,2021,-166961.05555555597
CIN,2013,3070811.840909091
CIN,2014,454929.875
CIN,2015,-545008.2833333333
CIN,2016,-43612.7833333334
CIN,2017,-1872409.638888889
CIN,2018,2115131.0555555555
CIN,2019,-1730143.0984848489
CIN,2020,-5074097.222222223
CIN,2021,2382869.479166667
CLV,2012,-789418.8611111111
CLV,2013,605151.7916666665
CLV,2014,2845367.3611111115
CLV,2015,2923611.083333333
