team_name,Year,avg_diff_lb
ARZ,2012,-191866.8630952382
ARZ,2013,230773.79166666666
ARZ,2014,-3068968.625
ARZ,2015,-657500.0
ARZ,2016,-4205833.375
ARZ,2017,-3210604.1875
ARZ,2018,-4477083.625
ARZ,2019,-389687.5
ARZ,2020,735937.5
ARZ,2021,1875762.75
ATL,2012,33482.125
ATL,2015,-264333.3125
ATL,2016,-979166.75
ATL,2019,5910169.25
ATL,2020,8430208.375
ATL,2021,6710625.0
BLT,2012,759442.5
BLT,2013,1005989.5625
BLT,2014,-726770.8125
BLT,2015,-1043250.0
BLT,2018,-4824193.5
BLT,2019,-5156888.125
BLT,2020,-5186458.625
BLT,2021,-6417640.625
BUF,2012,99958.0
BUF,2014,-842142.8571428573
BUF,2015,-1608125.0
BUF,2016,-2587968.75
BUF,2017,-2433645.875
BUF,2018,-5901473.285714285
BUF,2020,1516312.5
BUF,2021,2546875.0
CAR,2012,1362723.1875
CAR,2013,-101383.92857142864
CAR,2014,601000.0
CAR,2015,5059148.625
CAR,2016,3788398.625
CAR,2017,3040521.0125
CAR,2018,398604.3875000002
CAR,2019,4729395.303571429
CAR,2020,2576609.375
CAR,2021,-2038578.125
CHI,2012,1410208.2083333333
CHI,2013,-1252678.75
CHI,2014,-1202791.625
CHI,2016,-993322.9874999998
CHI,2017,-1169594.3125
CHI,2018,1766458.375
CHI,2019,2131250.0
CHI,2020,3344375.0
CHI,2021,-4851406.25
CIN,2012,-1509375.0
CIN,2013,-1383072.875
CIN,2014,-1427665.625
CIN,2015,-851041.6875
CIN,2016,-2540104.1875
CIN,2017,2371489.1875
CIN,2020,-4619834.8125
CIN,2021,-6200964.25
CLV,2012,3960000.0
CLV,2013,4110833.375
CLV,2014,350208.3125
CLV,2015,-241395.8125
CLV,2016,192291.625
CLV,2017,4570000.0
CLV,2018,5186041.6875
CLV,2020,-4285500.0
CLV,2021,-5200093.75
DAL,2012,-1263943.4875
DAL,2013,-3539894.8125
DAL,2014,-2115833.3333333335
DAL,2015,-635778.3303571427
DAL,2016,1941875.0
DAL,2017,-1834138.375
DAL,2019,1060963.5625
DAL,2020,1874591.1875
DEN,2012,-1498844.2916666667
DEN,2013,307083.375
DEN,2014,-3130333.3125
DEN,2015,-4696458.375
DEN,2016,3973125.0
DEN,2017,-176930.54166666666
DEN,2018,454291.125
DEN,2019,-1566968.75
DEN,2020,-5819791.625
DET,2012,-140486.08333333334
DET,2013,-720024.8333333334
DET,2014,-925687.5
DET,2015,-411833.3125
