team_name,Year,avg_diff_ol
ARZ,2012,886078.1954545456
ARZ,2013,804868.9166666667
ARZ,2014,-210745.8000000001
ARZ,2015,719904.5999999999
ARZ,2016,-59801.03333333335
ARZ,2017,-418419.3333333334
ARZ,2018,-918139.6166666666
ARZ,2019,2037742.5
ARZ,2020,459996.5166666667
ARZ,2021,3661685.516666667
ATL,2012,289246.5333333333
ATL,2013,-853766.0833333334
ATL,2014,-199499.85
ATL,2015,11594.600000000046
ATL,2016,987365.9309523813
ATL,2017,-382104.41428571445
ATL,2018,770405.3000000004
ATL,2019,1157985.8333333335
ATL,2020,1113969.9166666667
ATL,2021,-1542844.0500000003
BLT,2012,-337407.6333333333
BLT,2013,207042.18333333335
BLT,2014,105780.54166666674
BLT,2015,-991313.3541666666
BLT,2016,364994.95265151514
BLT,2017,-1020792.8666666666
BLT,2018,-2080734.4000000004
BLT,2019,-3616669.7
BLT,2020,-3431057.666666667
BLT,2021,-1110537.9833333332
BUF,2012,-1800215.9
BUF,2013,-632304.6833333332
BUF,2014,331368.6666666667
BUF,2015,-700179.1666666666
BUF,2016,1460834.4000000004
BUF,2017,-1497265.3833333335
BUF,2018,-2068420.45
BUF,2019,-565753.6833333335
BUF,2020,1021835.1166666666
BUF,2021,2254184.95
CAR,2012,129788.5266666667
CAR,2013,648774.8833333332
CAR,2014,100667.10000000005
CAR,2015,-952478.2333333332
CAR,2016,-642225.5666666665
CAR,2017,-575356.8999999998
CAR,2018,-1037147.6041666666
CAR,2019,1036713.9166666664
CAR,2020,-463377.4666666668
CAR,2021,1776435.05
CHI,2012,-621901.2333333334
CHI,2013,-223482.90000000005
CHI,2014,-247122.98333333322
CHI,2015,-1967761.25
CHI,2016,-1200761.7166666668
CHI,2017,1018226.9
CHI,2018,294727.7166666668
CHI,2019,1143736.2166666663
CHI,2020,-1285622.05
CHI,2021,-1998966.5666666664
CIN,2012,1518133.7416666667
CIN,2013,-814884.2666666665
CIN,2014,-1558566.9071969697
CIN,2015,914608.0
CIN,2016,-757112.4444444446
CIN,2017,-490562.4666666666
CIN,2018,1204608.7083333337
CIN,2019,148418.3166666668
CIN,2020,411201.4499999999
CIN,2021,-692859.4666666666
CLV,2012,-328859.49999999994
CLV,2013,175036.91666666642
CLV,2014,132.74047619048505
CLV,2015,795578.9928571428
CLV,2016,-413984.0666666666
CLV,2017,1203441.2666666664
CLV,2018,-337895.1666666666
CLV,2019,1772686.4166666665
CLV,2020,-1300875.4333333333
CLV,2021,1169608.8214285714
DAL,2012,1346051.6
DAL,2013,-1326227.15
DAL,2014,-1523253.5611111112
DAL,2015,-1265291.5
DAL,2016,114636.6166666667
DAL,2017,348555.07666666654
DAL,2018,2023634.7499999995
DAL,2019,2082481.05
DAL,2020,-779927.9916666668
DAL,2021,-1598544.9816666667
DEN,2012,-1701828.2
DEN,2013,-1345673.4
DEN,2014,750293.15
DEN,2015,-776029.0222222224
DEN,2016,-105033.0416666666
DEN,2017,-1484231.05
DEN,2018,-1824949.433333333
DEN,2019,-2116426.5833333335
DEN,2020,1220609.505555556
DEN,2021,-97739.66666666698
DET,2012,5059.55
DET,2013,-1262147.1333333333
DET,2014,-695028.2291666667
