team_name,avg_diff_wr,win_percentage
ATL,499928.24497354485,0.478
BLT,-1234070.9000000001,0.578
BUF,-1955247.4844444443,0.528
CHI,311327.79961904767,0.441
CIN,584200.2431216934,0.484
CLV,-427831.67777777766,0.323
DAL,829353.761111111,0.559
DEN,-338507.7945652174,0.559
DET,-613305.8658201059,0.398
GB,707427.5876984127,0.64
HST,1006458.5084033615,0.46
IND,88080.11447368425,0.559
LA,-638182.0388888889,0.534
LAC,-958432.477415459,0.472
LV,-1259289.3900000001,0.404
MIA,716134.6058823528,0.472
MIN,-519098.15357142844,0.54
NE,-1538039.342857143,0.714
NO,394754.13020833326,0.602
NYG,1013.5942857143469,0.379
NYJ,-85049.9434782609,0.341
PHI,-156242.6687499999,0.509
PIT,-681562.8069841269,0.614
SEA,-1468896.1311111113,0.652
SF,-781273.9750000001,0.478
TB,-212951.04986772465,0.429
TEN,-3347.714285714319,0.478
WAS,565155.2411764705,0.404
