team_name,Year,avg_diff_wr
ARZ,2012,5194139.333333333
ARZ,2013,9563126.9
ARZ,2014,2587589.6
ARZ,2015,-2716409.65
ARZ,2016,-1535604.7333333334
ARZ,2017,-623523.75
ARZ,2019,78258.3500000001
ARZ,2020,8964800.0
ARZ,2021,3565600.0
ATL,2012,-645641.077777778
ATL,2013,1196333.35
ATL,2014,75903.16666666667
ATL,2015,493931.6111111113
ATL,2016,997108.5999999996
ATL,2017,-457299.83333333366
ATL,2018,-839715.5777777779
ATL,2019,4310000.0
ATL,2020,5700833.300000001
ATL,2021,-426400.0
BLT,2012,32347.299999999814
BLT,2013,-586333.2999999998
BLT,2014,-3248818.5
BLT,2015,-6174583.6
BLT,2016,-953698.6
BLT,2017,-1317916.7000000002
BLT,2018,433133.2999999998
BLT,2019,324241.6499999999
BLT,2021,-4236300.0
BUF,2012,946216.6000000001
BUF,2014,1609627.25
BUF,2015,-2431475.0
BUF,2017,-2193600.0
BUF,2019,-4179500.0
BUF,2020,-2826500.0111111104
BUF,2021,-1806544.4444444447
CAR,2012,1677550.0
CAR,2013,-4241606.066666666
CAR,2014,-1228845.5
CAR,2015,-4022450.0
CAR,2016,-1756666.7000000002
CAR,2017,-3352977.25
CAR,2018,-3067366.7
CAR,2019,-2540727.15
CAR,2020,-3499688.15
CAR,2021,2137585.8
CHI,2012,809868.4111111113
CHI,2013,-219824.05000000028
CHI,2014,956083.75
CHI,2015,-1194425.0
CHI,2016,2288620.2666666666
CHI,2017,-2925308.325
CHI,2018,1581683.3333333337
CHI,2019,2417375.0
CHI,2020,-4317857.142857142
CHI,2021,1947783.3333333333
CIN,2012,-3458819.0
CIN,2013,-3579000.0
CIN,2014,-1872606.65
CIN,2015,3878521.1428571437
CIN,2016,1577621.316666667
CIN,2017,2633363.75
CIN,2018,1810258.35
CIN,2019,-868116.6499999999
CIN,2020,1958498.4333333333
CIN,2021,619183.3500000001
CLV,2013,-3813934.2
CLV,2014,-4889394.822222222
CLV,2015,-838800.0
CLV,2016,-936206.5999999996
CLV,2018,-128858.34999999963
CLV,2019,4158944.4333333336
CLV,2020,-3352564.3333333335
CLV,2021,3599900.0
DAL,2012,589565.25
DAL,2013,3740130.6
DAL,2015,4314875.0
DAL,2016,-1517410.4500000002
DAL,2017,942619.375
DAL,2018,-2376058.35
DAL,2019,-2155875.0
DAL,2020,8117500.0
DAL,2021,795033.3499999996
DEN,2012,-2558528.5999999996
DEN,2013,-948916.6499999999
DEN,2014,-900155.4249999999
DEN,2015,51679.266666666605
DEN,2016,700593.0333333332
DEN,2017,3420009.1666666665
DEN,2018,-2619499.9999999995
DEN,2019,-3432241.65
DEN,2020,-6695750.0
DEN,2021,4106033.1999999993
DET,2012,3073737.004761905
DET,2013,527603.4749999999
DET,2014,1891807.2000000002
DET,2015,1339384.5370370373
DET,2016,-165929.57499999995
DET,2017,-3542023.6333333333
DET,2018,-2690423.6333333333
DET,2019,-2543750.0
DET,2020,-2281966.6666666665
DET,2021,-4064958.0
GB,2012,-504553.5333333332
GB,2013,-2259212.4444444445
GB,2014,2017979.5714285718
GB,2015,354900.0
GB,2016,2288300.0
GB,2017,5055600.0
GB,2018,3496864.55
GB,2019,-1228619.0642857146
GB,2020,-3665200.0
GB,2021,503366.69999999925
HST,2012,550421.8500000001
HST,2013,504667.71428571455
HST,2014,2170995.8
HST,2015,-1894575.0
HST,2017,928030.9642857146
HST,2018,4758904.1
HST,2019,191750.0
HST,2020,4176591.6500000004
HST,2021,-996038.6666666666
IND,2012,-2199755.2
IND,2013,-2147026.5999999996
IND,2014,1701891.55
IND,2015,4137133.2
IND,2016,1994411.375
IND,2017,1568264.5499999998
IND,2018,1579447.9
IND,2019,-1046972.2333333334
IND,2020,-3664400.0
IND,2021,-1397741.6500000004
JAX,2012,954799.7
JAX,2015,-5437550.0
JAX,2016,1055646.7000000002
JAX,2017,-1212833.5
JAX,2018,838816.5
JAX,2019,-1995625.15
JAX,2020,-2172664.2
JAX,2021,-4742916.433333334
KC,2012,1925844.1277777778
KC,2013,2889371.45
KC,2014,2160550.0
KC,2015,367608.2000000002
KC,2016,5646588.9
KC,2017,-4543583.3
KC,2018,9480350.0
KC,2019,5325000.0
KC,2020,1219811.1000000003
KC,2021,-2690269.047619048
LA,2012,-6182772.0
LA,2014,-4643571.4
LA,2015,869350.0
LA,2016,57969.93333333358
LA,2017,-2426150.0
LA,2018,-196408.34999999963
LA,2019,2358933.3499999996
LA,2020,2491112.966666667
LA,2021,-2769108.0
LAC,2012,951844.2333333333
LAC,2013,-826448.3999999999
LAC,2014,-3245982.733333333
LAC,2015,-2593450.0
LAC,2016,-2795236.7
LAC,2017,372569.0583333333
LAC,2018,-235441.0851851854
LAC,2019,-3443630.6
LAC,2020,4450833.300000001
LAC,2021,2939200.0
LV,2012,-3456115.0
LV,2013,-3503166.8
LV,2014,-1338011.7666666668
LV,2015,634763.75
LV,2016,-1243098.5
LV,2017,964264.5499999998
LV,2018,-1231977.8
LV,2019,7111266.7
LV,2020,-4766650.0
LV,2021,-5370633.3
MIA,2012,-3181017.8
MIA,2013,1342402.1333333335
MIA,2014,3152800.0
MIA,2017,5140877.5
MIA,2018,2709083.3
MIA,2019,137027.7666666666
MIA,2020,-2969839.2
MIA,2021,-1580374.6500000004
MIN,2012,-486566.5666666667
MIN,2013,1955166.7000000002
MIN,2014,571068.5
MIN,2015,3776725.0
MIN,2016,-5326375.8
MIN,2017,-4151450.0
MIN,2018,-3378685.108333333
MIN,2019,3198750.0
MIN,2020,-1865625.0
MIN,2021,1256275.0
NE,2012,-285108.0999999998
NE,2013,-2305395.3333333335
NE,2014,-1422029.525
NE,2015,-1818737.4000000001
NE,2016,-870175.0
NE,2017,-349670.5666666664
NE,2018,-5758456.966666666
NE,2019,968950.0
NE,2020,43360.799999999814
NE,2021,-3539050.0
NO,2012,-205887.31666666642
NO,2013,-1298966.3333333333
NO,2014,4466182.0
NO,2015,3196850.0
NO,2017,-2131561.1
NO,2018,-507799.7000000002
NO,2019,703416.816666666
