rank,team_name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,Tota,Win_Percentage
1,NE,10,7,12,11,13,14,12,12,12,12,115,0.714
2,KC,12,14,12,12,10,12,11,9,11,2,105,0.652
2,SEA,7,12,11,10,9,10,10,12,13,11,105,0.652
4,GB,13,13,13,6,7,10,10,12,8,11,103,0.640
5,PIT,9,12,8,9,13,11,10,11,8,8,99,0.614
6,NO,9,12,13,13,11,7,7,7,11,7,97,0.602
7,BLT,8,11,14,10,9,8,5,10,8,10,93,0.578
8,DAL,12,6,8,10,9,13,4,12,8,8,90,0.559
8,IND,9,11,7,10,4,8,8,11,11,11,90,0.559
10,DEN,7,5,7,6,5,9,12,12,13,13,89,0.559
11,MIN,8,7,10,8,13,8,11,7,5,10,87,0.54
12,LA,12,10,9,13,11,4,7,6,7,7,86,0.534
13,BUF,11,13,10,6,9,7,8,9,6,6,85,0.528
14,PHI,9,4,9,9,13,7,7,10,10,4,82,0.509
15,ARZ,11,8,5,3,8,7,13,11,10,5,81,0.503
16,CAR,5,5,5,7,11,6,15,7,12,7,80,0.497
17,CIN,10,4,2,6,7,6,12,10,11,10,78,0.484
18,ATL,7,4,7,7,10,11,8,6,4,13,77,0.478
18,SF,10,6,13,4,6,2,5,8,12,11,77,0.478
18,TEN,12,11,9,9,9,9,3,2,7,6,77,0.478
21,LAC,9,7,5,12,9,5,4,9,9,7,76,0.472
21,MIA,9,10,5,7,6,10,6,8,8,7,76,0.472
23,HST,4,4,10,11,4,9,9,9,2,12,74,0.460
24,CHI,6,8,8,12,5,3,6,5,8,10,71,0.441
25,TB,13,11,7,5,5,9,6,2,4,7,69,0.429
26,LV,10,8,7,4,6,12,7,3,4,4,65,0.404
26,WAS,7,7,3,7,7,8,9,4,3,10,65,0.404
28,DET,3,5,3,6,9,9,7,11,7,4,64,0.398
29,NYG,4,6,4,5,3,11,6,6,7,9,61,0.379
30,NYJ,4,2,7,4,5,5,10,4,8,6,55,0.341
31,CLV,8,11,6,7,0,1,3,7,4,5,52,0.323
32,JAX,3,1,6,5,10,3,5,3,4,2,42,0.261
