player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ray Lewis,167,LB,BLT,10,6,7.1,75.6,83.1,10.3,7.8,0,0,1,2.2,3,34.6,48.7,59.0,53.2,71.5,86.5,0,32,3.2,1,1,2,106.3,34,368,443,9,24,45,0,446,222,1.3,13.1
Ronde Barber,261,S,TB,16,3,6.5,70.7,89.3,14.6,10.3,0,0,4,6.9,30,81.9,79.4,39.9,60.0,76.0,65.7,4,80,9.8,6,4,5,68.8,41,628,703,25,52,58,1,428,274,0.7,10.4
Charles Woodson,330,CB,GB,9,4,10.3,61.8,88.3,14.5,9.0,1,0,4,11.8,12,55.4,60.4,87.5,46.9,78.4,83.1,1,45,11.1,3,4,4,86.9,21,324,367,6,20,34,1,292,132,1.0,13.9
Keith Brooking,336,LB,DEN,17,3,4.2,70.0,84.7,13.4,9.4,0,0,0,0.0,10,66.4,60.9,82.3,58.1,55.0,90.3,0,27,0.0,0,0,0,85.4,14,200,236,4,8,20,0,120,72,0.6,8.6
Takeo Spikes,337,LB,SD,16,3,4.1,77.8,86.3,15.3,11.9,1,0,1,3.7,27,61.6,66.7,27.0,65.7,70.6,87.6,0,45,9.5,2,1,2,130.6,21,334,387,4,16,27,2,254,175,0.8,12.1
London Fletcher,424,LB,WAS,17,7,6.9,70.1,86.3,8.5,6.0,1,0,2,2.1,32,58.5,53.5,31.0,57.8,51.0,45.2,5,56,15.1,11,2,5,87.7,68,609,706,18,55,97,5,732,355,1.3,10.8
Champ Bailey,442,CB,DEN,17,1,14.0,55.6,99.9,13.8,7.7,0,0,4,4.9,10,68.3,71.9,89.7,54.3,81.7,85.6,2,59,0.0,0,4,7,81.7,45,666,667,14,49,81,3,607,129,1.0,13.5
Antoine Winfield,456,CB,MIN,17,4,6.7,69.1,97.1,9.6,6.6,0,0,6,6.2,18,74.1,82.3,89.0,62.4,92.3,79.4,3,41,6.5,4,6,2,75.1,67,678,698,18,54,97,0,660,277,1.0,9.9
Mike Peterson,463,LB,ATL,7,0,7.3,100.0,82.9,8.0,8.0,0,0,0,0.0,2,42.5,58.2,78.7,61.6,68.0,29.7,0,25,50.0,2,0,0,154.2,4,34,41,0,2,4,2,46,23,1.4,11.5
Brendon Ayanbadejo,542,LB,BLT,8,1,1.5,72.7,76.2,11.4,8.3,0,0,1,9.1,3,83.5,77.8,77.3,65.9,59.3,79.3,0,13,15.4,2,1,0,77.1,8,96,126,5,10,11,0,38,31,0.4,4.8
