player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Charles Woodson,330,S,OAK,16,0,0,23,76.2,0,0,13,2.4,7.7,1,0,7.7,1,625,15,1,0,83.7,0,0,9,4.2,11.1,1,11.1,1,264,11,1
John Abraham,591,ED,ARZ,1,0,0,1,47.9,0,0,20,87.0,0.0,0,0,0.0,0,23,20,0,0,49.0,0,0,14,100.0,0.0,0,0.0,0,14,14,0
Justin Smith,776,DI,SF,16,1,0,28,55.8,9,20,407,99.5,8.1,33,2,4.8,5,441,439,34,1,64.9,6,13,185,100.0,13.5,25,7.3,4,206,206,23
Ryan Pickett,799,DI,HST,13,2,0,13,48.6,0,1,126,100.0,1.6,2,0,0.4,0,134,134,1,1,51.0,0,0,29,100.0,0.0,0,0.0,0,34,34,0
Julius Peppers,1010,ED,GB,18,3,1,12,81.4,12,33,493,93.0,13.0,64,3,6.8,11,559,520,56,2,90.4,9,24,243,94.8,18.9,46,10.9,10,270,256,43
Dwight Freeney,1019,ED,SD,16,0,0,27,69.7,9,40,373,96.7,16.6,62,3,7.6,4,422,408,53,0,73.7,6,26,171,98.5,24.0,41,11.1,3,199,196,35
Larry Foote,1126,LB,ARZ,16,0,0,1,48.1,4,15,200,30.5,6.0,12,3,5.8,2,689,210,21,0,48.9,2,6,102,35.9,7.8,8,5.9,2,304,109,10
Brett Keisel,1204,DI,PIT,12,4,1,25,56.0,6,13,271,98.0,6.6,18,1,3.9,1,295,289,20,2,59.6,4,7,113,99.2,9.7,11,5.8,1,119,118,12
Ryan Clark,1229,S,WAS,16,0,0,32,33.8,0,4,24,4.2,0.0,0,2,12.5,1,617,26,5,0,29.7,0,2,10,4.5,0.0,0,10.0,0,268,12,2
James Harrison,1251,ED,PIT,12,0,0,25,80.3,13,22,225,77.0,19.1,43,2,10.4,6,313,241,41,0,74.5,6,11,98,84.4,22.4,22,12.8,4,122,103,21
Terence Newman,1321,CB,CIN,14,0,1,7,55.5,0,1,2,0.4,0.0,0,8,25.0,0,548,2,1,0,55.5,0,1,2,0.8,0.0,0,25.0,0,250,2,1
Kevin Williams,1325,DI,SEA,19,2,0,29,58.6,1,13,246,96.0,6.5,16,0,3.7,2,277,266,16,1,60.4,0,6,81,100.0,7.4,6,3.7,0,90,90,6
Terrell Suggs,1326,ED,BLT,18,1,1,3,69.9,12,38,561,90.3,14.4,81,9,7.1,15,652,589,65,0,71.5,8,25,277,95.5,18.8,52,9.6,10,309,295,43
Troy Polamalu,1332,S,PIT,13,0,0,25,72.5,3,3,42,9.3,9.5,4,6,9.5,1,475,44,7,0,76.8,1,1,17,9.5,5.9,1,11.8,1,190,18,3
Calvin Pace,1334,ED,NYJ,16,1,0,22,53.3,2,23,275,56.3,8.4,23,4,6.4,5,519,292,30,0,54.8,1,13,116,63.5,11.2,13,9.5,4,200,127,18
Charles Tillman,1351,CB,CHI,2,0,0,6,68.5,1,0,1,1.9,100.0,1,0,50.0,0,52,1,1,0,68.5,1,0,1,4.5,100.0,1,50.0,0,22,1,1
Rashean Mathis,1355,CB,DET,17,0,2,11,58.3,0,0,2,0.3,0.0,0,8,0.0,0,708,2,0,0,,0,0,0,0.0,,0,,0,340,0,0
Osi Umenyiora,1371,ED,ATL,16,0,0,2,61.8,6,26,281,98.6,13.2,37,1,6.8,3,296,292,35,0,67.0,6,21,178,98.4,17.4,31,8.7,2,186,183,29
Cory Redding,1381,DI,IND,19,3,1,14,58.7,13,26,507,99.3,10.3,52,5,4.8,5,538,534,44,2,61.0,9,14,210,100.0,14.3,30,6.9,3,229,229,26
Lance Briggs,1383,LB,CHI,8,0,0,6,55.6,1,1,32,11.8,6.3,2,0,3.1,0,280,33,2,0,62.7,1,1,11,8.5,18.2,2,9.1,0,129,11,2
Jarret Johnson,1421,ED,SD,15,1,0,27,50.2,0,8,127,53.3,3.9,5,1,3.9,1,257,137,9,0,49.5,0,0,45,71.0,2.2,1,2.2,1,69,49,1
Chris Clemons,1585,ED,JAX,16,2,4,15,60.3,5,20,460,96.2,6.5,30,8,4.5,8,505,486,33,2,59.1,2,16,231,98.8,10.0,23,6.1,5,248,245,23
Colin Cole,1589,DI,CAR,18,0,0,5,51.6,2,6,206,100.0,4.4,9,0,1.9,0,213,213,8,0,54.8,1,3,59,100.0,8.5,5,3.4,0,61,61,4
Cullen Jenkins,1637,DI,NYG,12,1,0,21,70.3,5,12,222,98.8,8.6,19,1,4.3,1,241,238,18,0,79.6,4,10,104,100.0,14.4,15,7.7,1,119,119,15
DeAngelo Hall,1729,CB,WAS,3,0,0,32,58.6,0,0,1,1.1,0.0,0,1,0.0,0,93,1,0,0,58.6,0,0,1,2.1,0.0,0,0.0,0,47,1,0
D.J. Williams,1738,LB,CHI,12,0,0,6,58.9,0,3,8,4.4,37.5,3,1,18.8,0,203,9,3,0,53.2,0,0,4,7.4,0.0,0,0.0,0,54,4,0
Vince Wilfork,1742,DI,NE,19,1,0,19,45.6,2,19,498,99.8,4.4,22,1,2.3,1,537,536,22,0,48.8,2,12,253,100.0,5.1,13,3.2,1,273,273,15
Jason Babin,1748,ED,NYJ,16,0,1,22,65.5,7,27,263,83.8,15.6,41,6,7.6,3,327,274,37,0,64.7,6,17,121,91.4,19.0,23,9.5,0,140,128,23
Karlos Dansby,1754,LB,CLV,12,0,0,8,59.4,0,5,56,11.9,7.1,4,0,9.8,3,487,58,8,0,60.0,0,4,30,14.7,6.7,2,10.0,1,218,32,5
Daryl Smith,1760,LB,BLT,18,1,0,3,78.1,4,9,72,9.8,13.9,10,3,10.4,1,779,76,14,0,68.8,2,5,36,10.7,19.4,7,12.5,1,346,37,8
Dwan Edwards,1772,DI,CAR,18,1,0,5,54.3,11,14,420,98.9,7.1,30,1,4.2,5,437,432,30,0,56.5,10,10,222,99.6,10.4,23,6.3,4,228,227,24
Randy Starks,1792,DI,MIA,15,0,0,17,67.9,0,15,241,96.6,9.1,22,0,5.2,5,266,257,20,0,71.2,0,8,83,97.8,15.7,13,7.2,2,91,89,10
Shaun Phillips,1819,ED,IND,19,2,1,14,54.0,4,21,249,81.0,8.8,22,4,5.8,2,321,260,27,1,55.9,3,11,129,88.7,12.4,16,6.2,1,151,134,15
Will Allen,1832,S,PIT,12,0,2,25,67.9,1,0,5,2.9,20.0,1,2,10.0,0,207,6,1,0,54.9,0,0,2,2.9,0.0,0,0.0,0,69,2,0
Robert Geathers,1838,ED,CIN,17,2,0,7,39.6,5,17,396,94.0,5.1,20,1,3.0,1,451,424,23,1,41.9,4,11,210,94.5,6.2,13,3.6,0,238,225,15
Jared Allen,1847,ED,CHI,15,5,1,6,66.5,20,32,522,98.6,10.2,53,2,6.1,6,552,544,58,2,61.2,14,19,259,98.2,13.1,34,7.9,4,276,271,37
