player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Charles Woodson,330,S,OAK,16,5,11.6,0,0,23,92.1,90.1,85.9,53.3,60.1,54.0,12.2,5,0,367,372,1.1,4,31
Julius Peppers,1010,ED,GB,18,6,1.8,1,0,12,51.1,63.8,62.3,73.9,47.9,48.1,5.0,1,3,228,233,3.9,9,13
Dwight Freeney,1019,ED,ARZ,12,1,,0,0,1,46.2,77.7,89.1,77.2,56.7,59.7,0.0,0,0,31,31,0.0,0,0
James Harrison,1251,ED,PIT,17,6,1.2,0,0,25,79.5,86.0,37.6,81.2,77.9,69.4,8.6,3,5,233,240,9.4,22,26
Terence Newman,1321,CB,MIN,17,5,3.9,0,0,18,64.9,68.2,87.4,68.3,75.0,67.6,5.6,1,5,355,369,1.4,5,12
Kevin Williams,1325,DI,NO,16,7,1.5,0,2,20,55.7,68.1,61.5,63.7,69.2,51.7,12.9,4,2,266,279,6.4,17,20
Terrell Suggs,1326,ED,BLT,1,0,,0,0,3,75.1,62.5,77.6,64.3,44.8,,,0,0,14,14,0.0,0,0
Calvin Pace,1334,ED,NYJ,16,0,2.4,0,1,22,62.5,64.0,75.5,60.4,63.5,56.5,9.1,1,1,212,218,3.8,8,10
Charles Tillman,1351,CB,CAR,12,6,2.9,0,2,5,58.1,62.6,60.4,68.4,84.7,74.6,6.7,1,2,216,221,2.3,5,8
Rashean Mathis,1355,CB,DET,7,0,3.9,0,0,11,62.5,63.6,85.9,54.7,64.7,68.8,20.0,2,1,177,184,2.3,4,8
Cory Redding,1381,DI,ARZ,12,4,2.7,1,0,1,68.1,65.7,21.4,55.2,62.7,26.5,12.5,1,2,63,64,4.8,3,3
Robert Mathis,1447,ED,IND,14,2,1.0,0,0,14,87.2,67.6,50.8,63.9,51.3,56.3,25.0,3,3,164,170,4.3,7,7
Chris Clemons,1585,ED,JAX,16,2,0.9,0,1,15,52.7,42.0,44.2,52.6,38.3,29.4,26.7,4,5,170,175,4.7,8,9
Colin Cole,1589,DI,CAR,2,1,,0,0,5,,57.9,78.4,56.8,58.6,67.3,0.0,0,0,15,15,0.0,0,0
Cullen Jenkins,1637,DI,NYG,16,4,1.8,0,0,21,64.0,61.9,59.8,64.7,55.7,53.8,15.8,3,3,206,213,4.4,9,12
DeAngelo Hall,1729,CB,WAS,11,6,9.5,0,0,32,61.5,61.7,13.2,68.2,66.5,83.8,4.0,1,2,147,151,2.7,4,18
Vince Wilfork,1742,DI,HST,17,6,1.5,0,1,13,60.0,74.9,74.6,53.2,82.6,69.0,3.8,1,1,285,292,6.0,17,19
Jason Babin,1748,ED,ARZ,2,0,,0,0,1,40.1,28.3,0.0,53.5,61.6,27.7,,0,3,2,3,0.0,0,0
Karlos Dansby,1754,LB,CLV,16,7,3.8,1,1,8,83.5,77.5,57.0,63.9,65.4,78.4,6.7,5,2,428,437,8.9,38,63
Daryl Smith,1760,LB,BLT,16,17,3.8,0,0,3,54.8,63.3,90.3,58.3,71.1,50.1,8.0,6,0,384,392,8.6,33,52
Dwan Edwards,1772,DI,CAR,15,2,5.0,0,0,5,66.8,52.7,86.4,53.2,44.5,74.0,0.0,0,0,103,105,3.9,4,5
Randy Starks,1792,DI,CLV,15,4,1.6,1,0,8,49.6,62.4,38.4,60.6,68.3,51.2,7.7,2,3,181,186,9.9,18,20
Will Allen,1832,S,PIT,15,7,5.5,0,1,25,60.8,68.9,67.2,81.3,76.6,44.1,17.2,10,2,309,324,6.8,21,41
Jared Allen,1847,ED,CAR,17,6,2.0,0,0,5,63.3,65.4,74.9,63.1,61.7,68.9,13.0,3,2,251,257,4.0,10,14
Antonio Smith,1856,DI,DEN,19,0,0.4,1,0,10,60.0,59.2,69.1,63.8,49.7,42.4,12.5,1,1,100,103,7.0,7,7
Mike Adams,1972,S,IND,13,3,9.9,0,2,14,53.0,62.0,62.2,91.4,74.8,72.2,15.6,5,1,327,338,2.1,7,24
Adam Jones,2223,CB,CIN,15,1,4.5,1,0,7,77.8,77.0,20.2,83.1,73.3,56.6,17.6,3,4,278,289,2.5,7,13
Antrel Rolle,2225,S,CHI,7,2,8.1,0,0,6,65.3,68.6,79.9,57.7,71.3,74.1,11.1,2,0,143,151,4.2,6,14
DeMarcus Ware,2228,ED,DEN,14,5,5.0,2,0,10,52.8,80.4,9.1,90.1,65.0,69.5,0.0,0,7,163,169,3.1,5,9
Thomas Davis Sr.,2231,LB,CAR,19,15,2.6,0,2,5,88.8,80.0,73.9,67.6,59.1,71.0,5.2,3,1,363,372,8.5,31,40
Derrick Johnson,2232,LB,KC,18,13,3.1,0,1,16,80.9,85.2,78.0,59.2,84.7,59.7,11.0,8,3,376,386,9.8,37,52
Jonathan Babineaux,2276,DI,ATL,16,1,-0.8,0,1,2,67.8,70.3,87.6,60.3,66.3,40.0,15.0,3,0,138,142,10.1,14,16
Justin Tuck,2291,DI,OAK,5,3,2.1,0,0,23,65.2,67.5,84.0,60.3,64.8,60.7,8.3,1,0,76,77,7.9,6,8
Chris Canty,2349,DI,BLT,9,0,1.1,0,0,3,63.1,74.3,84.3,61.9,73.7,75.5,7.7,1,0,117,120,8.5,10,12
Trent Cole,2363,ED,IND,14,7,0.7,1,1,14,67.6,71.3,32.1,69.6,70.8,50.3,12.5,3,4,188,194,6.9,13,14
C.J. Mosley,2408,DI,MIA,11,0,1.8,0,0,17,60.0,53.3,54.6,57.5,53.4,71.8,0.0,0,2,84,88,6.0,5,6
Jay Ratliff,2441,DI,CHI,2,1,3.8,0,0,6,,58.5,79.8,50.2,65.0,71.4,0.0,0,0,30,31,6.7,2,4
Lorenzo Alexander,2476,ED,OAK,4,0,-1.3,0,0,23,91.7,89.0,81.6,72.2,63.0,73.9,25.0,1,0,30,30,10.0,3,3
Brandon Browner,2512,CB,NO,16,5,11.4,2,0,20,27.5,27.4,0.0,49.1,60.7,44.4,20.0,5,22,374,390,1.6,6,15
Ahmad Brooks,2945,ED,SF,14,7,2.3,1,0,28,60.6,50.5,3.3,51.0,62.0,36.2,16.1,5,10,297,311,5.1,15,19
Mario Williams,2946,ED,BUF,15,2,1.5,0,0,4,54.8,52.8,85.0,47.1,62.2,41.2,20.0,3,1,290,304,2.8,8,10
A.J. Hawk,2950,LB,CIN,17,3,3.1,0,0,7,55.5,60.7,79.5,66.1,63.5,63.9,12.5,2,0,152,162,4.6,7,11
Donte Whitner,2953,S,CLV,14,4,8.4,0,0,8,70.4,71.6,84.3,56.4,70.5,73.8,11.1,5,0,346,353,4.3,15,36
Haloti Ngata,2957,DI,DET,14,4,1.3,0,0,11,56.8,71.1,76.4,68.5,67.5,51.5,13.0,3,1,203,207,6.4,13,16
Chad Greenway,2962,LB,MIN,17,10,4.5,1,0,18,63.2,55.7,57.1,58.7,49.2,76.9,2.6,1,2,298,309,4.7,14,27
Antonio Cromartie,2964,CB,NYJ,15,3,4.5,1,0,22,52.2,53.6,88.7,,56.8,28.0,22.2,2,4,286,294,0.7,2,4
Tamba Hali,2965,ED,KC,17,11,0.9,1,0,16,62.3,81.6,80.1,79.9,70.4,70.5,5.7,2,1,269,276,5.6,15,22
Manny Lawson,2967,LB,BUF,16,3,2.0,0,0,4,76.0,65.0,58.0,51.0,58.4,44.0,10.0,3,2,274,288,6.9,19,24
Johnathan Joseph,2969,CB,HST,17,5,14.2,0,0,13,83.0,79.9,87.8,,51.5,48.0,33.3,5,2,337,345,0.3,1,5
DeMeco Ryans,2978,LB,PHI,14,11,3.1,0,0,24,54.5,53.6,51.9,52.9,57.2,51.8,9.1,4,2,294,302,5.8,17,29
D'Qwell Jackson,2979,LB,IND,16,26,2.7,0,1,14,60.1,60.1,90.7,45.3,64.7,66.6,12.8,15,2,425,441,12.2,52,76
Roman Harper,2988,S,CAR,19,7,6.1,0,0,5,63.4,62.5,47.7,61.1,61.8,78.9,7.5,3,3,335,343,4.2,14,30
Tim Jennings,3007,CB,TB,5,1,5.7,2,0,30,38.9,45.4,26.6,,79.0,61.0,0.0,0,4,118,123,0.8,1,3
Darryl Tapp,3008,ED,DET,16,4,2.5,0,1,11,65.1,69.9,89.7,57.9,70.5,60.2,10.5,2,0,186,192,5.4,10,13
James Anderson,3033,LB,NO,3,3,6.0,0,0,20,35.0,30.5,79.9,64.0,39.9,70.7,0.0,0,0,45,46,11.1,5,8
Frostee Rucker,3036,DI,ARZ,15,6,1.1,0,1,1,64.1,56.7,65.1,58.9,53.5,62.5,11.5,3,2,223,229,7.2,16,17
Jason Hatcher,3037,DI,WAS,15,2,3.4,0,0,32,60.6,70.4,50.2,74.1,60.5,57.6,15.8,3,2,175,180,5.1,9,14
Will Blackmon,3060,CB,WAS,14,4,10.5,1,1,32,54.0,57.1,87.6,74.9,63.9,58.7,17.2,5,4,306,313,1.6,5,20
Stephen Tulloch,3061,LB,DET,16,14,2.6,0,0,11,43.9,60.8,58.9,62.8,77.4,68.4,4.1,3,1,339,347,11.8,40,57
Domata Peko Sr.,3068,DI,CIN,17,4,2.3,0,0,7,65.8,58.9,63.8,61.8,54.8,77.0,0.0,0,2,265,275,3.8,10,14
Barry Cofield,3069,DI,NYG,2,0,,0,0,21,,51.7,75.8,64.2,49.2,,,0,0,17,17,0.0,0,0
Elvis Dumervil,3071,ED,BLT,16,5,2.9,0,0,3,78.4,71.8,39.7,75.2,58.9,70.6,9.7,3,5,278,285,6.8,19,23
Kyle Williams,3079,DI,BUF,6,3,5.6,0,0,4,59.5,63.6,44.5,59.9,70.0,29.5,20.0,2,2,97,104,2.1,2,5
Rob Ninkovich,3080,ED,NE,18,6,3.3,0,0,19,67.2,63.7,91.7,55.6,63.5,66.4,5.9,2,0,332,340,5.4,18,26
Jeremy Mincey,3136,ED,DAL,14,3,1.0,0,0,9,60.8,63.8,74.1,56.9,67.7,56.6,16.7,3,1,152,157,6.6,10,12
