rank,player-name,rank-position,year signed,age,year 2,value,average/year
4,Darrelle Revis,Cornerback,2010-2016 (FA: 2017),25,4,"$46,000,000","$11,500,000"
2,Charles Woodson,Strong Safety,2010-2014 (FA: 2015),33,5,"$55,000,000","$11,000,000"
1,Dunta Robinson,Cornerback,2010-2015 (FA: 2016),27,6,"$57,000,000","$9,500,000"
3,Eric Berry,Strong Safety,2010-2015 (FA: 2016),21,6,"$50,044,300","$8,340,717"
7,Tramon Williams,Cornerback,2010-2014 (FA: 2015),27,4,"$33,000,000","$8,250,000"
5,Joe Haden,Cornerback,2010-2014 (FA: 0),21,5,"$40,056,742","$8,011,348"
6,Antrel Rolle,Strong Safety,2010-2014 (FA: 2015),27,5,"$37,100,000","$7,420,000"
9,Nick Collins,Safety,2010-2013 (FA: 2014),26,4,"$26,750,000","$6,687,500"
10,Antoine Bethea,Free Safety,2010-2013 (FA: 2014),25,4,"$26,000,000","$6,500,000"
8,Oshiomogho Atogwe,Safety,2010-2014 (FA: 2015),28,5,"$32,000,000","$6,400,000"
11,Leigh Bodden,Cornerback,2010-2013 (FA: 2014),28,4,"$22,000,000","$5,500,000"
13,Sheldon Brown,Cornerback,2010-2012 (FA: 2013),30,3,"$15,250,000","$5,083,333"
28,Deon Grant,Safety,2010-2010 (FA: 2011),31,1,"$4,000,000","$4,000,000"
12,Earl Thomas,Free Safety,2010-2014 (FA: 2015),21,5,"$18,300,000","$3,660,000"
14,Ryan Clark,Safety,2010-2013 (FA: 2014),30,4,"$14,000,000","$3,500,000"
32,Stanford Routt,Cornerback,2010-2010 (FA: 2011),26,1,"$3,268,000","$3,268,000"
20,Marlin Jackson,Cornerback,2010-2011 (FA: 2012),26,2,"$6,000,000","$3,000,000"
37,Ellis Hobbs,Cornerback,2010-2010 (FA: 2011),26,1,"$2,799,500","$2,799,500"
15,Kareem Jackson,Strong Safety,2010-2014 (FA: 2015),21,5,"$13,520,000","$2,704,000"
42,Bernard Pollard,Safety,2010-2010 (FA: 2011),25,1,"$2,521,000","$2,521,000"
42,Roman Harper,Strong Safety,2010-2010 (FA: 2011),27,1,"$2,521,000","$2,521,000"
19,Bryant McFadden,Cornerback,2010-2012 (FA: 2013),28,3,"$7,500,000","$2,500,000"
44,Darren Sharper,Safety,2010-2010 (FA: 2011),34,1,"$2,500,000","$2,500,000"
26,Benny Sapp,Cornerback,2010-2011 (FA: 2012),28,2,"$4,200,000","$2,100,000"
16,Devin McCourty,Free Safety,2010-2014 (FA: 2015),22,5,"$10,000,000","$2,000,000"
17,Kyle Wilson,Cornerback,2010-2014 (FA: 2015),23,5,"$9,905,000","$1,981,000"
69,Fabian Washington,Cornerback,2010-2010 (FA: 2011),26,1,"$1,886,500","$1,886,500"
18,Patrick Robinson,Cornerback,2010-2014 (FA: 2015),22,5,"$9,409,500","$1,881,900"
83,Gerald Sensabaugh,Safety,2010-2010 (FA: 2011),26,1,"$1,815,000","$1,815,000"
84,Dawan Landry,Safety,2010-2010 (FA: 2011),27,1,"$1,759,000","$1,759,000"
84,George Wilson,Safety,2010-2010 (FA: 2011),29,1,"$1,759,000","$1,759,000"
84,Richard Marshall,Cornerback,2010-2010 (FA: 2011),25,1,"$1,759,000","$1,759,000"
84,Reed Doughty,Safety,2010-2010 (FA: 2011),27,1,"$1,759,000","$1,759,000"
84,Abram Elam,Safety,2010-2010 (FA: 2011),28,1,"$1,759,000","$1,759,000"
84,Jarrad Page,Safety,2010-2010 (FA: 2011),25,1,"$1,759,000","$1,759,000"
90,Michael Lewis,Safety,2010-2010 (FA: 2011),29,1,"$1,700,000","$1,700,000"
91,Atari Bigby,Safety,2010-2010 (FA: 2011),28,1,"$1,699,500","$1,699,500"
92,Brian Williams,Cornerback,2010-2010 (FA: 2011),30,1,"$1,635,000","$1,635,000"
94,Carlos Rogers,Cornerback,2010-2010 (FA: 2011),29,1,"$1,542,000","$1,542,000"
98,Phillip Buchanon,Cornerback,2010-2010 (FA: 2011),29,1,"$1,500,000","$1,500,000"
24,Will Allen,Strong Safety,2010-2012 (FA: 2013),27,3,"$4,495,000","$1,498,333"
34,Tim Jennings,Cornerback,2010-2011 (FA: 2012),26,2,"$2,900,000","$1,450,000"
35,Chris Harris,Safety,2010-2011 (FA: 2012),20,2,"$2,895,000","$1,447,500"
21,Chris Cook,Cornerback,2010-2013 (FA: 2014),23,4,"$5,370,000","$1,342,500"
101,Brodney Pool,Safety,2010-2010 (FA: 2011),25,1,"$1,300,000","$1,300,000"
22,Nate Allen,Free Safety,2010-2013 (FA: 2014),22,4,"$5,133,000","$1,283,250"
23,T.J. Ward,Strong Safety,2010-2013 (FA: 2014),23,4,"$5,088,000","$1,272,000"
102,Josh Bullocks,Safety,2010-2010 (FA: 2011),26,1,"$1,267,500","$1,267,500"
103,Jordan Babineaux,Safety,2010-2010 (FA: 2011),27,1,"$1,250,000","$1,250,000"
30,Craig Dahl,Strong Safety,2010-2012 (FA: 2013),24,3,"$3,600,000","$1,200,000"
127,Ashton Youboty,Cornerback,2010-2010 (FA: 2011),25,1,"$1,176,000","$1,176,000"
127,Danieal Manning,Safety,2010-2010 (FA: 2011),27,1,"$1,176,000","$1,176,000"
127,Daniel Bullocks,Safety,2010-2010 (FA: 2011),27,1,"$1,176,000","$1,176,000"
127,Will Blackmon,Cornerback,2010-2010 (FA: 2011),25,1,"$1,176,000","$1,176,000"
127,Eric Smith,Safety,2010-2010 (FA: 2011),27,1,"$1,176,000","$1,176,000"
50,Sean Jones,Safety,2010-2011 (FA: 2012),27,2,"$2,350,000","$1,175,000"
133,C.J. Wilson,Cornerback,2010-2010 (FA: 2011),24,1,"$1,101,000","$1,101,000"
133,David Jones,Cornerback,2010-2010 (FA: 2011),24,1,"$1,101,000","$1,101,000"
133,William Gay,Cornerback,2010-2010 (FA: 2011),24,1,"$1,101,000","$1,101,000"
133,Usama Young,Safety,2010-2010 (FA: 2011),24,1,"$1,101,000","$1,101,000"
133,Chris Reis,Safety,2010-2010 (FA: 2011),26,1,"$1,101,000","$1,101,000"
133,Eric Frampton,Safety,2010-2010 (FA: 2011),25,1,"$1,101,000","$1,101,000"
133,James Ihedigbo,Strong Safety,2010-2010 (FA: 2011),26,1,"$1,101,000","$1,101,000"
25,Nathan Jones,Cornerback,2010-2013 (FA: 2014),27,4,"$4,330,000","$1,082,500"
27,Taylor Mays,Strong Safety,2010-2013 (FA: 2014),21,4,"$4,060,000","$1,015,000"
147,Hiram Eugene,Safety,2010-2010 (FA: 2011),29,1,"$1,010,000","$1,010,000"
148,Roy Williams,Safety,2010-2010 (FA: 2011),29,1,"$1,005,000","$1,005,000"
67,Derrick Martin,Cornerback,2010-2011 (FA: 2012),24,2,"$1,900,000","$950,000"
29,Javier Arenas,Cornerback,2010-2013 (FA: 2014),22,4,"$3,798,416","$949,604"
31,Morgan Burnett,Strong Safety,2010-2013 (FA: 2014),20,4,"$3,508,100","$877,025"
149,Drew Coleman,Cornerback,2010-2010 (FA: 2011),26,1,"$850,000","$850,000"
150,Lawyer Milloy,Safety,2010-2010 (FA: 2011),36,1,"$845,000","$845,000"
152,Matt Ware,Cornerback,2010-2010 (FA: 2011),27,1,"$825,200","$825,200"
153,Donnie Nickey,Safety,2010-2010 (FA: 2011),29,1,"$800,000","$800,000"
33,Alterraun Verner,Cornerback,2010-2013 (FA: 2014),21,4,"$3,160,140","$790,035"
95,Donald Strickland,Cornerback,2010-2011 (FA: 2012),19,2,"$1,520,000","$760,000"
154,Michael Lewis,Safety,2010-2010 (FA: 2011),29,1,"$755,000","$755,000"
154,Jon McGraw,Safety,2010-2010 (FA: 2011),30,1,"$755,000","$755,000"
154,Will James,Cornerback,2010-2010 (FA: 2011),30,1,"$755,000","$755,000"
52,Raymond Ventrone,Safety,2010-2012 (FA: 2013),27,3,"$2,250,000","$750,000"
157,Fred Bennett,Cornerback,2010-2010 (FA: 2011),26,1,"$750,000","$750,000"
36,Kendrick Lewis,Free Safety,2010-2013 (FA: 2014),23,4,"$2,839,900","$709,975"
38,Jerome Murphy,Cornerback,2010-2013 (FA: 2014),23,4,"$2,727,739","$681,935"
39,Myron Lewis,Cornerback,2010-2013 (FA: 2014),22,4,"$2,720,100","$680,025"
165,Gibril Wilson,Safety,2010-2010 (FA: 2011),28,1,"$680,000","$680,000"
40,Major Wright,Safety,2010-2013 (FA: 2014),21,4,"$2,634,700","$658,675"
41,Chad Jones,Safety,2010-2013 (FA: 2014),21,4,"$2,616,000","$654,000"
66,Amari Spievey,Safety,2010-2012 (FA: 2013),22,3,"$1,912,000","$637,333"
166,Nathan Vasher,Cornerback,2010-2010 (FA: 2011),28,1,"$630,000","$630,000"
166,Pat Watkins,Safety,2010-2010 (FA: 2011),27,1,"$630,000","$630,000"
166,Marcus Hudson,Cornerback,2010-2010 (FA: 2011),27,1,"$630,000","$630,000"
166,Will Blackmon,Cornerback,2010-2010 (FA: 2011),25,1,"$630,000","$630,000"
166,Anthony Madison,Cornerback,2010-2010 (FA: 2011),28,1,"$630,000","$630,000"
166,Charlie Peprah,Safety,2010-2010 (FA: 2011),26,1,"$630,000","$630,000"
166,Hamza Abdullah,Cornerback,2010-2010 (FA: 2011),26,1,"$630,000","$630,000"
166,Matt Giordano,Safety,2010-2010 (FA: 2011),26,1,"$630,000","$630,000"
166,Ceandris Brown,Cornerback,2010-2010 (FA: 2011),27,1,"$630,000","$630,000"
45,Kevin Thomas,Cornerback,2010-2013 (FA: 2014),23,4,"$2,465,472","$616,368"
46,Kurt Coleman,Free Safety,2010-2013 (FA: 2014),21,4,"$2,453,368","$613,342"
47,Darrell Stuckey,Free Safety,2010-2013 (FA: 2014),20,4,"$2,446,000","$611,500"
48,Walter Thurmond,Free Safety,2010-2013 (FA: 2014),22,4,"$2,443,500","$610,875"
49,Brandon Ghee,Cornerback,2010-2013 (FA: 2014),23,4,"$2,443,100","$610,775"
126,Adam-Pacman Jones,Cornerback,2010-2011 (FA: 2012),26,2,"$1,185,000","$592,500"
51,Trevard Lindley,Cornerback,2010-2013 (FA: 2014),23,4,"$2,315,211","$578,803"
53,Akwasi Owusu-Ansah,Safety,2010-2013 (FA: 2014),22,4,"$2,240,000","$560,000"
175,John Wendling,Safety,2010-2010 (FA: 2011),27,1,"$545,000","$545,000"
175,Jonathan Wade,Cornerback,2010-2010 (FA: 2011),25,1,"$545,000","$545,000"
175,Alan Ball,Cornerback,2010-2010 (FA: 2011),25,1,"$545,000","$545,000"
175,Michael Adams,Safety,2010-2010 (FA: 2011),24,1,"$545,000","$545,000"
175,Joey Thomas,Cornerback,2010-2010 (FA: 2011),29,1,"$545,000","$545,000"
54,Sherrick McManis,Cornerback,2010-2013 (FA: 2014),22,4,"$2,132,000","$533,000"
55,Shann Schillinger,Safety,2010-2013 (FA: 2014),24,4,"$2,065,114","$516,279"
180,Dante Hughes,Cornerback,2010-2010 (FA: 2011),24,1,"$512,941","$512,941"
146,Darnell Bing,Safety,2010-2011 (FA: 2012),25,2,"$1,025,000","$512,500"
96,Gerard Lawson,Cornerback,2010-2012 (FA: 2013),24,3,"$1,515,000","$505,000"
96,Brian Witherspoon,Cornerback,2010-2012 (FA: 2013),25,3,"$1,515,000","$505,000"
56,Kam Chancellor,Strong Safety,2010-2013 (FA: 2014),22,4,"$2,003,610","$500,903"
57,Dominique Franks,Cornerback,2010-2013 (FA: 2014),22,4,"$2,001,050","$500,263"
58,Perrish Cox,Cornerback,2010-2013 (FA: 2014),23,4,"$1,990,000","$497,500"
58,Walter McFadden,Cornerback,2010-2013 (FA: 2014),23,4,"$1,990,000","$497,500"
60,Joshua Moore,Cornerback,2010-2013 (FA: 2014),21,4,"$1,988,000","$497,000"
61,Nolan Carroll,Cornerback,2010-2013 (FA: 2014),23,4,"$1,987,500","$496,875"
62,Robert Johnson,Safety,2010-2013 (FA: 2014),22,4,"$1,980,050","$495,013"
63,Larry Asante,Strong Safety,2010-2013 (FA: 2014),21,4,"$1,958,860","$489,715"
64,Reshad Jones,Strong Safety,2010-2013 (FA: 2014),22,4,"$1,950,300","$487,575"
65,Sergio Brown,Free Safety,2010-2013 (FA: 2014),21,4,"$1,940,000","$485,000"
99,Macho Harris,Cornerback,2010-2010 (FA: 2011),23,3,"$1,440,000","$480,000"
68,Jamar Wall,Cornerback,2010-2013 (FA: 2014),22,4,"$1,887,000","$471,750"
181,Brent Grimes,Cornerback,2010-2010 (FA: 2011),26,1,"$470,000","$470,000"
181,Jon Corto,Safety,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
181,Courtney Brown,Safety,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
181,Maurice Leggett,Cornerback,2010-2010 (FA: 2011),23,1,"$470,000","$470,000"
181,Elbert Mack,Cornerback,2010-2010 (FA: 2011),23,1,"$470,000","$470,000"
181,Josh Barrett,Safety,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
181,Josh Bell,Cornerback,2010-2010 (FA: 2011),24,1,"$470,000","$470,000"
181,Mike Richardson,Cornerback,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
70,Jorrick Calvin,Cornerback,2010-2013 (FA: 2014),22,4,"$1,878,235","$469,559"
71,Jordan Pugh,Safety,2010-2013 (FA: 2014),22,4,"$1,873,275","$468,319"
72,Myron Rolle,Cornerback,2010-2013 (FA: 2014),23,4,"$1,868,200","$467,050"
73,Morgan Trent,Cornerback,2010-2013 (FA: 2014),23,4,"$1,862,000","$465,500"
74,Cody Grimm,Safety,2010-2013 (FA: 2014),23,4,"$1,857,500","$464,375"
75,Marquis Johnson,Cornerback,2010-2012 (FA: 2013),22,4,"$1,856,766","$464,192"
76,Jeremy Ware,Cornerback,2010-2013 (FA: 2014),23,4,"$1,852,000","$463,000"
77,R.J. Stanford,Cornerback,2010-2013 (FA: 2014),22,4,"$1,849,175","$462,294"
78,Phillip Adams,Cornerback,2010-2013 (FA: 2014),21,4,"$1,848,000","$462,000"
79,Syd'Quan Thompson,Cornerback,2010-2013 (FA: 2014),23,4,"$1,846,850","$461,713"
80,Ray Fisher,Cornerback,2010-2013 (FA: 2014),22,4,"$1,831,500","$457,875"
81,Robert McClain,Cornerback,2010-2013 (FA: 2014),21,4,"$1,829,000","$457,250"
82,Stevie Brown,Strong Safety,2010-2013 (FA: 2014),22,4,"$1,827,750","$456,938"
100,Crezdon Butler,Cornerback,2010-2012 (FA: 2013),23,3,"$1,334,000","$444,667"
151,Quinton Teal,Safety,2010-2011 (FA: 2012),25,2,"$830,000","$415,000"
104,Sergio Brown,Free Safety,2010-2012 (FA: 2013),21,3,"$1,227,500","$409,167"
105,Barry Church,Strong Safety,2010-2012 (FA: 2013),22,3,"$1,227,000","$409,000"
106,Cassius Vaughn,Cornerback,2010-2012 (FA: 2013),22,3,"$1,225,000","$408,333"
106,Jonathon Amaya,Safety,2010-2012 (FA: 2013),21,3,"$1,225,000","$408,333"
106,Terrence Johnson,Cornerback,2010-2012 (FA: 2013),23,3,"$1,225,000","$408,333"
109,Sam Shields,Cornerback,2010-2012 (FA: 2013),22,3,"$1,222,500","$407,500"
110,Danny McCray,Strong Safety,2010-2012 (FA: 2013),22,3,"$1,220,000","$406,667"
110,Da'Mon Cromartie-Smith,Cornerback,2010-2012 (FA: 2013),23,3,"$1,220,000","$406,667"
112,Josh Gordy,Cornerback,2010-2012 (FA: 2013),22,3,"$1,218,000","$406,000"
113,Aaron Berry,Cornerback,2010-2012 (FA: 2013),21,3,"$1,216,500","$405,500"
114,Brandon Hughes,Cornerback,2010-2012 (FA: 2013),24,3,"$1,215,000","$405,000"
114,Rafael Bush,Free Safety,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
114,David Caldwell,Safety,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
114,Brandon King,Cornerback,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
114,Mike Newton,Cornerback,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
114,Emanuel Cook,Cornerback,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
114,Colt Anderson,Strong Safety,2010-2012 (FA: 2013),24,3,"$1,215,000","$405,000"
114,David Pender,Cornerback,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
114,Torri Williams,Safety,2010-2012 (FA: 2013),23,3,"$1,215,000","$405,000"
114,Pete Ittersagen,Cornerback,2010-2012 (FA: 2013),24,3,"$1,215,000","$405,000"
114,Bryan McCann,Cornerback,2010-2012 (FA: 2013),22,3,"$1,215,000","$405,000"
125,Teddy Williams,Cornerback,2010-2012 (FA: 2013),22,3,"$1,190,000","$396,667"
189,William Middleton,Cornerback,2010-2010 (FA: 2011),23,1,"$395,000","$395,000"
189,Cary Harris,Cornerback,2010-2010 (FA: 2011),22,1,"$395,000","$395,000"
189,Courtney Greene,Safety,2010-2010 (FA: 2011),23,1,"$395,000","$395,000"
189,Cary Williams,Cornerback,2010-2010 (FA: 2011),25,1,"$395,000","$395,000"
189,Rico Murray,Cornerback,2010-2010 (FA: 2011),22,1,"$395,000","$395,000"
93,Josh Pinkard,Cornerback,2010-2013 (FA: 2014),23,4,"$1,565,000","$391,250"
194,DeAngelo Smith,Cornerback,2010-2010 (FA: 2011),23,1,"$385,000","$385,000"
132,Jordan Hemby,Cornerback,2010-2012 (FA: 2013),22,3,"$1,140,000","$380,000"
158,Darian Stewart,Free Safety,2010-2011 (FA: 2012),21,2,"$737,500","$368,750"
159,A.J. Jefferson,Cornerback,2010-2011 (FA: 2012),21,2,"$735,000","$367,500"
160,Chris Maragos,Free Safety,2010-2011 (FA: 2012),23,2,"$730,000","$365,000"
161,Tramaine Brock,Cornerback,2010-2011 (FA: 2012),21,2,"$725,500","$362,750"
162,Jackie Bates,Cornerback,2010-2011 (FA: 2012),23,2,"$725,000","$362,500"
162,Andrew Sendejo,Strong Safety,2010-2011 (FA: 2012),23,2,"$725,000","$362,500"
140,Marcus Brown,Cornerback,2010-2012 (FA: 2013),22,3,"$1,065,000","$355,000"
140,Reggie Jones,Cornerback,2010-2012 (FA: 2013),23,3,"$1,065,000","$355,000"
140,Sha'reff Rashad,Cornerback,2010-2012 (FA: 2013),23,3,"$1,065,000","$355,000"
140,Anderson Russell,Safety,2010-2012 (FA: 2013),22,3,"$1,065,000","$355,000"
140,Dominique Harris,Safety,2010-2012 (FA: 2013),23,3,"$1,065,000","$355,000"
140,Marcus Sherels,Cornerback,2010-2012 (FA: 2013),27,3,"$1,065,000","$355,000"
164,Ross Ventrone,Strong Safety,2010-2011 (FA: 2012),23,2,"$685,000","$342,500"
195,Ricky Price,Cornerback,2010-2010 (FA: 2011),22,1,"$325,000","$325,000"
196,Reshard Langford,Cornerback,2010-2010 (FA: 2011),23,1,"$320,000","$320,000"
197,Terrence Johnson,Cornerback,2010-2011 (FA: 0),23,2,"$1,000",$500
