rank,player-name,rank-position,year signed,age,year 2,value,average/year
2,Muhammad Wilkerson,Defensive Tackle,2016-2020 (FA: 2021),26,5,"$86,000,000","$17,200,000"
1,Fletcher Cox,Defensive Tackle,2016-2022 (FA: 2023),25,6,"$102,600,000","$17,100,000"
16,Muhammad Wilkerson,Defensive Tackle,2016-2016 (FA: 2017),26,1,"$15,701,000","$15,701,000"
3,Malik Jackson,Defensive Tackle,2016-2021 (FA: 2022),26,6,"$85,500,000","$14,250,000"
8,Michael Brockers,Defensive Tackle,2016-2019 (FA: 2020),25,3,"$33,250,000","$11,083,333"
9,Michael Bennett,Defensive End,2016-2020 (FA: 2021),31,3,"$30,500,000","$10,166,667"
28,Jason Pierre-Paul,Defensive End,2016-2016 (FA: 2017),27,1,"$10,000,000","$10,000,000"
4,Vinny Curry,Defensive End,2016-2020 (FA: 2021),27,5,"$47,250,000","$9,450,000"
5,Damon Harrison,Defensive Tackle,2016-2020 (FA: 2021),27,5,"$46,250,000","$9,250,000"
6,Bruce Irvin,Defensive End,2016-2019 (FA: 2020),28,4,"$37,000,000","$9,250,000"
7,Derek Wolfe,Defensive End,2016-2019 (FA: 2020),25,4,"$36,700,000","$9,175,000"
14,Mario Williams,Defensive End,2016-2017 (FA: 2018),31,2,"$17,000,000","$8,500,000"
17,Cameron Wake,Defensive End,2016-2018 (FA: 2019),34,2,"$15,000,000","$7,500,000"
10,Robert Ayers,Defensive End,2016-2018 (FA: 2019),30,3,"$19,500,000","$6,500,000"
22,Haloti Ngata,Defensive Tackle,2016-2017 (FA: 2018),31,2,"$12,000,000","$6,000,000"
13,William Hayes,Defensive End,2016-2017 (FA: 2018),30,3,"$17,500,000","$5,833,333"
28,Akiem Hicks,Defensive End,2016-2017 (FA: 2018),26,2,"$10,000,000","$5,000,000"
28,Jaye Howard,Defensive End,2016-2017 (FA: 2018),27,2,"$10,000,000","$5,000,000"
11,DeForest Buckner,Defensive Tackle,2016-2020 (FA: 2021),22,4,"$18,190,995","$4,547,749"
12,Derrick Shelby,Defensive End,2016-2019 (FA: 2020),27,4,"$18,000,000","$4,500,000"
18,Brandon Mebane,Defensive Tackle,2016-2018 (FA: 2019),31,3,"$13,500,000","$4,500,000"
14,Cedric Thornton,Defensive Tackle,2016-2019 (FA: 2020),27,4,"$17,000,000","$4,250,000"
34,Adrian Clayborn,Defensive End,2016-2017 (FA: 2018),27,2,"$8,500,000","$4,250,000"
21,Quinton Dial,Defensive Tackle,2016-2019 (FA: 2020),25,3,"$12,677,000","$4,225,667"
22,Ahtyba Rubin,Defensive Tackle,2016-2018 (FA: 2019),29,3,"$12,000,000","$4,000,000"
24,Letroy Guion,Defensive End,2016-2018 (FA: 2019),28,3,"$11,050,000","$3,683,333"
25,Al Woods,Defensive Tackle,2016-2018 (FA: 2019),28,3,"$10,500,000","$3,500,000"
25,Steve McLendon,Defensive Tackle,2016-2018 (FA: 2019),30,3,"$10,500,000","$3,500,000"
37,Paul Soliai,Defensive Tackle,2016-2017 (FA: 2018),32,2,"$7,000,000","$3,500,000"
28,Eugene Sims,Defensive End,2016-2018 (FA: 2019),29,3,"$10,000,000","$3,333,333"
19,Sheldon Rankins,Defensive Tackle,2016-2020 (FA: 2021),22,4,"$12,801,648","$3,200,412"
20,John Hughes,Defensive Tackle,2016-2019 (FA: 2020),26,4,"$12,800,000","$3,200,000"
41,Jarvis Jenkins,Defensive End,2016-2018 (FA: 2019),27,2,"$6,000,000","$3,000,000"
57,Charles Johnson,Defensive End,2016-2016 (FA: 2017),29,1,"$3,000,000","$3,000,000"
57,Nick Fairley,Defensive Tackle,2016-2016 (FA: 2017),28,1,"$3,000,000","$3,000,000"
57,Ian Williams,Defensive Tackle,2016-2016 (FA: 2017),26,1,"$3,000,000","$3,000,000"
36,Benson Mayowa,Defensive End,2016-2018 (FA: 2019),24,3,"$8,250,000","$2,750,000"
65,Andre Branch,Defensive End,2016-2016 (FA: 2017),26,1,"$2,750,000","$2,750,000"
68,Cornellius Carradine,Defensive End,2016-2017 (FA: 2018),26,1,"$2,650,000","$2,650,000"
27,Shaq Lawson,Defensive End,2016-2019 (FA: 2020),21,4,"$10,278,977","$2,569,744"
73,Ryan Davis,Defensive End,2016-2016 (FA: 2017),27,1,"$2,553,000","$2,553,000"
73,Abry Jones,Defensive Tackle,2016-2016 (FA: 2017),24,1,"$2,553,000","$2,553,000"
75,Kendall Reyes,Defensive End,2016-2016 (FA: 2017),26,1,"$2,500,000","$2,500,000"
81,Chris Long,Defensive End,2016-2016 (FA: 2017),30,1,"$2,375,000","$2,375,000"
32,Kenny Clark,Defensive Tackle,2016-2020 (FA: 2021),20,4,"$9,361,646","$2,340,412"
86,Frostee Rucker,Defensive End,2016-2016 (FA: 2017),31,1,"$2,159,375","$2,159,375"
33,Robert Nkemdiche,Defensive End,2016-2019 (FA: 2020),21,4,"$8,600,601","$2,150,150"
46,Desmond Bryant,Defensive End,2016-2017 (FA: 2018),30,2,"$4,250,000","$2,125,000"
35,Vernon Butler,Defensive Tackle,2016-2019 (FA: 2020),21,4,"$8,396,514","$2,099,129"
47,Jared Crick,Defensive End,2016-2017 (FA: 2018),26,2,"$4,000,000","$2,000,000"
87,Stephen Paea,Defensive Tackle,2016-2016 (FA: 2017),28,1,"$1,900,000","$1,900,000"
89,Terrance Knighton,Defensive Tackle,2016-2016 (FA: 2017),29,1,"$1,750,000","$1,750,000"
89,Stefan Charles,Defensive Tackle,2016-2016 (FA: 2017),27,1,"$1,750,000","$1,750,000"
91,Corbin Bryant,Defensive Tackle,2016-2016 (FA: 2017),28,1,"$1,671,000","$1,671,000"
91,John Simon,Defensive End,2016-2016 (FA: 2017),25,1,"$1,671,000","$1,671,000"
38,Emmanuel Ogbah,Defensive End,2016-2019 (FA: 2020),22,4,"$6,609,641","$1,652,410"
185,Tyrunn Walker,Defensive Tackle,2016-2016 (FA: 2017),25,1,"$1,600,000","$1,600,000"
39,Chris Jones,Defensive Tackle,2016-2019 (FA: 2020),21,4,"$6,231,229","$1,557,807"
186,Jason Jones,Defensive End,2016-2016 (FA: 2017),29,1,"$1,535,000","$1,535,000"
40,Noah Spence,Defensive End,2016-2019 (FA: 2020),22,4,"$6,036,301","$1,509,075"
188,Chris Clemons,Defensive End,2016-2016 (FA: 2017),34,1,"$1,500,000","$1,500,000"
42,Austin Johnson,Defensive Tackle,2016-2019 (FA: 2020),22,4,"$5,662,229","$1,415,557"
43,Jihad Ward,Defensive End,2016-2019 (FA: 2020),22,4,"$5,539,800","$1,384,950"
44,A'Shawn Robinson,Defensive Tackle,2016-2019 (FA: 2020),21,4,"$5,233,635","$1,308,409"
193,Wallace Gilberry,Defensive End,2016-2016 (FA: 2017),31,1,"$1,250,000","$1,250,000"
193,Courtney Upshaw,Defensive Tackle,2016-2016 (FA: 2017),26,1,"$1,250,000","$1,250,000"
45,Jarran Reed,Defensive Tackle,2016-2019 (FA: 2020),23,4,"$4,889,637","$1,222,409"
196,Markus Kuhn,Defensive Tackle,2016-2016 (FA: 2017),29,1,"$1,200,000","$1,200,000"
198,Richard Ash,Defensive Tackle,2016-2018 (FA: 2019),23,1,"$1,155,000","$1,155,000"
84,Pat Sims,Defensive Tackle,2016-2017 (FA: 2018),30,2,"$2,300,000","$1,150,000"
85,Mitch Unrein,Defensive End,2016-2017 (FA: 2018),28,2,"$2,260,000","$1,130,000"
