rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Trent Cole,Outside Linebacker,2012-2017 (FA: 2018),29,4,"$48,525,000","$12,131,250"
2,Navorro Bowman,Inside Linebacker,2012-2018 (FA: 2019),24,5,"$45,250,000","$9,050,000"
5,Robert Mathis,Outside Linebacker,2012-2016 (FA: 2017),31,4,"$36,000,000","$9,000,000"
22,Anthony Spencer,Outside Linebacker,2012-2012 (FA: 2013),27,1,"$8,856,000","$8,856,000"
7,Daryl Washington,Inside Linebacker,2012-2019 (FA: 2020),25,4,"$32,000,000","$8,000,000"
4,D'Qwell Jackson,Inside Linebacker,2012-2016 (FA: 2017),28,5,"$38,500,000","$7,700,000"
6,Kamerion Wimbley,Outside Linebacker,2012-2016 (FA: 2017),28,5,"$35,000,000","$7,000,000"
3,Ahmad Brooks,Outside Linebacker,2012-2017 (FA: 2018),27,6,"$40,400,000","$6,733,333"
31,Osi Umenyiora,Outside Linebacker,2012-2012 (FA: 2013),30,1,"$6,000,000","$6,000,000"
12,John Abraham,Outside Linebacker,2012-2014 (FA: 2015),33,3,"$17,718,000","$5,906,000"
13,Lance Briggs,Outside Linebacker,2012-2014 (FA: 2015),31,3,"$17,500,000","$5,833,333"
8,Curtis Lofton,Inside Linebacker,2012-2017 (FA: 2018),25,5,"$27,500,000","$5,500,000"
18,London Fletcher,Inside Linebacker,2012-2013 (FA: 2014),36,2,"$10,750,000","$5,375,000"
19,Jameel McClain,Inside Linebacker,2012-2014 (FA: 2015),26,2,"$10,500,000","$5,250,000"
9,Stephen Tulloch,Inside Linebacker,2012-2016 (FA: 2017),27,5,"$25,500,000","$5,100,000"
10,Jarret Johnson,Outside Linebacker,2012-2015 (FA: 2016),30,4,"$19,000,000","$4,750,000"
20,Jonathan Vilma,Inside Linebacker,2012-2013 (FA: 2014),29,2,"$9,300,000","$4,650,000"
17,Joe Mays,Inside Linebacker,2012-2014 (FA: 2015),26,3,"$12,000,000","$4,000,000"
10,David Hawthorne,Inside Linebacker,2012-2016 (FA: 2017),26,5,"$19,000,000","$3,800,000"
15,Mark Barron,Inside Linebacker,2012-2015 (FA: 2016),22,4,"$14,465,000","$3,616,250"
14,Aaron Curry,Outside Linebacker,2012-2016 (FA: 2017),25,5,"$16,500,000","$3,300,000"
30,Dan Connor,Inside Linebacker,2012-2013 (FA: 2014),26,2,"$6,500,000","$3,250,000"
16,Luke Kuechly,Inside Linebacker,2012-2016 (FA: 2017),21,4,"$12,578,602","$3,144,651"
21,Kroy Biermann,Outside Linebacker,2012-2014 (FA: 2015),26,3,"$9,150,000","$3,050,000"
33,Lofa Tatupa,Linebacker,2012-2013 (FA: 2014),29,2,"$5,750,000","$2,875,000"
34,Rob Ninkovich,Outside Linebacker,2012-2013 (FA: 0),27,2,"$5,400,000","$2,700,000"
35,Wesley Woodyard,Inside Linebacker,2012-2013 (FA: 2014),25,2,"$5,000,000","$2,500,000"
23,Quinton Coples,Outside Linebacker,2012-2016 (FA: 2017),21,4,"$8,802,794","$2,200,699"
76,Manny Lawson,Outside Linebacker,2012-2012 (FA: 2013),27,1,"$2,100,000","$2,100,000"
24,Melvin Ingram,Outside Linebacker,2012-2016 (FA: 2017),23,4,"$8,398,236","$2,099,559"
25,Shea McClellin,Outside Linebacker,2012-2015 (FA: 2016),22,4,"$8,263,398","$2,065,850"
26,Chandler Jones,Outside Linebacker,2012-2016 (FA: 2017),22,4,"$8,172,552","$2,043,138"
31,Russell Allen,Outside Linebacker,2012-2014 (FA: 2015),25,3,"$6,000,000","$2,000,000"
80,Erin Henderson,Inside Linebacker,2012-2012 (FA: 2013),25,1,"$2,000,000","$2,000,000"
27,Dont'a Hightower,Inside Linebacker,2012-2016 (FA: 2017),22,4,"$7,724,002","$1,931,001"
82,Dannell Ellerbe,Outside Linebacker,2012-2012 (FA: 2013),26,1,"$1,927,000","$1,927,000"
82,Jovan Belcher,Linebacker,2012-2012 (FA: 2013),24,1,"$1,927,000","$1,927,000"
82,DeAndre Levy,Outside Linebacker,2012-2012 (FA: 2013),25,1,"$1,927,000","$1,927,000"
28,Whitney Mercilus,Outside Linebacker,2012-2015 (FA: 0),21,4,"$7,634,088","$1,908,522"
29,Nick Perry,Outside Linebacker,2012-2015 (FA: 2016),22,4,"$7,499,250","$1,874,813"
88,Leroy Hill,Linebacker,2012-2012 (FA: 2013),29,1,"$1,600,000","$1,600,000"
46,JoLonn Dunbar,Outside Linebacker,2012-2013 (FA: 2014),27,2,"$3,050,000","$1,525,000"
36,Heath Farwell,Inside Linebacker,2012-2014 (FA: 2015),30,3,"$4,500,000","$1,500,000"
39,Chris Chamberlain,Inside Linebacker,2012-2014 (FA: 2015),26,3,"$4,050,000","$1,350,000"
157,Larry Grant,Linebacker,2012-2012 (FA: 2013),27,1,"$1,260,000","$1,260,000"
157,Jonathan Casillas,Outside Linebacker,2012-2012 (FA: 2013),24,1,"$1,260,000","$1,260,000"
157,Dan Skuta,Outside Linebacker,2012-2012 (FA: 2013),25,1,"$1,260,000","$1,260,000"
56,Kirk Morrison,Linebacker,2012-2012 (FA: 2013),29,2,"$2,500,000","$1,250,000"
160,Keith Rivers,Outside Linebacker,2012-2012 (FA: 2013),25,1,"$1,250,000","$1,250,000"
42,Jason Trusnik,Inside Linebacker,2012-2014 (FA: 2015),27,3,"$3,570,000","$1,190,000"
37,Mychal Kendricks,Outside Linebacker,2012-2015 (FA: 2016),21,4,"$4,444,444","$1,111,111"
43,Tim Shaw,Outside Linebacker,2012-2014 (FA: 2015),28,3,"$3,300,000","$1,100,000"
