rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Lane Johnson,Right Tackle,2019-2025 (FA: 2026),29,4,"$72,000,000","$18,000,000"
2,Trenton Brown,Right Tackle,2019-2022 (FA: 2023),25,4,"$66,000,000","$16,500,000"
3,Brandon Brooks,Guard,2019-2024 (FA: 2025),30,4,"$56,350,000","$14,087,500"
36,Donovan Smith,Left Tackle,2019-2019 (FA: 2020),25,1,"$14,067,000","$14,067,000"
17,Joe Staley,Left Tackle,2019-2021 (FA: 2022),34,2,"$28,000,000","$14,000,000"
10,Donovan Smith,Left Tackle,2019-2021 (FA: 2022),25,3,"$41,250,000","$13,750,000"
6,Ja'Wuan James,Right Tackle,2019-2023 (FA: 2024),26,4,"$51,000,000","$12,750,000"
11,Rodney Hudson,Center,2019-2022 (FA: 2023),30,3,"$33,750,000","$11,250,000"
8,Mitch Morse,Center,2019-2022 (FA: 2023),26,4,"$44,500,000","$11,125,000"
9,Rodger Saffold,Guard,2019-2022 (FA: 2023),30,4,"$44,000,000","$11,000,000"
12,Nick Martin,Center,2019-2022 (FA: 2023),26,3,"$33,000,000","$11,000,000"
22,Maurkice Pouncey,Center,2019-2021 (FA: 2022),29,2,"$22,000,000","$11,000,000"
13,J.C. Tretter,Center,2019-2022 (FA: 2023),28,3,"$32,550,000","$10,850,000"
4,Ali Marpet,Guard,2019-2023 (FA: 2024),25,5,"$54,125,000","$10,825,000"
14,Kevin Zeitler,Guard,2019-2021 (FA: 2022),28,3,"$32,000,000","$10,666,667"
5,Cody Whitehair,Center,2019-2024 (FA: 2025),27,5,"$51,250,000","$10,250,000"
7,La'el Collins,Right Tackle,2019-2024 (FA: 2025),26,5,"$50,000,000","$10,000,000"
44,Marshal Yanda,Guard,2019-2020 (FA: 2021),34,1,"$10,000,000","$10,000,000"
16,Matt Paradis,Center,2019-2021 (FA: 2022),29,3,"$29,030,000","$9,676,667"
46,Mike Pouncey,Center,2019-2020 (FA: 2021),30,1,"$9,000,000","$9,000,000"
48,Ryan Kalil,Center,2019-2019 (FA: 2020),34,1,"$8,400,000","$8,400,000"
