rank,player-name,year signed,age,year 2,value,average/year
2,Nick Chubb,2021-2024 (FA: 2025),25,3,"$36,600,000","$12,200,000"
1,Aaron Jones,2021-2024 (FA: 2025),26,4,"$48,000,000","$12,000,000"
3,Nyheim Hines,2021-2024 (FA: 2025),24,3,"$18,600,000","$6,200,000"
6,Kenyan Drake,2021-2022 (FA: 2023),27,2,"$11,000,000","$5,500,000"
7,Christopher Carson,2021-2022 (FA: 2023),26,2,"$10,425,000","$5,212,500"
13,David Johnson,2021-2021 (FA: 2022),29,1,"$5,000,000","$5,000,000"
8,Gus Edwards,2021-2023 (FA: 2024),26,2,"$9,000,000","$4,500,000"
31,Gus Edwards,2021-2021 (FA: 2022),25,1,"$3,384,000","$3,384,000"
4,Najee Harris,2021-2025 (FA: 2026),23,4,"$13,047,447","$3,261,862"
33,Leonard Fournette,2021-2021 (FA: 2022),26,1,"$3,250,000","$3,250,000"
33,Phillip Lindsay,2021-2021 (FA: 2022),26,1,"$3,250,000","$3,250,000"
5,Travis Etienne,2021-2025 (FA: 2026),22,4,"$12,898,105","$3,224,526"
10,Jamaal Williams,2021-2022 (FA: 2023),25,2,"$6,000,000","$3,000,000"
35,Cordarrelle Patterson,2021-2021 (FA: 2022),30,1,"$3,000,000","$3,000,000"
11,Mike Davis,2021-2022 (FA: 2023),28,2,"$5,500,000","$2,750,000"
11,Devontae Booker,2021-2022 (FA: 2023),28,2,"$5,500,000","$2,750,000"
36,Mark Ingram,2021-2022 (FA: 2023),31,1,"$2,500,000","$2,500,000"
38,James White,2021-2021 (FA: 2022),29,1,"$2,462,500","$2,462,500"
15,Carlos Hyde,2021-2022 (FA: 2023),30,2,"$4,500,000","$2,250,000"
9,Javonte Williams,2021-2024 (FA: 2025),20,4,"$8,865,753","$2,216,438"
59,Jeff Wilson,2021-2021 (FA: 2022),25,1,"$2,050,000","$2,050,000"
60,Marlon Mack,2021-2021 (FA: 2022),25,1,"$2,000,000","$2,000,000"
20,Mike Boone,2021-2022 (FA: 2023),25,2,"$3,850,000","$1,925,000"
62,Malcolm Brown,2021-2021 (FA: 2022),27,1,"$1,750,000","$1,750,000"
62,James Conner,2021-2021 (FA: 2022),25,1,"$1,750,000","$1,750,000"
62,Taiwan Jones,2021-2021 (FA: 2022),31,1,"$1,750,000","$1,750,000"
32,Samaje Perine,2021-2022 (FA: 2023),25,2,"$3,300,000","$1,650,000"
65,Darrel Williams,2021-2021 (FA: 2022),25,1,"$1,600,000","$1,600,000"
67,Rex Burkhead,2021-2021 (FA: 2022),30,1,"$1,500,000","$1,500,000"
67,Damien Williams,2021-2021 (FA: 2022),28,1,"$1,500,000","$1,500,000"
