rank,player-name,year signed,age,year 2,value,average/year
1,Jared Cook,2013-2017 (FA: 2018),25,5,"$35,100,000","$7,020,000"
5,Tony Gonzalez,2013-2013 (FA: 2014),35,2,"$12,650,000","$6,325,000"
2,Martellus Bennett,2013-2016 (FA: 2017),26,4,"$20,400,000","$5,100,000"
3,Delanie Walker,2013-2016 (FA: 2017),28,4,"$17,500,000","$4,375,000"
10,Dustin Keller,2013-2013 (FA: 2014),28,1,"$4,250,000","$4,250,000"
4,Anthony Fasano,2013-2016 (FA: 2017),28,4,"$16,000,000","$4,000,000"
18,Fred Davis,2013-2013 (FA: 2014),27,1,"$2,500,000","$2,500,000"
23,Brandon Myers,2013-2013 (FA: 2014),27,1,"$2,250,000","$2,250,000"
6,Tyler Eifert,2013-2017 (FA: 2018),22,4,"$8,256,001","$2,064,000"
29,Dennis Pitta,2013-2013 (FA: 2014),27,1,"$2,023,000","$2,023,000"
8,John Phillips,2013-2015 (FA: 2016),25,3,"$5,275,000","$1,758,333"
9,Benjamin Watson,2013-2015 (FA: 2016),32,3,"$4,950,000","$1,650,000"
7,Zach Ertz,2013-2016 (FA: 2017),22,4,"$5,379,198","$1,344,800"
12,Logan Paulsen,2013-2015 (FA: 2016),26,3,"$4,000,000","$1,333,333"
82,Ed Dickson,2013-2013 (FA: 2014),25,1,"$1,323,000","$1,323,000"
82,Jeff Cumberland,2013-2013 (FA: 2014),25,1,"$1,323,000","$1,323,000"
13,Gary Barnidge,2013-2015 (FA: 2016),27,3,"$3,750,000","$1,250,000"
11,Gavin Escobar,2013-2016 (FA: 2017),22,4,"$4,210,492","$1,052,623"
90,Dallas Clark,2013-2013 (FA: 2014),34,1,"$1,005,000","$1,005,000"
30,Matt Spaeth,2013-2014 (FA: 2015),29,2,"$2,000,000","$1,000,000"
30,Tony Moeaki,2013-2014 (FA: 2015),26,2,"$2,000,000","$1,000,000"
91,Visanthe Shiancoe,2013-2013 (FA: 2014),33,1,"$940,000","$940,000"
91,Visanthe Shiancoe,2013-2013 (FA: 2014),33,1,"$940,000","$940,000"
93,Ben Hartsock,2013-2013 (FA: 2014),32,1,"$905,000","$905,000"
93,Alex Smith,2013-2013 (FA: 2014),30,1,"$905,000","$905,000"
95,Bear Pascoe,2013-2013 (FA: 2014),26,1,"$900,000","$900,000"
14,Vance McDonald,2013-2016 (FA: 2017),22,4,"$3,599,178","$899,795"
109,Kellen Winslow,2013-2013 (FA: 2014),29,1,"$840,000","$840,000"
110,Matthew Mulligan,2013-2013 (FA: 2014),28,1,"$820,000","$820,000"
35,Tom Crabtree,2013-2014 (FA: 2015),27,2,"$1,600,000","$800,000"
15,Travis Kelce,2013-2016 (FA: 2017),23,4,"$3,126,304","$781,576"
111,Dante Rosario,2013-2013 (FA: 2014),28,1,"$780,000","$780,000"
111,Kellen Davis,2013-2013 (FA: 2014),27,1,"$780,000","$780,000"
36,Steve Maneri,2013-2014 (FA: 2015),25,2,"$1,551,200","$775,600"
113,Richard Quinn,2013-2013 (FA: 2014),26,1,"$725,000","$725,000"
114,Kellen Davis,2013-2013 (FA: 2014),27,1,"$715,000","$715,000"
114,Richard Quinn,2013-2013 (FA: 2014),26,1,"$715,000","$715,000"
114,Jake O'Connell,2013-2013 (FA: 2014),27,1,"$715,000","$715,000"
114,Matthew Mulligan,2013-2013 (FA: 2014),27,1,"$715,000","$715,000"
81,Tim Tebow,2013-2014 (FA: 2015),25,2,"$1,385,000","$692,500"
16,Jordan Reed,2013-2016 (FA: 2017),22,4,"$2,760,000","$690,000"
118,David Johnson,2013-2013 (FA: 2014),25,1,"$665,000","$665,000"
17,Dion Sims,2013-2016 (FA: 2017),22,4,"$2,627,552","$656,888"
119,Jake Ballard,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
119,Jake Ballard,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
119,Zach Potter,2013-2013 (FA: 2014),27,1,"$630,000","$630,000"
119,Zach Miller,2013-2013 (FA: 2014),28,1,"$630,000","$630,000"
119,Cameron Morrah,2013-2013 (FA: 2014),35,1,"$630,000","$630,000"
119,Clay Harbor,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
119,Michael Hoomanawanui,2013-2013 (FA: 2014),24,1,"$630,000","$630,000"
119,Brody Eldridge,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
119,Michael Palmer,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
119,Michael Palmer,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
119,Mike Caussin,2013-2013 (FA: 2014),26,1,"$630,000","$630,000"
119,Jeron Mastrud,2013-2013 (FA: 2014),25,1,"$630,000","$630,000"
19,Levine Toilolo,2013-2016 (FA: 2017),21,4,"$2,460,584","$615,146"
84,Dan Gronkowski,2013-2014 (FA: 2015),27,2,"$1,200,000","$600,000"
84,D.J. Williams,2013-2014 (FA: 2015),24,2,"$1,200,000","$600,000"
20,Luke Willson,2013-2016 (FA: 2017),23,4,"$2,338,532","$584,633"
21,Nick Kasa,2013-2016 (FA: 2017),22,4,"$2,280,600","$570,150"
32,Brad Smelley,2013-2015 (FA: 2016),23,3,"$1,710,000","$570,000"
32,Dominique Jones,2013-2015 (FA: 2016),25,3,"$1,710,000","$570,000"
32,Dominique Jones,2013-2015 (FA: 2016),25,3,"$1,710,000","$570,000"
22,Mychal Rivera,2013-2016 (FA: 2017),22,4,"$2,264,852","$566,213"
24,Ryan Griffin,2013-2016 (FA: 2017),23,4,"$2,238,680","$559,670"
25,Michael Williams,2013-2016 (FA: 2016),22,4,"$2,225,148","$556,287"
26,D.C. Jefferson,2013-2016 (FA: 2017),24,4,"$2,220,248","$555,062"
131,Fendi Onobun,2013-2013 (FA: 2014),26,1,"$555,000","$555,000"
131,Dorin Dickerson,2013-2013 (FA: 2014),24,1,"$555,000","$555,000"
131,Dorin Dickerson,2013-2013 (FA: 2014),24,1,"$555,000","$555,000"
131,Richard Gordon,2013-2013 (FA: 2014),25,1,"$555,000","$555,000"
131,Shaun Chapas,2013-2013 (FA: 2014),24,1,"$555,000","$555,000"
131,Richie Brockel,2013-2013 (FA: 2014),26,1,"$555,000","$555,000"
131,Kyle Adams,2013-2013 (FA: 2014),24,1,"$555,000","$555,000"
131,Michael Higgins,2013-2013 (FA: 2014),25,1,"$555,000","$555,000"
131,Mike McNeill,2013-2013 (FA: 2014),25,1,"$555,000","$555,000"
27,Chris Gragg,2013-2016 (FA: 2017),22,4,"$2,219,175","$554,794"
28,Justice Cunningham,2013-2016 (FA: 2017),22,4,"$2,205,896","$551,474"
86,Nathan Overbay,2013-2014 (FA: 2015),25,2,"$1,050,000","$525,000"
86,Colin Cloherty,2013-2014 (FA: 2015),25,2,"$1,050,000","$525,000"
86,Colin Cochart,2013-2014 (FA: 2015),25,2,"$1,050,000","$525,000"
86,Andre Smith,2013-2014 (FA: 2015),24,2,"$1,050,000","$525,000"
37,Joseph Fauria,2013-2015 (FA: 2016),23,3,"$1,497,500","$499,167"
38,Zach Sudfeld,2013-2015 (FA: 2016),24,3,"$1,497,000","$499,000"
39,Matt Furstenburg,2013-2015 (FA: 2016),23,3,"$1,496,000","$498,667"
40,Tim Wright,2013-2015 (FA: 2016),23,3,"$1,495,000","$498,333"
40,Emmanuel Ogbuehi,2013-2015 (FA: 2016),22,3,"$1,495,000","$498,333"
42,Ifeanyi Momah,2013-2015 (FA: 2016),23,3,"$1,492,000","$497,333"
43,Colin Anderson,2013-2015 (FA: 2016),23,3,"$1,491,500","$497,167"
44,Jake Stoneburner,2013-2015 (FA: 2016),23,3,"$1,490,000","$496,667"
44,Demetrius Harris,2013-2015 (FA: 2016),21,3,"$1,490,000","$496,667"
44,Josh Hill,2013-2015 (FA: 2016),22,3,"$1,490,000","$496,667"
44,Jack Doyle,2013-2015 (FA: 2016),22,3,"$1,490,000","$496,667"
48,MarQueis Gray,2013-2015 (FA: 2016),23,3,"$1,489,000","$496,333"
48,Evan Landi,2013-2015 (FA: 2016),23,3,"$1,489,000","$496,333"
50,Philip Lutzenkirchen,2013-2015 (FA: 2016),22,3,"$1,488,100","$496,033"
51,Mike Shanahan,2013-2015 (FA: 2016),23,3,"$1,488,000","$496,000"
51,Lucas Reed,2013-2015 (FA: 2016),0,3,"$1,488,000","$496,000"
51,Brandon Ford,2013-2015 (FA: 2016),0,3,"$1,488,000","$496,000"
51,Chris Pantale,2013-2015 (FA: 2016),23,3,"$1,488,000","$496,000"
55,Kyler Reed,2013-2015 (FA: 2016),0,3,"$1,487,500","$495,833"
55,Chase Clement,2013-2015 (FA: 2016),23,3,"$1,487,500","$495,833"
55,Ryan Otten,2013-2015 (FA: 2016),23,3,"$1,487,500","$495,833"
58,Travis Tannahill,2013-2015 (FA: 2016),23,3,"$1,487,000","$495,667"
58,Ben Cotton,2013-2015 (FA: 2016),23,3,"$1,487,000","$495,667"
60,Brian Leonhardt,2013-2015 (FA: 2016),23,3,"$1,486,000","$495,333"
60,David Rolf,2013-2015 (FA: 2016),23,3,"$1,486,000","$495,333"
62,Will Shaw,2013-2015 (FA: 2016),21,3,"$1,485,000","$495,000"
62,Adam Schiltz,2013-2015 (FA: 2016),22,3,"$1,485,000","$495,000"
62,Brandon Williams,2013-2015 (FA: 2016),25,3,"$1,485,000","$495,000"
62,Kevin Brock,2013-2015 (FA: 2016),26,3,"$1,485,000","$495,000"
62,Anthony Miller,2013-2015 (FA: 2016),23,3,"$1,485,000","$495,000"
62,Tim Biere,2013-2015 (FA: 2016),23,3,"$1,485,000","$495,000"
62,Chase Ford,2013-2015 (FA: 2016),22,3,"$1,485,000","$495,000"
62,DeAngelo  Peterson,2013-2015 (FA: 2016),23,3,"$1,485,000","$495,000"
62,DeAngelo  Peterson,2013-2015 (FA: 2016),23,3,"$1,485,000","$495,000"
62,Derek Carrier,2013-2015 (FA: 2016),22,3,"$1,485,000","$495,000"
62,Brandon Bostick,2013-2015 (FA: 2016),23,3,"$1,485,000","$495,000"
62,Steve Watson,2013-2015 (FA: 2016),24,3,"$1,485,000","$495,000"
62,Cooper Helfet,2013-2015 (FA: 2016),23,3,"$1,485,000","$495,000"
62,Darren Fells,2013-2015 (FA: 2016),26,3,"$1,485,000","$495,000"
62,Dallas Walker,2013-2015 (FA: 2016),25,3,"$1,485,000","$495,000"
