rank,player-name,year signed,age,year 2,value,average/year
4,DeAndre Hopkins,2020-2024 (FA: 2025),28,2,"$54,500,000","$27,250,000"
2,Keenan Allen,2020-2024 (FA: 2025),28,4,"$80,100,000","$20,025,000"
1,Amari Cooper,2020-2024 (FA: 2025),25,5,"$100,000,000","$20,000,000"
9,A.J. Green,2020-2020 (FA: 2021),31,1,"$18,171,000","$18,171,000"
3,Robert Woods,2020-2025 (FA: 2026),28,4,"$65,000,000","$16,250,000"
5,Cooper Kupp,2020-2023 (FA: 2024),27,3,"$47,250,000","$15,750,000"
7,Emmanuel Sanders,2020-2021 (FA: 2022),33,2,"$24,000,000","$12,000,000"
16,Larry Fitzgerald,2020-2020 (FA: 2021),36,1,"$11,500,000","$11,500,000"
8,Robby Anderson,2020-2021 (FA: 2022),26,2,"$20,000,000","$10,000,000"
6,Randall Cobb,2020-2022 (FA: 2023),29,3,"$27,000,000","$9,000,000"
17,Sammy Watkins,2020-2020 (FA: 2021),26,1,"$9,000,000","$9,000,000"
23,Breshad Perriman,2020-2020 (FA: 2021),26,1,"$6,500,000","$6,500,000"
27,Danny Amendola,2020-2020 (FA: 2021),34,1,"$5,000,000","$5,000,000"
10,Henry Ruggs,2020-2024 (FA: 2025),21,4,"$16,671,626","$4,167,907"
11,Jerry Jeudy,2020-2024 (FA: 2025),21,4,"$15,192,974","$3,798,244"
33,Seth Roberts,2020-2020 (FA: 2021),29,1,"$3,750,000","$3,750,000"
12,CeeDee Lamb,2020-2024 (FA: 2025),21,4,"$14,010,012","$3,502,503"
13,Jalen Reagor,2020-2024 (FA: 2025),21,4,"$13,270,676","$3,317,669"
14,Justin Jefferson,2020-2024 (FA: 2025),21,4,"$13,122,805","$3,280,701"
52,Keelan Cole,2020-2020 (FA: 2021),26,1,"$3,259,000","$3,259,000"
52,Kendrick Bourne,2020-2020 (FA: 2021),24,1,"$3,259,000","$3,259,000"
15,Brandon Aiyuk,2020-2024 (FA: 2025),22,4,"$12,531,342","$3,132,836"
54,Albert Wilson,2020-2021 (FA: 2022),27,1,"$3,000,000","$3,000,000"
26,Matthew Slater,2020-2021 (FA: 2022),34,2,"$5,300,000","$2,650,000"
55,Devin Funchess,2020-2021 (FA: 2022),25,1,"$2,500,000","$2,500,000"
62,Demarcus Robinson,2020-2020 (FA: 2021),25,1,"$2,297,500","$2,297,500"
18,Tee Higgins,2020-2023 (FA: 2024),21,4,"$8,686,785","$2,171,696"
19,Michael Pittman Jr.,2020-2023 (FA: 2024),22,4,"$8,612,850","$2,153,213"
30,Cody Core,2020-2021 (FA: 2022),25,2,"$4,000,000","$2,000,000"
20,Laviska Shenault,2020-2023 (FA: 2024),21,4,"$7,696,069","$1,924,017"
