team_name,avg_diff_wr
ARZ,2618568.29
ATL,423527.1299999999
BLT,-2186217.34
BUF,41456.28333333336
CAR,-1914403.653333333
CHI,528064.6755555555
CIN,-690856.6380952378
CLV,-2619583.9055555556
DAL,1781790.0999999999
DEN,-731065.675
DET,1333320.5283597885
GB,379482.7187301589
HST,332877.5910714286
IND,697330.865
JAX,-1142367.8666666665
KC,2597992.5355555555
LA,-2474755.8666666667
LAC,-1701854.72
LV,-1781125.6633333333
MIA,438061.44444444455
MIN,98003.5666666668
NE,-1340289.0716666665
NO,1539544.5875000001
NYG,-78346.6299999998
NYJ,439044.4833333333
PHI,635064.9
PIT,-1753273.7904761904
SEA,-558119.7666666666
SF,-206424.5066666667
TB,1398975.7208333332
TEN,-494727.68
WAS,826048.2933333333
