player,player_id,position,team_name,grades_offense,pass_plays,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Cooper Kupp,11824,WR,LA,93.0,826,1.0,2021,219,Cooper Kupp,2021,28,3,"$47,250,000",15750000
Antonio Brown,5718,WR,TB,87.4,202,6.0,2021,12,Antonio Brown,2021,32,1,"$3,100,000",3100000
Tyreek Hill,10799,WR,KC,86.0,759,8.0,2021,463,Tyreek Hill,2021,27,3,"$54,000,000",18000000
Chris Godwin,11839,WR,TB,81.3,584,13.0,2021,31,Chris Godwin,2021,25,1,"$15,983,000",15983000
Stefon Diggs,9579,WR,BUF,81.0,748,14.0,2021,603,Stefon Diggs,2021,27,5,"$72,000,000",14400000
Tyler Lockett,9502,WR,SEA,81.0,530,14.0,2021,184,Tyler Lockett,2021,28,4,"$69,000,000",17250000
DeAndre Hopkins,7808,WR,ARZ,79.8,343,18.0,2021,229,DeAndre Hopkins,2021,29,2,"$54,500,000",27250000
Kendrick Bourne,12270,WR,NE,77.8,464,23.0,2021,122,Kendrick Bourne,2021,25,3,"$15,000,000",5000000
Keenan Allen,7857,WR,LAC,77.5,689,26.0,2021,263,Keenan Allen,2021,29,4,"$80,100,000",20025000
Brandin Cooks,8655,WR,HST,77.4,567,27.0,2021,481,Brandin Cooks,2021,27,5,"$81,000,000",16200000
Julio Jones,6158,WR,TEN,76.5,279,29.0,2021,405,Julio Jones,2021,32,3,"$66,000,000",22000000
Robert Woods,7822,WR,LA,75.7,340,31.0,2021,293,Robert Woods,2021,29,4,"$65,000,000",16250000
Mike Evans,8642,WR,TB,75.1,747,32.0,2021,581,Mike Evans,2021,27,5,"$82,500,000",16500000
Odell Beckham Jr.,8647,WR,LA,74.8,553,33.0,2021,146,Odell Beckham Jr.,2021,29,1,"$1,250,000",1250000
Adam Thielen,8288,WR,MIN,74.6,474,37.0,2021,318,Adam Thielen,2021,30,4,"$64,200,000",16050000
Amari Cooper,9437,WR,DAL,73.0,616,41.0,2021,199,Amari Cooper,2021,26,5,"$100,000,000",20000000
DeVante Parker,9447,WR,MIA,72.8,370,42.0,2021,364,DeVante Parker,2021,27,4,"$30,500,000",7625000
Laquon Treadwell,10657,WR,JAX,71.9,310,45.0,2021,129,Laquon Treadwell,2021,26,1,"$990,000",990000
Cedrick Wilson,48170,WR,DAL,71.7,428,46.0,2021,24,Cedrick Wilson,2021,25,1,"$2,183,000",2183000
Courtland Sutton,48164,WR,DEN,71.2,574,47.0,2021,39,Courtland Sutton,2021,26,4,"$60,800,000",15200000
Tim Patrick,12087,WR,DEN,71.2,527,47.0,2021,172,Tim Patrick,2021,27,3,"$34,000,000",11333333
Tyler Boyd,10689,WR,CIN,70.8,719,50.0,2021,461,Tyler Boyd,2021,26,4,"$43,000,000",10750000
Zay Jones,11792,WR,LV,70.6,476,52.0,2021,193,Zay Jones,2021,25,1,"$2,500,000",2500000
Randall Cobb,6216,WR,GB,70.1,292,54.0,2021,285,Randall Cobb,2021,30,3,"$27,000,000",9000000
T.Y. Hilton,7092,WR,IND,70.1,238,54.0,2021,164,T.Y. Hilton,2021,31,1,"$8,000,000",8000000
Corey Davis,11760,WR,NYJ,68.8,301,57.0,2021,38,Corey Davis,2021,26,3,"$37,500,000",12500000
Marvin Jones Jr.,7158,WR,JAX,68.3,667,61.0,2021,138,Marvin Jones Jr.,2021,31,2,"$12,500,000",6250000
Cole Beasley,7330,WR,BUF,68.3,569,61.0,2021,351,Cole Beasley,2021,31,4,"$29,000,000",7250000
Kenny Golladay,11851,WR,NYG,68.3,449,61.0,2021,123,Kenny Golladay,2021,27,4,"$72,000,000",18000000
A.J. Green,6156,WR,ARZ,67.8,593,66.0,2021,0,A.J. Green,2021,32,1,"$6,000,000",6000000
Allen Robinson II,8696,WR,CHI,66.9,386,68.0,2021,5,Allen Robinson II,2021,27,1,"$17,880,000",17880000
Emmanuel Sanders,5606,WR,BUF,66.4,566,70.0,2021,76,Emmanuel Sanders,2021,33,1,"$6,000,000",6000000
Jarvis Landry,8698,WR,CLV,66.3,341,71.0,2021,542,Jarvis Landry,2021,28,5,"$75,500,000",15100000
Sammy Watkins,8639,WR,BLT,66.3,287,71.0,2021,160,Sammy Watkins,2021,27,1,"$5,000,000",5000000
Josh Reynolds,11872,WR,DET,65.9,291,75.0,2021,113,Josh Reynolds,2021,26,1,"$1,750,000",1750000
Byron Pringle,42345,WR,KC,65.2,540,78.0,2021,19,Byron Pringle,2021,27,1,"$2,133,000",2133000
Jamison Crowder,9538,WR,NYJ,64.9,418,79.0,2021,386,Jamison Crowder,2021,27,3,"$28,500,000",9500000
Nelson Agholor,9453,WR,NE,64.8,474,82.0,2021,143,Nelson Agholor,2021,27,2,"$22,000,000",11000000
Sterling Shepard,10674,WR,NYG,64.6,236,84.0,2021,444,Sterling Shepard,2021,28,4,"$41,000,000",10250000
Brandon Zylstra,66438,WR,CAR,63.8,192,86.0,2021,16,Brandon Zylstra,2021,27,1,"$920,000",920000
DeAndre Carter,9859,WR,WAS,63.7,281,87.0,2021,61,DeAndre Carter,2021,27,1,"$970,000",970000
Danny Amendola,4717,WR,HST,63.1,163,90.0,2021,49,Danny Amendola,2021,35,1,"$1,800,000",1800000
Mohamed Sanu,7084,WR,SF,63.0,185,91.0,2021,142,Mohamed Sanu,2021,31,1,"$1,140,000",1140000
Marquise Goodwin,7859,WR,CHI,62.5,257,95.0,2021,136,Marquise Goodwin,2021,30,1,"$1,212,500",1212500
Mike Thomas,10840,WR,CIN,62.3,83,97.0,2021,141,Mike Thomas,2021,26,1,"$1,015,000",1015000
Keelan Cole,51593,WR,NYJ,61.3,367,98.0,2021,119,Keelan Cole,2021,27,1,"$5,500,000",5500000
Robby Anderson,11254,WR,CAR,60.6,652,99.0,2021,291,Robby Anderson,2021,27,2,"$20,000,000",10000000
Kalif Raymond,11028,WR,DET,60.5,497,100.0,2021,118,Kalif Raymond,2021,26,1,"$1,127,500",1127500
Chris Conley,9509,WR,HST,60.5,364,100.0,2021,29,Chris Conley,2021,28,1,"$1,500,000",1500000
Tavon Austin,7789,WR,JAX,60.2,213,102.0,2021,168,Tavon Austin,2021,31,1,"$1,075,000",1075000
Van Jefferson,47447,WR,LA,58.5,730,104.0,2021,314,Van Jefferson,2021,25,4,"$5,611,134",1402784
D'Wayne Eskridge,29573,WR,SEA,58.3,112,105.0,2021,42,D'Wayne Eskridge,2021,24,4,"$5,953,504",1488376
Mack Hollins,11873,WR,MIA,58.1,230,106.0,2021,130,Mack Hollins,2021,27,1,"$1,127,500",1127500
Adam Humphries,10075,WR,WAS,58.1,468,106.0,2021,2,Adam Humphries,2021,27,1,"$1,190,000",1190000
Ray-Ray McCloud III,47895,WR,PIT,58.0,378,108.0,2021,152,Ray-Ray McCloud III,2021,24,1,"$1,000,000",1000000
Chester Rogers,10918,WR,TEN,57.0,341,111.0,2021,28,Chester Rogers,2021,26,1,"$990,000",990000
Greg Ward,12258,WR,PHI,54.9,154,115.0,2021,81,Greg Ward,2021,25,1,"$850,000",850000
Rashard Higgins,10806,WR,CLV,54.7,313,116.0,2021,151,Rashard Higgins,2021,26,1,"$2,377,500",2377500
Tajae Sharpe,10774,WR,ATL,54.4,341,117.0,2021,165,Tajae Sharpe,2021,26,1,"$990,000",990000
Damiere Byrd,9964,WR,CHI,53.8,412,119.0,2021,46,Damiere Byrd,2021,28,1,"$1,127,500",1127500
Dede Westbrook,11865,WR,MIN,53.1,173,121.0,2021,63,Dede Westbrook,2021,27,1,"$1,127,500",1127500
Zach Pascal,12303,WR,IND,52.7,532,124.0,2021,192,Zach Pascal,2021,26,1,"$3,384,000",3384000
Demarcus Robinson,10760,WR,KC,51.9,609,125.0,2021,64,Demarcus Robinson,2021,26,1,"$1,127,500",1127500
Ty Montgomery,9527,WR,NO,51.4,189,126.0,2021,183,Ty Montgomery,2021,28,1,"$1,127,500",1127500
Davante Adams,8688,WR,GB,92.0,578,1.0,2020,663,Davante Adams,2020,28,4,"$58,000,000",14500000
Stefon Diggs,9579,WR,BUF,90.2,794,4.0,2020,603,Stefon Diggs,2020,26,5,"$72,000,000",14400000
Allen Robinson II,8696,WR,CHI,88.3,656,5.0,2020,473,Allen Robinson II,2020,26,3,"$42,000,000",14000000
Adam Thielen,8288,WR,MIN,87.4,536,6.0,2020,318,Adam Thielen,2020,29,4,"$64,200,000",16050000
DeAndre Hopkins,7808,WR,ARZ,87.1,664,7.0,2020,229,DeAndre Hopkins,2020,28,2,"$54,500,000",27250000
Julio Jones,6158,WR,ATL,86.3,314,8.0,2020,405,Julio Jones,2020,31,3,"$66,000,000",22000000
