team_name,avg_diff_wr
CAR,-1989519.1716666669
BLT,-1747547.6055555556
JAX,-1589040.7979166666
BUF,-1554539.3722222222
NE,-1533631.2091666665
LV,-1219935.816666667
LA,-1160071.5
SEA,-1048029.7922222223
DEN,-887677.7658333335
DET,-845651.929153439
SF,-799375.3111111112
CLV,-775114.2340277776
MIN,-445071.72749999986
LAC,-442574.2926851852
PIT,-47135.81071428559
TEN,-16676.71666666669
PHI,5466.157407407391
IND,52525.28916666661
NYJ,115203.35333333332
CHI,134399.95765873024
NYG,228074.867857143
TB,249967.9176388889
CIN,269890.40428571444
NO,517791.77962962963
MIA,593869.88125
GB,605942.577936508
WAS,703587.2458333333
ATL,1040505.3538888888
HST,1154527.6013227513
DAL,1383375.5305555554
KC,2178127.143015873
ARZ,2786441.783333333
