team_name,avg_diff_wr
DET,-3024624.3866666667
BUF,-2751536.1138888886
CAR,-2064634.69
JAX,-1857044.5566666666
NE,-1726973.3466666664
SF,-1540563.816666667
SEA,-1537939.8177777778
BLT,-1199210.4375
DEN,-1044289.8566666667
MIN,-988147.0216666665
TB,-899039.8855555555
LV,-658745.97
IND,-592280.2866666669
PHI,-498212.8366666667
NO,-299610.4666666668
CHI,-259264.76023809504
NYJ,-208637.77666666667
LA,-108324.00666666655
WAS,499485.4999999998
NYG,534496.3657142858
TEN,580886.9874999999
MIA,687354.9433333331
LAC,816706.1346296298
GB,832402.4371428569
DAL,1064643.875
CLV,1069355.4375000002
CIN,1230637.4466666668
ATL,1657483.5777777778
KC,1758261.7504761904
HST,1811847.6095238093
PIT,2796427.488888889
ARZ,2996283.65
